WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
4-H CENTER,PULASKI,NOT REPORTED,40,Ground water,Active,ARN000180,False,False,[],[]
AHTD HARRISON 9 HEADQUARTERS,BOONE,NOT REPORTED,90,Ground water,Active,ARN000103,False,False,[],[]
AHTD MARION COUNTY,MARION,NOT REPORTED,25,Ground water,Active,ARN000129,False,False,[],[]
ALBEMARLE CORPORATION SOUTH,COLUMBIA,NOT REPORTED,550,Ground water,Active,ARN000022,False,False,[],[]
ALBEMARLE CORPORATION WEST,COLUMBIA,NOT REPORTED,150,Ground water,Active,ARN000021,False,False,[],[]
ARK ST PARK-QUEEN WILHELMENA,POLK,NOT REPORTED,223,Surface water purchased,Active,ART000045,False,False,[],[]
ARK STATE PARK MT MAGAZINE,LOGAN,NOT REPORTED,128,Surface water purchased,Active,ART001110,False,False,[],[]
BASF CORPORATION,CRITTENDEN,NOT REPORTED,75,Ground water,Active,ARN000181,False,False,[],[]
BRUNO PYATT SCHOOL,MARION,NOT REPORTED,370,Ground water,Active,ARN000014,False,False,[],[]
CHRISTIAN MINISTRY ACADEMY,GARLAND,NOT REPORTED,300,Ground water,Active,ARN000237,False,False,[],[]
CLEARWATER PAPER CORPORATION,DESHA,NOT REPORTED,339,Ground water,Active,ARN000052,False,False,[],[]
ENTERGY - INDEPENDENCE,INDEPENDENCE,NOT REPORTED,150,Ground water,Active,ARN000009,False,False,[],[]
"EVERGREEN PACKAGING INC, PINE BLUFF",JEFFERSON,NOT REPORTED,950,Ground water,Active,ARN000032,False,False,[],[]
GEORGIA PACIFIC PAPER MILL,ASHLEY,NOT REPORTED,1400,Ground water,Active,ARN000028,False,False,[],[]
GEORGIA PACIFIC WOOD PRODUCTS LLC,CALHOUN,NOT REPORTED,100,Ground water,Active,ARN000214,False,False,[],[]
GREAT LAKES CHEMICAL SOUTH,UNION,NOT REPORTED,240,Ground water,Active,ARN000029,False,False,[],[]
GREENWICH CENTER,BENTON,NOT REPORTED,30,Ground water,Active,ART001065,False,False,[],[]
HAPPY FEET LEARNING CARE,FULTON,NOT REPORTED,42,Ground water,Active,AR0001243,False,False,[],[]
HUTCHINSON REALTY,BENTON,NOT REPORTED,28,Ground water,Active,ARN000241,False,False,[],[]
JLM VA HOSPITAL,PULASKI,NOT REPORTED,4000,Surface water purchased,Active,AR0001227,False,False,[],[]
MOUNTAIN DEVELOPMENT,BENTON,NOT REPORTED,50,Ground water,Active,AR0000932,False,False,[],[]
NAT CTR FOR TOXOLOGICAL RES,JEFFERSON,NOT REPORTED,400,Ground water,Active,ARN000046,False,False,[],[]
NW ARKANSAS REGIONAL AIRPORT,BENTON,NOT REPORTED,2668,Surface water purchased,Active,ARN000188,False,False,[],[]
PECO FOODS,RANDOLPH,NOT REPORTED,30,Ground water,Active,AR0001206,False,False,[],[]
R V A F TEXARKANA,MILLER,NOT REPORTED,120,Ground water,Active,ARN000189,False,False,[],[]
REMINGTON ARMS COMPANY,LONOKE,NOT REPORTED,1250,Ground water,Active,ARN000057,False,False,[],[]
RIVER BEND PARK POA,SHARP,NOT REPORTED,523,Ground water purchased,Active,AR0000731,False,False,[],[]
ST. VINCENT INFIRMARY,PULASKI,NOT REPORTED,2700,Surface water purchased,Active,AR0001175,False,False,[],[]
SW REGION WILDERNESS CAMP,LAFAYETTE,NOT REPORTED,41,Ground water,Active,ARN000109,False,False,[],[]
THE GREAT PASSION PLAY,CARROLL,NOT REPORTED,450,Ground water,Active,ARN000088,False,False,[],[]
TRINITY BEHAVORIAL HEALTH,RANDOLPH,NOT REPORTED,30,Ground water,Active,ARN000126,False,False,[],[]
VETERANS HEALTH CARE SYSTEM OF THE OZARK,WASHINGTON,NOT REPORTED,2200,Surface water purchased,Active,AR0001221,False,False,[],[]
VISKASE CORPORATION,MISSISSIPPI,NOT REPORTED,236,Ground water,Active,ARN000069,False,False,[],[]
WILSON GUN SHOP #2,CARROLL,NOT REPORTED,150,Ground water,Active,AR0001123,False,False,[],[]
