WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
141 SUBURBAN ROAD WATER SUPPLY,SAN LUIS OBISPO,NOT REPORTED,25,Ground water,Active,CA4000725,False,False,[],[]
5033 PENTECOST,STANISLAUS,NOT REPORTED,302,Ground water,Active,CA5000573,False,False,[],[]
"6200 FRANKLIN, LLC (SWS)",SACRAMENTO,NOT REPORTED,800,Ground water,Active,CA3400358,False,False,[],[]
A & M INDUSTRIES INC,STANISLAUS,NOT REPORTED,142,Ground water,Active,CA5000384,False,False,[],[]
A SAMBADO & SON 39-321,SAN JOAQUIN,NOT REPORTED,25,Ground water,Active,CA3902172,False,False,[],[]
"A V THOMAS PRODUCE, INC.",MERCED,NOT REPORTED,212,Ground water,Active,CA2400232,False,False,[],[]
ACCELERATED CHARTER HIGH SCHOOL,TULARE,NOT REPORTED,170,Ground water,Active,CA5400538,False,False,[],[]
ACTON CONSERVATION CAMP #11,LOS ANGELES,NOT REPORTED,80,Groundwater under influence of surface water,Active,CA1900904,False,False,[],[]
ADAM'S VEGETABLE OILS,COLUSA,NOT REPORTED,90,Ground water,Active,CA0605012,False,False,[],[]
ADESA OF SACRAMENTO,SACRAMENTO,NOT REPORTED,320,Ground water,Active,CA3400429,False,False,[],[]
ADM RICE INC.,COLUSA,NOT REPORTED,50,Ground water,Active,CA0605004,False,False,[],[]
ADOBE CHRISTIAN CHURCH,SONOMA,NOT REPORTED,50,Ground water,Active,CA4901214,False,False,[],[]
AERA ENERGY LLC WS,MONTEREY,NOT REPORTED,75,Ground water,Active,CA2701187,False,False,[],[]
AERA ENERGY-LLC,KERN,NOT REPORTED,1500,Ground water,Active,CA1500495,False,False,[],[]
AERONAUTICAL SYSTEMS,SAN BERNARDINO,NOT REPORTED,25,Ground water,Active,CA3600797,False,False,[],[]
AETNA SPRINGS GOLF COURSE,NAPA,NOT REPORTED,100,Ground water,Active,CA2800569,False,False,[],[]
AGRILAND FARMING CO INC,MADERA,NOT REPORTED,60,Ground water,Active,CA2000866,False,False,[],[]
AIRPORT COMMERCIAL PLAZA,SHASTA,NOT REPORTED,25,Ground water,Active,CA4500230,False,False,[],[]
AIRPORT INDUSTRIAL PARK,SHASTA,NOT REPORTED,90,Ground water,Active,CA4500274,False,False,[],[]
AIRPORT PLANET WATER,SHASTA,NOT REPORTED,181,Ground water,Active,CA4500333,False,False,[],[]
AL TAHOE ELEM/STMS (WATER SYS),EL DORADO,NOT REPORTED,1300,Ground water,Active,CA0900646,False,False,[],[]
ALAMEDA COUNTY FAIRGROUNDS,ALAMEDA,NOT REPORTED,82,Ground water,Active,CA0105020,False,False,[],[]
ALBERT EINSTEIN ACADEMY OF LEARNING,LOS ANGELES,NOT REPORTED,450,Ground water,Active,CA1900707,False,False,[],[]
ALEXANDER VALLEY UNION SCHOOL DISTRICT,SONOMA,NOT REPORTED,200,Ground water,Active,CA4900704,False,False,[],[]
ALFOREX SEEDS LLC,YOLO,NOT REPORTED,28,Ground water,Active,CA5700768,False,False,[],[]
ALIANZA CHARTER (PREV. SALSIPUEDES),SANTA CRUZ,NOT REPORTED,790,Ground water,Active,CA4400757,False,False,[],[]
ALLIED WASTE OF IMPERIAL VALLEY,IMPERIAL,NOT REPORTED,45,Surface water,Active,CA1300668,False,False,[],[]
ALMADEN - MADERA,MADERA,NOT REPORTED,60,Ground water,Active,CA2000641,False,False,[],[]
ALPHA OMEGA WINERY,NAPA,NOT REPORTED,25,Ground water,Active,CA2801012,False,False,[],[]
ALPINE MEATS INC,SAN JOAQUIN,NOT REPORTED,270,Ground water,Active,CA3901080,False,False,[],[]
ALTA ELEMENTARY SCHOOL,FRESNO,NOT REPORTED,390,Ground water,Active,CA1000180,False,False,[],[]
ALTA PROPERTIES WATER SYSTEM,SANTA BARBARA,NOT REPORTED,200,Ground water,Active,CA4200718,False,False,[],[]
