WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1ST CHURCH OF THE OPEN BIBLE,STEPHENSON,NOT REPORTED,75,Ground water,Active,IL3051250,False,False,[],[]
2 RIVERS HEAD START DAY CARE,KANE,NOT REPORTED,44,Ground water,Active,IL3068866,False,False,[],[]
3M CORDOVA PLANT,ROCK ISLAND,NOT REPORTED,300,Ground water,Active,IL3049031,False,False,[],[]
ABBOTT LABORATORIES AGR RSCH,LAKE,NOT REPORTED,30,Ground water,Active,IL3032672,False,False,[],[]
AG VIEW FS INC.,BUREAU,NOT REPORTED,25,Ground water,Active,IL3148270,False,False,[],[]
AKZO NOBEL CHEM INC/N DOSHI,GRUNDY,NOT REPORTED,100,Ground water,Active,IL3065383,False,False,[],[]
ALLIED LOCKE IND GREEN RIVER I,LEE,NOT REPORTED,200,Ground water,Active,IL3133744,False,False,[],[]
ALLSTATE NORTH PLAZA,COOK,NOT REPORTED,5770,Ground water,Active,IL3067504,False,False,[],[]
ALLSTATE WILLOW CAMPUS,COOK,NOT REPORTED,1199,Ground water,Active,IL3067405,False,False,[],[]
AMEREN-CILCO-EASTERN SERV CTR,TAZEWELL,NOT REPORTED,40,Ground water,Active,IL3113589,False,False,[],[]
AMERICAN AD BAG,MCHENRY,NOT REPORTED,60,Ground water,Active,IL3155796,False,False,[],[]
AMERICAN NICKELOID,LASALLE,NOT REPORTED,200,Ground water,Active,IL3065458,False,False,[],[]
AMERICAN PRECISION ELCTRONICS,DUPAGE,NOT REPORTED,60,Ground water,Active,IL3147728,False,False,[],[]
APACHI DAY CAMP,LAKE,NOT REPORTED,300,Ground water,Active,IL3152223,False,False,[],[]
AQUA PLAZA,WILL,NOT REPORTED,50,Ground water,Active,IL3086454,False,False,[],[]
ARMSTRONG TWP HS,VERMILION,NOT REPORTED,190,Ground water,Active,IL3005587,False,False,[],[]
ARMSTRONG-ELLIS GRADE SCHOOL,VERMILION,NOT REPORTED,97,Ground water,Active,IL3005579,False,False,[],[]
ARNOLD ENGINEERING,MCHENRY,NOT REPORTED,500,Ground water,Active,IL3127209,False,False,[],[]
ARNTZEN CORPORATION,MCHENRY,NOT REPORTED,30,Ground water,Active,IL3159889,False,False,[],[]
AUX SABLE,GRUNDY,NOT REPORTED,50,Ground water,Active,IL3157164,False,False,[],[]
AUX SABLE LIQUID PRODUCTS INC,GRUNDY,NOT REPORTED,50,Ground water,Active,IL3139097,False,False,[],[]
AZZ GALVANIZING,WILL,NOT REPORTED,50,Ground water,Active,IL3157990,False,False,[],[]
BALMORAL ELEM,WILL,NOT REPORTED,645,Ground water,Active,IL3082024,False,False,[],[]
BARBARA ROSE ELEMENTARY SCHOOL,COOK,NOT REPORTED,150,Ground water,Active,IL3147900,False,False,[],[]
BARRINGTON HILLS CC CLBHSE 1&3,LAKE,NOT REPORTED,300,Ground water,Active,IL3015065,False,False,[],[]
BARRINGTON METHODIST CHURCH (148742),COOK,NOT REPORTED,25,Ground water,Active,IL3148742,False,False,[],[]
BATTERY BUILDERS,WILL,NOT REPORTED,50,Ground water,Active,IL3018556,False,False,[],[]
BAXTER AND WOODMAN,MCHENRY,NOT REPORTED,25,Ground water,Active,IL3064378,False,False,[],[]
BAXTER HEALTH CARE/HANLINE,LAKE,NOT REPORTED,2500,Ground water,Active,IL3033050,False,False,[],[]
BEREAN BAPTIST CHURCH,WINNEBAGO,NOT REPORTED,300,Ground water,Active,IL3047035,False,False,[],[]
BERNARD DIVISION,WILL,NOT REPORTED,75,Ground water,Active,IL3083758,False,False,[],[]
BERNER FOOD AND BEVERAGE LLC,STEPHENSON,NOT REPORTED,200,Ground water,Active,IL3157297,False,False,[],[]
BIG HOLLOW SCHOOL,LAKE,NOT REPORTED,1100,Ground water,Active,IL3139618,False,False,[],[]
BILTMORE C C MAIN BUILDING,LAKE,NOT REPORTED,500,Ground water,Active,IL3015057,False,False,[],[]
BOLEY TOOL AND MACHINE WORKS,TAZEWELL,NOT REPORTED,100,Ground water,Active,IL3139055,False,False,[],[]
BONFIELD GRADE SCHL/R LIPPOLD,KANKAKEE,NOT REPORTED,165,Ground water,Active,IL3083170,False,False,[],[]
BRAIDWOOD GENERATING STATION,WILL,NOT REPORTED,1900,Ground water,Active,IL3081869,False,False,[],[]
BRIGHT HORIZONS CHILD CARE,DUPAGE,NOT REPORTED,92,Ground water,Active,IL3040774,False,False,[],[]
BRISTOL GRADE SCHOOL,KENDALL,NOT REPORTED,325,Ground water,Active,IL3029405,False,False,[],[]
BRYCE/ASH GROVE ED CENTER,IROQUOIS,NOT REPORTED,37,Ground water,Active,IL3005355,False,False,[],[]
CALEDONIA SCHOOL,BOONE,NOT REPORTED,750,Ground water,Active,IL3091751,False,False,[],[]
CANTIGNY PARK,DUPAGE,NOT REPORTED,180,Ground water,Active,IL3158444,False,False,[],[]
CAPTAIN JAMES A LOVELL FHCC,LAKE,NOT REPORTED,12100,Surface water purchased,Active,IL3161232,False,False,[],[]
CARMEL MONTESSORI ACADEMY,DUPAGE,NOT REPORTED,40,Ground water,Active,IL3039735,False,False,[],[]
CAT MAPLETON /MAPLETON,PEORIA,NOT REPORTED,600,Surface water,Active,IL3113423,False,False,[],[]
CAT MOSSVILLE,PEORIA,NOT REPORTED,3000,Ground water,Active,IL3113852,False,False,[],[]
CAT TECH CENTER,PEORIA,NOT REPORTED,1442,Ground water,Active,IL3117895,False,False,[],[]
CATERPILAR INC JOLIET,WILL,NOT REPORTED,700,Ground water,Active,IL3082271,False,False,[],[]
CATERPILLAR DEMONSTRATION AREA,PEORIA,NOT REPORTED,25,Ground water,Active,IL3020008,False,False,[],[]
CATERPILLAR INC AURORA,KENDALL,NOT REPORTED,3000,Ground water,Active,IL3029389,False,False,[],[]
CATERPILLAR PEORIA PROVING GRD,TAZEWELL,NOT REPORTED,325,Ground water,Active,IL3055871,False,False,[],[]
CATTY CORP,MCHENRY,NOT REPORTED,49,Ground water,Active,IL3141267,False,False,[],[]
CBR OF ILLINOIS,PEORIA,NOT REPORTED,94,Ground water,Active,IL3138370,False,False,[],[]
CCI MANUFACTURING,COOK,NOT REPORTED,57,Ground water,Active,IL3161240,False,False,[],[]
CENTRAL HIGH SCHOOL,KANE,NOT REPORTED,972,Ground water,Active,IL3126417,False,False,[],[]
CENTRAL MIDDLE SCHOOL,KANE,NOT REPORTED,750,Ground water,Active,IL3067538,False,False,[],[]
CHEMTOOL INC,MCHENRY,NOT REPORTED,50,Ground water,Active,IL3131136,False,False,[],[]
CHILDREN OF PROMISE,ST. CLAIR,NOT REPORTED,50,Ground water,Active,IL3151365,False,False,[],[]
CHRIST COMUNITY CHURCH,KANE,NOT REPORTED,468,Ground water,Active,IL3155952,False,False,[],[]
CHRIST MISSION LUTHERAN CHURCH,WILL,NOT REPORTED,150,Ground water,Active,IL3109900,False,False,[],[]
CITGO PETROLEUM CORPORATION,WILL,NOT REPORTED,500,Ground water,Active,IL3021543,False,False,[],[]
CITGO REFINERY NORTH WELL,WILL,NOT REPORTED,200,Ground water,Active,IL3149559,False,False,[],[]
CLIFTON CENTRAL HIGH SCHOOL,IROQUOIS,NOT REPORTED,875,Ground water,Active,IL3059162,False,False,[],[]
CLINTON POWER STATION - EXELON,DE WITT,NOT REPORTED,515,Surface water,Active,IL3112201,False,False,[],[]
CNH AMERICA,DUPAGE,NOT REPORTED,500,Ground water,Active,IL3006114,False,False,[],[]
COG HILL COUNTRY CLUB,COOK,NOT REPORTED,340,Ground water,Active,IL3088518,False,False,[],[]
COLOR POINT,PUTNAM,NOT REPORTED,200,Ground water,Active,IL3122150,False,False,[],[]
COMMONWEALTH EDISON COMPANY,DEKALB,NOT REPORTED,110,Ground water,Active,IL3006882,False,False,[],[]
CONGREGATION BETH JUDEA,LAKE,NOT REPORTED,700,Ground water,Active,IL3019463,False,False,[],[]
CONNECTIONS CHUCH LIBERTYVILLE,LAKE,NOT REPORTED,50,Ground water,Active,IL3161224,False,False,[],[]
CONTINENTAL MIDLAND,WILL,NOT REPORTED,200,Ground water,Active,IL3141994,False,False,[],[]
CONVENIENT PLAZA HOT BREAD,COOK,NOT REPORTED,25,Ground water,Active,IL3158170,False,False,[],[]
CORN BELT ENERGY CORP,MCLEAN,NOT REPORTED,70,Ground water,Active,IL3141184,False,False,[],[]
CORNERSTONE CHRISTIAN ACADEMY,MCLEAN,NOT REPORTED,475,Ground water,Active,IL3147652,False,False,[],[]
COUNTRYSIDE PRIVATE SCHOOL,WOODFORD,NOT REPORTED,44,Ground water,Active,IL3149252,False,False,[],[]
COUNTRYSIDE SCHOOL,COOK,NOT REPORTED,225,Ground water,Active,IL3084715,False,False,[],[]
CREST FOODS PRODUCTION,LEE,NOT REPORTED,100,Ground water,Active,IL3150433,False,False,[],[]
CREST FOODS WAREHOUSE,LEE,NOT REPORTED,70,Ground water,Active,IL3150441,False,False,[],[]
CROSS LUTHERAN SCHOOL,KENDALL,NOT REPORTED,140,Ground water,Active,IL3029298,False,False,[],[]
CRYSTAL LAKE MONTESSORI,MCHENRY,NOT REPORTED,200,Ground water,Active,IL3057232,False,False,[],[]
DANISCO,CARROLL,NOT REPORTED,82,Ground water,Active,IL3152462,False,False,[],[]
DEANS FOOD CO,MCHENRY,NOT REPORTED,190,Ground water,Active,IL3000059,False,False,[],[]
DEANS ILLINOIS DAIRIES,WINNEBAGO,NOT REPORTED,110,Ground water,Active,IL3152850,False,False,[],[]
DEER PARK SCHOOL,LASALLE,NOT REPORTED,155,Ground water,Active,IL3109009,False,False,[],[]
