WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ARLIE BOGG ELEMENTARY SCHOOL,LETCHER,NOT REPORTED,200,Ground water,Active,KY0672292,False,False,[],[]
BLUE GRASS ARMY DEPOT,MADISON,NOT REPORTED,500,Surface water,Active,KY0762637,False,False,[],[]
CARLISLE CO BOARD OF EDUCATION,CARLISLE,NOT REPORTED,1050,Ground water,Active,KY0202008,False,False,[],[]
CENTURY ALUMINUM SEBREE LLC,HENDERSON,NOT REPORTED,600,Surface water,Active,KY0512406,False,False,[],[]
DOMTAR PAPER BLEACHED PULP,HANCOCK,NOT REPORTED,450,Ground water,Active,KY0462387,False,False,[],[]
DOMTAR PAPER CORRUGATED ME,HANCOCK,NOT REPORTED,100,Ground water,Active,KY0462386,False,False,[],[]
DUKE ENERGY KY EAST BEND,BOONE,NOT REPORTED,120,Ground water,Active,KY0082082,False,False,[],[]
ELLIS PARK RACE COURSE,HENDERSON,NOT REPORTED,1500,Ground water,Active,KY0513013,False,False,[],[]
"FOUR RIVERS NUCLEAR PARTNERSHIP, LLC",MCCRACKEN,NOT REPORTED,2000,Surface water,Active,KY0732457,False,False,[],[]
KELLY ELEMENTARY SCHOOL,BOONE,NOT REPORTED,355,Ground water,Active,KY0082592,False,False,[],[]
LBL MAINTENANCE CENTER,TRIGG,NOT REPORTED,170,Ground water,Active,KY1112364,False,False,[],[]
"MONUMENT CHEMICAL KENTUCKY, LLC",MEADE,NOT REPORTED,300,Ground water,Active,KY0822462,False,False,[],[]
PILGRIMS PRIDE CORP,GRAVES,NOT REPORTED,1200,Ground water,Active,KY0423170,False,False,[],[]
PINE MT SETTLEMENT SCHOOL,HARLAN,NOT REPORTED,45,Surface water,Active,KY0483135,False,False,[],[]
RECOVERY WORKS,GRAVES,NOT REPORTED,61,Ground water,Active,KY0420971,False,False,[],[]
TRINITY HOLINESS SCHOOL,CARLISLE,NOT REPORTED,250,Ground water,Active,KY0203742,False,False,[],[]
