WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A TO Z DAYCARE CENTER,ST. TAMMANY PARISH,NOT REPORTED,40,Ground water,Active,LA2103320,False,False,[],[]
AIR LIQUIDE GEISMAR UTILITY SERVICES,ASCENSION PARISH,NOT REPORTED,500,Ground water,Active,LA2005256,False,False,[],[]
ALMATIS,ASCENSION PARISH,NOT REPORTED,400,Surface water,Active,LA2005165,False,False,[],[]
ARDAGH GLASS WATER SYSTEM,LINCOLN PARISH,NOT REPORTED,480,Ground water,Active,LA2061003,False,False,[],[]
ASCENSION CHRISTIAN SCHOOL,ASCENSION PARISH,NOT REPORTED,500,Ground water,Active,LA2005231,False,False,[],[]
BABY BEGINNINGS,ASCENSION PARISH,NOT REPORTED,50,Ground water,Active,LA2005265,False,False,[],[]
BASF CORPORATION,ASCENSION PARISH,NOT REPORTED,1391,Ground water,Active,LA2005003,False,False,[],[]
BAYOU LACOMBE MIDDLE SCHOOL,ST. TAMMANY PARISH,NOT REPORTED,266,Ground water,Active,LA2103053,False,False,[],[]
BAYVIEW DEVELOPMENT,ST. MARY PARISH,NOT REPORTED,100,Ground water,Active,LA2101026,False,False,[],[]
BIG CAJUN II POWER PLANT,POINTE COUPEE PARISH,NOT REPORTED,300,Ground water,Active,LA2077010,False,False,[],[]
"BIOLAB, INC",CALCASIEU PARISH,NOT REPORTED,40,Ground water,Active,LA2019053,False,False,[],[]
"BOASSO INDUSTRIES,LLC",ST. TAMMANY PARISH,NOT REPORTED,43,Ground water,Active,LA2103397,False,False,[],[]
CA INST OF TECH - LIGO OBSERVATORY,LIVINGSTON PARISH,NOT REPORTED,25,Ground water,Active,LA2063042,False,False,[],[]
"CAL MAINE FOODS, INC",ST. HELENA PARISH,NOT REPORTED,57,Ground water,Active,LA2091030,False,False,[],[]
CALCASIEU REFINING COMPANY W S,CALCASIEU PARISH,NOT REPORTED,250,Ground water,Active,LA2019132,False,False,[],[]
CERTAINTEED WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,55,Ground water,Active,LA2019010,False,False,[],[]
CHATA-IMA ELEMENTARY SCHOOL W S,ST. TAMMANY PARISH,NOT REPORTED,399,Ground water,Active,LA2103029,False,False,[],[]
CITGO PETROLEUM - CONTRACTOR COMP W S,CALCASIEU PARISH,NOT REPORTED,500,Ground water,Active,LA2019138,False,False,[],[]
CITGO PETROLEUM REFINERY WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,1263,Ground water,Active,LA2019015,False,False,[],[]
CITGO-PECAN GROVE CENTER,CALCASIEU PARISH,NOT REPORTED,25,Ground water,Active,LA2019141,False,False,[],[]
DELTA DOWNS INC WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,2481,Ground water,Active,LA2019021,False,False,[],[]
DELTECH CORPORATION,EAST BATON ROUGE PARISH,NOT REPORTED,100,Ground water,Active,LA2033025,False,False,[],[]
DOMINO SUGAR,ST. BERNARD PARISH,NOT REPORTED,360,Surface water,Active,LA2087001,False,False,[],[]
"DOW USA, LA DIVISION",IBERVILLE PARISH,NOT REPORTED,3960,Surface water,Active,LA2047003,False,False,[],[]
DUNHAM PRICE GROUP WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,85,Ground water,Active,LA2019134,False,False,[],[]
EAGLE US 2 LLC NATURE LAB WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,75,Ground water,Active,LA2019164,False,False,[],[]
EAGLE US 2 LLC S COMPLEX WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,1700,Ground water,Active,LA2019016,False,False,[],[]
ECO-SERVICES OPERATIONS BR PLANT,EAST BATON ROUGE PARISH,NOT REPORTED,300,Ground water,Active,LA2033065,False,False,[],[]
ENON ELEMENTARY SCHOOL,WASHINGTON PARISH,NOT REPORTED,288,Ground water,Active,LA2117015,False,False,[],[]
ENTERGY GULF STATES LOUISIANA LLC,CALCASIEU PARISH,NOT REPORTED,200,Ground water,Active,LA2019103,False,False,[],[]
EVANGELINE PARISH INDUSTRIAL PARK W S,EVANGELINE PARISH,NOT REPORTED,648,Ground water,Active,LA1039014,False,False,[],[]
EVANS SCHOOL,VERNON PARISH,NOT REPORTED,400,Ground water,Active,LA2115003,False,False,[],[]
EXXON MOBIL BATON ROUGE PLASTICS,EAST BATON ROUGE PARISH,NOT REPORTED,450,Ground water,Active,LA2033022,False,False,[],[]
EXXON MOBILE BATON ROUGE CHEMICALS NORTH,EAST BATON ROUGE PARISH,NOT REPORTED,50,Ground water,Active,LA2033014,False,False,[],[]
EXXONMOBIL BATON ROUGE CHEMICAL PLANT,EAST BATON ROUGE PARISH,NOT REPORTED,1500,Ground water,Active,LA2033118,False,False,[],[]
EXXONMOBIL BATON ROUGE REFINERY,EAST BATON ROUGE PARISH,NOT REPORTED,2500,Ground water,Active,LA2033021,False,False,[],[]
EXXONMOBIL CHEMICAL BATON ROUGE POLYMER,EAST BATON ROUGE PARISH,NOT REPORTED,440,Ground water,Active,LA2033003,False,False,[],[]
EXXONMOBIL CHEMICAL BATON ROUGE RESINS,EAST BATON ROUGE PARISH,NOT REPORTED,125,Ground water,Active,LA2033036,False,False,[],[]
FIFTH WARD JR HIGH W S,ST. TAMMANY PARISH,NOT REPORTED,530,Ground water,Active,LA2103042,False,False,[],[]
FORMOSA PLASTICS CORPORATION,EAST BATON ROUGE PARISH,NOT REPORTED,350,Ground water,Active,LA2033102,False,False,[],[]
FOSTER POULTRY FARMS (ARCADIA FEEDMILL),BIENVILLE PARISH,NOT REPORTED,30,Ground water,Active,LA2013012,False,False,[],[]
FOUNTAINBLEAU SCHOOL,ST. TAMMANY PARISH,NOT REPORTED,1899,Ground water,Active,LA2103380,False,False,[],[]
GEORGIA PACIFIC CORPORATION,OUACHITA PARISH,NOT REPORTED,200,Ground water,Active,LA2073042,False,False,[],[]
GEORGIA-PACIFIC CORPORATION,EAST BATON ROUGE PARISH,NOT REPORTED,947,Ground water,Active,LA2033028,False,False,[],[]
GRAND ISLE SHIPYARD WATER SYSTEM,VERMILION PARISH,NOT REPORTED,65,Ground water,Active,LA2113279,False,False,[],[]
GRAPHIC PACKAGING INTERNATIONAL INC - A,OUACHITA PARISH,NOT REPORTED,1700,Ground water,Active,LA2073043,False,False,[],[]
GRAPHIC PACKAGING INTERNATIONAL INC - B,OUACHITA PARISH,NOT REPORTED,850,Ground water,Active,LA2073044,False,False,[],[]
"HOOD CONTAINER OF LA, LLC",WEST FELICIANA PARISH,NOT REPORTED,275,Ground water,Active,LA2125008,False,False,[],[]
HOSANNA LUTHERAN CHURCH,ST. TAMMANY PARISH,NOT REPORTED,325,Ground water,Active,LA2103413,False,False,[],[]
HOUSE OF RAEFORD,BIENVILLE PARISH,NOT REPORTED,500,Ground water,Active,LA2013015,False,False,[],[]
INGEVITY SOUTH CAROLINA - DERIDDER WS,BEAUREGARD PARISH,NOT REPORTED,175,Ground water,Active,LA2011029,False,False,[],[]
INTERNATIONAL PAPER (MANSFIELD),DE SOTO PARISH,NOT REPORTED,908,Ground water,Active,LA2031009,False,False,[],[]
KEITHVILLE ELEMENTARY AND MIDDLE SCHOOL,CADDO PARISH,NOT REPORTED,1500,Ground water,Active,LA2017018,False,False,[],[]
KIDZ KLUBHOUSE,ST. TAMMANY PARISH,NOT REPORTED,50,Ground water,Active,LA2103461,False,False,[],[]
KINDERHAUS MONTESORRI,ST. TAMMANY PARISH,NOT REPORTED,90,Ground water,Active,LA2103304,False,False,[],[]
LA PETITE DAY CARE CENTER,ASCENSION PARISH,NOT REPORTED,88,Ground water,Active,LA2005191,False,False,[],[]
