WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
3M COTTAGE GROVE,WASHINGTON,NOT REPORTED,740,Ground water,Active,MN5820415,False,False,[],[]
4H PROPERTIES,WRIGHT,NOT REPORTED,25,Ground water,Active,MN5860522,False,False,[],[]
A.H. HERMEL COMPANY,BLUE EARTH,NOT REPORTED,75,Ground water,Active,MN5070051,False,False,[],[]
"AACRON, INC.",HENNEPIN,NOT REPORTED,40,Ground water,Active,MN5270376,False,False,[],[]
ADESA MINNEAPOLIS,HENNEPIN,NOT REPORTED,30,Ground water,Active,MN5271046,False,False,[],[]
ADULT DAY SERVICES,BELTRAMI,NOT REPORTED,32,Ground water,Active,MN5040807,False,False,[],[]
ADVANCE DISPOSAL SERVICES,OLMSTED,NOT REPORTED,32,Ground water,Active,MN5550069,False,False,[],[]
AERO SYSTEMS ENGINEERING,HENNEPIN,NOT REPORTED,30,Ground water,Active,MN5271195,False,False,[],[]
AFTON ALPS,WASHINGTON,NOT REPORTED,350,Ground water,Active,MN5820239,False,False,[],[]
"AG SYSTEMS, INC.",MCLEOD,NOT REPORTED,45,Ground water,Active,MN5430027,False,False,[],[]
AGRALITE ELECTRIC COOPERATIVE,SWIFT,NOT REPORTED,30,Ground water,Active,MN5760061,False,False,[],[]
"AKKERMAN MANUFACTURING, INC.",MOWER,NOT REPORTED,55,Ground water,Active,MN5500057,False,False,[],[]
AL-CORN CLEAN FUEL ETHANOL PLANT,DODGE,NOT REPORTED,35,Ground water,Active,MN5200127,False,False,[],[]
ALDERON INDUSTRIES,CLAY,NOT REPORTED,30,Ground water,Active,MN5140244,False,False,[],[]
ALLEN S. KING GENERATING PLANT,WASHINGTON,NOT REPORTED,105,Ground water,Active,MN5820245,False,False,[],[]
ALLOY HARDFACING & ENGINEERING,SCOTT,NOT REPORTED,25,Ground water,Active,MN5700103,False,False,[],[]
ALPINE CABINETRY - WORKSHOP,BENTON,NOT REPORTED,35,Ground water,Active,MN5050341,False,False,[],[]
ALTER METAL RECYCLING,BLUE EARTH,NOT REPORTED,30,Ground water,Active,MN5070412,False,False,[],[]
"ALTRON, INC.",ANOKA,NOT REPORTED,100,Ground water,Active,MN5020240,False,False,[],[]
AMCON CONCRETE PRODUCTS LLC,STEELE,NOT REPORTED,25,Ground water,Active,MN5740047,False,False,[],[]
AMERICAN FENCE COMPANY,OLMSTED,NOT REPORTED,55,Ground water,Active,MN5550336,False,False,[],[]
AMERICAN POLYWATER CORPORATION,WASHINGTON,NOT REPORTED,38,Ground water,Active,MN5820426,False,False,[],[]
AMIDON GRAPHICS,RAMSEY,NOT REPORTED,110,Ground water,Active,MN5620516,False,False,[],[]
ANNIE'S CHILDCARE AND LEARNING CENTER,CROW WING,NOT REPORTED,50,Ground water,Active,MN5181039,False,False,[],[]
APPLETIME CHILD CARE - ELK RIVER,SHERBURNE,NOT REPORTED,110,Ground water,Active,MN5710358,False,False,[],[]
ARCELORMITTAL MINORCA MINE INC.,ST. LOUIS,NOT REPORTED,225,Surface water,Active,MN5690067,False,False,[],[]
ARDENT MILLS,DAKOTA,NOT REPORTED,120,Ground water,Active,MN5190532,False,False,[],[]
ARNOLD'S EQUIPMENT,BENTON,NOT REPORTED,26,Ground water,Active,MN5050027,False,False,[],[]
"ARROWHEAD SPRINGS, INC.",CARLTON,NOT REPORTED,25,Ground water,Active,MN5090217,False,False,[],[]
ARROWWOOD RESORT,DOUGLAS,NOT REPORTED,250,Ground water,Active,MN5210333,False,False,[],[]
