WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A PLACE TO GROW,HARRISON,NOT REPORTED,30,Ground water,Active,MS0240226,False,False,[],[]
"AJINOMOTO FOODS NORTH AMERICA, INC",YALOBUSHA,NOT REPORTED,200,Ground water,Active,MS0810036,False,False,[],[]
AMERICA'S CATCH CATFISH PLANT,LEFLORE,NOT REPORTED,300,Ground water,Active,MS0420043,False,False,[],[]
BARGE FOREST PRODUCTS,NOXUBEE,NOT REPORTED,92,Ground water,Active,MS0520026,False,False,[],[]
BAXTER HEALTHCARE CORP,BOLIVAR,NOT REPORTED,708,Ground water,Active,MS0060035,False,False,[],[]
BAYOU BERNARD INDUSTRIAL PARK,HARRISON,NOT REPORTED,1900,Ground water,Active,MS0240046,False,False,[],[]
BENNDALE SCHOOL,GEORGE,NOT REPORTED,277,Ground water,Active,MS0200017,False,False,[],[]
CAMP MCCAIN TRAINING CENTER,GRENADA,['GRENADA'],150,Ground water,Active,MS0220067,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-89.8040901, 33.7603853], [-89.804085, 33.7598356], [-89.8037924, 33.7598375], [-89.8037913, 33.7597184], [-89.803739, 33.7597188], [-89.8037389, 33.7597085], [-89.8038019, 33.7597081], [-89.8038013, 33.7596437], [-89.8037383, 33.7596441], [-89.8037379, 33.7595992], [-89.8025927, 33.7596065], [-89.8025941, 33.7597576], [-89.8037393, 33.7597503], [-89.8037405, 33.7598803], [-89.8026059, 33.7598875], [-89.8026075, 33.7600603], [-89.8031483, 33.7600568], [-89.8031486, 33.7600907], [-89.8030843, 33.7600911], [-89.803089, 33.7605971], [-89.8032921, 33.7605958], [-89.8032892, 33.7602783], [-89.8033682, 33.7602778], [-89.8033665, 33.7600893], [-89.803219, 33.7600903], [-89.8032187, 33.7600564], [-89.8036628, 33.7600536], [-89.803669, 33.7607253], [-89.8038663, 33.7607241], [-89.8038632, 33.7603867], [-89.8040901, 33.7603853]]]}]]","[['33.7595992', '33.7607253', '-89.8040901', '-89.8025927']]"
CAMP SHELBY TRAINING SITE,FORREST,NOT REPORTED,1397,Ground water,Active,MS0180002,False,False,[],[]
CANTON MUN UTL,MADISON,NOT REPORTED,40,Ground water,Active,MS0450032,False,False,[],[]
"CF INDUSTRIES NITROGEN, LLC",YAZOO,NOT REPORTED,115,Ground water,Active,MS0820024,False,False,[],[]
CHEVRON USA,JACKSON,NOT REPORTED,1600,Ground water,Active,MS0300011,False,False,[],[]
COPIAH COUNTY INDUSTRIAL PARK,COPIAH,NOT REPORTED,1062,Ground water,Active,MS0150018,False,False,[],[]
DELISLE ELEMENTARY #2,HARRISON,NOT REPORTED,600,Ground water,Active,MS0240261,False,False,[],[]
DELTA BRANCH EXPERIMENT STA,WASHINGTON,NOT REPORTED,225,Ground water,Active,MS0760044,False,False,[],[]
DIBERVILLE HIGH SCHOOL,HARRISON,NOT REPORTED,1197,Ground water,Active,MS0240262,False,False,[],[]
EAST MS COMM COLLEGE-GOLDEN TR,LOWNDES,NOT REPORTED,1200,Ground water,Active,MS0440008,False,False,[],[]
"ENTERGY OPERATIONS, INC",CLAIBORNE,NOT REPORTED,1000,Ground water,Active,MS0110011,False,False,[],[]
FERNWOOD INDUSTRIAL WATER SUPP,PIKE,NOT REPORTED,630,Ground water,Active,MS0570039,False,False,[],[]
FRESHWATER FARMS,HUMPHREYS,NOT REPORTED,135,Ground water,Active,MS0270025,False,False,[],[]
GALENA SCHOOL,MARSHALL,NOT REPORTED,121,Ground water,Active,MS0470084,False,False,[],[]
GEORGIA-PACIFIC,LAWRENCE,NOT REPORTED,450,Ground water,Active,MS0390011,False,False,[],[]
GOLDEN TRIANGLE IND. PARK,LOWNDES,NOT REPORTED,120,Ground water,Active,MS0440098,False,False,[],[]
