WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
AMARGOSA ELEMENTARY SCHOOL,NYE,NOT REPORTED,200,Ground water,Active,NV0002190,False,False,[],[]
AMARGOSA SENIOR CENTER,NYE,NOT REPORTED,25,Ground water,Active,NV0003061,False,False,[],[]
AMARGOSA TOWN COMPLEX,NYE,['AMARGOSA'],25,Ground water,Active,NV0005037,True,True,"[[{'type': 'Point', 'coordinates': [-116.473, 36.45]}]]","[['36.44995', '36.45005', '-116.47305', '-116.47295']]"
APEX REGIONAL WASTE MGMT CENTER,CLARK,NOT REPORTED,107,Ground water,Active,NV0000379,False,False,[],[]
ASIA UNION ELECTRONIC CHEMICALS-RENO,STOREY,NOT REPORTED,25,Ground water,Active,NV0000879,False,False,[],[]
BALD MOUNTAIN MINE,WHITE PINE,NOT REPORTED,110,Ground water,Active,NV0000982,False,False,[],[]
BARRICK CORTEZ GOLD MINES PIPELINE,LANDER,NOT REPORTED,555,Ground water,Active,NV0000892,False,False,[],[]
BARRICK CORTEZ HILLS,LANDER,NOT REPORTED,611,Ground water,Active,NV0001097,False,False,[],[]
BARRICK GOLDSTRIKE FACILITY,EUREKA,NOT REPORTED,2100,Ground water,Active,NV0005077,False,False,[],[]
BARRICK TURQUOISE RIDGE INC,HUMBOLDT,NOT REPORTED,250,Ground water,Active,NV0002528,False,False,[],[]
BELLAGIO RESORT AND CASINO,CLARK,NOT REPORTED,17171,Surface water purchased,Active,NV0001117,False,False,[],[]
BERKLEY,CLARK,NOT REPORTED,672,Surface water purchased,Active,NV0001155,False,False,[],[]
BONNIE SPRINGS OLD NEVADA,CLARK,['BONNIE SPRINGS'],500,Ground water,Active,NV0001001,True,True,"[[{'type': 'Point', 'coordinates': [-115.4533388, 36.0591367]}]]","[['36.0391367', '36.0791367', '-115.4733388', '-115.4333388']]"
CARLIN HONOR CAMP NDOC,ELKO,NOT REPORTED,147,Ground water,Active,NV0002524,False,False,[],[]
CEDAR PASS WATER SYSTEM,NYE,NOT REPORTED,250,Ground water,Active,NV0001095,False,False,[],[]
CERTAIN TEED GYPSUM,CLARK,NOT REPORTED,85,Ground water,Active,NV0000364,False,False,[],[]
CHINA SPRINGS YOUTH CAMP,DOUGLAS,NOT REPORTED,92,Ground water,Active,NV0005078,False,False,[],[]
CHUCK LENZIE GENERATING STATION,CLARK,NOT REPORTED,54,Ground water,Active,NV0002533,False,False,[],[]
CIRCUS CIRCUS CASINO,CLARK,NOT REPORTED,2668,Surface water purchased,Active,NV0001113,False,False,[],[]
CITY CENTER HOTELS,CLARK,NOT REPORTED,8900,Surface water purchased,Active,NV0001106,False,False,[],[]
COEUR ROCHESTER INC,PERSHING,NOT REPORTED,32,Ground water,Active,NV0003076,False,False,[],[]
CORTEZ MILL 1 POTABLE WATER SYSTEM,LANDER,NOT REPORTED,83,Ground water,Active,NV0002570,False,False,[],[]
COSMOPOLITAN HOTEL,CLARK,NOT REPORTED,5534,Surface water purchased,Active,NV0001137,False,False,[],[]
CREECH AIR FORCE BASE,CLARK,['INDIAN SPRINGS AIR FORCE AUXIL'],300,Ground water,Active,NV0001081,True,False,[],[]
CRESCENT DUNES SOLAR ENERGY,NYE,NOT REPORTED,40,Ground water,Active,NV0000418,False,False,[],[]
DENTON RAWHIDE MINE,MINERAL,NOT REPORTED,75,Ground water,Active,NV0001156,False,False,[],[]
DIAMOND PLASTICS,HUMBOLDT,NOT REPORTED,38,Ground water,Active,NV0001148,False,False,[],[]
DYER ELEMENTARY SCHOOL,ESMERALDA,NOT REPORTED,70,Ground water,Active,NV0002184,False,False,[],[]
EDGEWOOD WATER COMPANY,DOUGLAS,['EDGEWOOD'],3800,Surface water,Active,NV0000235,True,True,"[[{'type': 'LineString', 'coordinates': [[-114.965215, 41.104074], [-114.965617, 41.103774], [-114.966043, 41.103481], [-114.966481, 41.103179], [-114.966645, 41.1030756], [-114.966689, 41.1030596], [-114.966762, 41.1030466], [-114.9668749, 41.103037], [-114.967007, 41.103052], [-114.967135, 41.103088], [-114.967938, 41.1033773]]}]]","[['41.103037', '41.104074', '-114.967938', '-114.965215']]"
ELY CONSERVATION CAMP NDOC,WHITE PINE,NOT REPORTED,150,Ground water,Active,NV0004083,False,False,[],[]
EP MINERALS LLC CLARK,STOREY,NOT REPORTED,50,Ground water,Active,NV0003075,False,False,[],[]
EP MINERALS LLC FERNLEY,CHURCHILL,NOT REPORTED,41,Ground water,Active,NV0004120,False,False,[],[]
EXCALIBUR RESORT AND CASINO,CLARK,NOT REPORTED,2607,Surface water purchased,Active,NV0001114,False,False,[],[]
FIORE GOLD PAN MINE,WHITE PINE,NOT REPORTED,100,Ground water,Active,NV0001142,False,False,[],[]
FIRE CREEK MINE,LANDER,NOT REPORTED,60,Ground water,Active,NV0001100,False,False,[],[]
FLORIDA CANYON MINING INC,PERSHING,NOT REPORTED,180,Ground water,Active,NV0000884,False,False,[],[]
FORT CHURCHILL POWER PLANT,LYON,NOT REPORTED,37,Ground water,Active,NV0000806,False,False,[],[]
GEORGIA PACIFIC GYPSUM LLC,CLARK,NOT REPORTED,100,Ground water,Active,NV0000372,False,False,[],[]
GOLD RANCH CASINO,WASHOE,NOT REPORTED,1000,Ground water,Active,NV0000751,False,False,[],[]
GOODSPRINGS SCHOOL CCSD,CLARK,NOT REPORTED,25,Ground water,Active,NV0001045,False,False,[],[]
GRANDVIEW AT LAS VEGAS,CLARK,NOT REPORTED,5750,Surface water purchased,Active,NV0001144,False,False,[],[]
GRANITE CONSTRUCTION,WASHOE,NOT REPORTED,50,Ground water,Active,NV0002202,False,False,[],[]
GREYSTONE MINE,LANDER,['BATTLE MOUNTAIN'],36,Ground water,Active,NV0004117,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-116.955281, 40.65207], [-116.948979, 40.640441], [-116.952643, 40.64039], [-116.952886, 40.640304], [-116.953147, 40.640088], [-116.952825, 40.639833], [-116.952699, 40.639664], [-116.951489, 40.637448], [-116.95048, 40.635954], [-116.949435, 40.634707], [-116.948216, 40.633475], [-116.946364, 40.632016], [-116.944726, 40.630965], [-116.943437, 40.630274], [-116.941804, 40.629531], [-116.933576, 40.626394], [-116.93313, 40.626087], [-116.932883, 40.625774], [-116.933058, 40.627451], [-116.933077, 40.628714], [-116.932767, 40.631372], [-116.932355, 40.631985], [-116.932041, 40.632305], [-116.931378, 40.632833], [-116.930908, 40.633009], [-116.930686, 40.633553], [-116.93039, 40.633871], [-116.928935, 40.635001], [-116.92861, 40.635161], [-116.927973, 40.635356], [-116.927843, 40.635445], [-116.927165, 40.636254], [-116.926855, 40.63686], [-116.926791, 40.637214], [-116.926881, 40.64563], [-116.92691, 40.645835], [-116.926978, 40.645931], [-116.927423, 40.646249], [-116.926242, 40.647141], [-116.926422, 40.647464], [-116.926422, 40.647738], [-116.927056, 40.648556], [-116.92746, 40.648902], [-116.927424, 40.649029], [-116.927604, 40.649336], [-116.927575, 40.649501], [-116.927734, 40.649556], [-116.928202, 40.649897], [-116.928267, 40.650144], [-116.928527, 40.650281], [-116.928621, 40.650495], [-116.928837, 40.650643], [-116.92901, 40.650858], [-116.929443, 40.651039], [-116.929637, 40.651281], [-116.929882, 40.651385], [-116.930138, 40.651319], [-116.930719, 40.65127], [-116.930928, 40.65116], [-116.931375, 40.651193], [-116.931548, 40.651308], [-116.931678, 40.651649], [-116.932146, 40.652242], [-116.932161, 40.652374], [-116.932045, 40.652472], [-116.932045, 40.652582], [-116.932492, 40.652862], [-116.932644, 40.653098], [-116.932766, 40.65317], [-116.933415, 40.653241], [-116.933661, 40.653346], [-116.933855, 40.653494], [-116.934014, 40.653856], [-116.933985, 40.654444], [-116.934057, 40.654752], [-116.934418, 40.655076], [-116.934454, 40.655586], [-116.934886, 40.65607], [-116.934857, 40.656355], [-116.934598, 40.656575], [-116.934612, 40.656778], [-116.935016, 40.657042], [-116.935817, 40.657237], [-116.93955, 40.654916], [-116.939683, 40.654878], [-116.940415, 40.654871], [-116.940792, 40.654809], [-116.941339, 40.654878], [-116.941654, 40.654793], [-116.940725, 40.653518], [-116.941202, 40.650727], [-116.941665, 40.651086], [-116.941855, 40.651195], [-116.941989, 40.651215], [-116.943979, 40.651221], [-116.944014, 40.650835], [-116.945385, 40.650782], [-116.945536, 40.650784], [-116.94886, 40.65083], [-116.948786, 40.647443], [-116.951877, 40.647594], [-116.953282, 40.649774], [-116.954123, 40.65265], [-116.95417, 40.653225], [-116.9543599, 40.6539741], [-116.954127, 40.654064], [-116.954019, 40.654337], [-116.95307, 40.654734], [-116.951265, 40.654028], [-116.951085, 40.654175], [-116.951881, 40.654536], [-116.952702, 40.654756], [-116.953545, 40.654877], [-116.954353, 40.654901], [-116.954462, 40.653476], [-116.954334, 40.652169], [-116.954052, 40.651189], [-116.953207, 40.649222], [-116.955281, 40.65207]]]}]]","[['40.625774', '40.657237', '-116.955281', '-116.926242']]"
HALLIBURTON DUNPHY MILL,EUREKA,NOT REPORTED,90,Ground water,Active,NV0001131,False,False,[],[]
HILTON GRAND VACATIONS CONVENTION,CLARK,NOT REPORTED,982,Surface water purchased,Active,NV0001160,False,False,[],[]
HILTON GRAND VACATIONS ELARA,CLARK,NOT REPORTED,2544,Surface water purchased,Active,NV0001143,False,False,[],[]
HILTON GRAND VACATIONS FLAMINGO,CLARK,NOT REPORTED,712,Surface water purchased,Active,NV0001136,False,False,[],[]
HILTON GRAND VACATIONS LAS VEGAS BLVD,CLARK,NOT REPORTED,2488,Surface water purchased,Active,NV0001150,False,False,[],[]
HODGES TRANSPORTATION CO,LYON,NOT REPORTED,160,Ground water,Active,NV0004053,False,False,[],[]
HOOVER DAM,CLARK,NOT REPORTED,3000,Surface water,Active,NV0003006,False,False,[],[]
HOOVER DAM LODGE DBA HACIENDA,CLARK,NOT REPORTED,141,Surface water purchased,Active,NV0001083,False,False,[],[]
HUMBOLDT CONSERVATION CAMP NDOC,HUMBOLDT,NOT REPORTED,140,Ground water,Active,NV0005069,False,False,[],[]
HYCROFT RESOURCES & DEVELOPMENT,HUMBOLDT,NOT REPORTED,921,Ground water,Active,NV0000864,False,False,[],[]
INDIAN SPGS AIR FORCE PT BRAVO,CLARK,NOT REPORTED,50,Ground water,Active,NV0005006,False,False,[],[]
JERRITT CANYON GOLD JERRITT CANYON MINE,ELKO,NOT REPORTED,125,Ground water,Active,NV0003013,False,False,[],[]
JERRITT CANYON GOLD SSX MINE,ELKO,NOT REPORTED,125,Ground water,Active,NV0000313,False,False,[],[]
JOYGLOBAL SURFACE MINING INC,ELKO,NOT REPORTED,25,Ground water,Active,NV0001126,False,False,[],[]
KAPEX WATER SYSTEM CITY OF NLV,CLARK,NOT REPORTED,25,Ground water,Active,NV0001107,False,False,[],[]
KENNAMETAL INC,CHURCHILL,NOT REPORTED,75,Ground water,Active,NV0002024,False,False,[],[]
KINGS RIVER ELEMENTARY SCHOOL,HUMBOLDT,NOT REPORTED,27,Ground water,Active,NV0002198,False,False,[],[]
KLONDEX HOLLISTER MINE INC,ELKO,NOT REPORTED,150,Ground water,Active,NV0000349,False,False,[],[]
KLONDEX MIDAS OPERATIONS INC,ELKO,NOT REPORTED,80,Ground water,Active,NV0000908,False,False,[],[]
LAKESIDE CASINO AND RV PARK,NYE,NOT REPORTED,25,Ground water,Active,NV0000834,False,False,[],[]
LAMOILLE VALLEY PLAZA,ELKO,NOT REPORTED,351,Ground water,Active,NV0000928,False,False,[],[]
LEEVILLE POTABLE WATER SYSTEM,EUREKA,NOT REPORTED,147,Ground water,Active,NV0000338,False,False,[],[]
LHOIST NORTH AMERICA,CLARK,NOT REPORTED,136,Ground water,Active,NV0001000,False,False,[],[]
LONE TREE MINE,HUMBOLDT,NOT REPORTED,150,Ground water,Active,NV0000907,False,False,[],[]
LONGSTREET INN AND CASINO,NYE,NOT REPORTED,72,Ground water,Active,NV0000871,False,False,[],[]
LOVES TRAVEL STOP AND COUNTRY STORE,CLARK,NOT REPORTED,3025,Ground water,Active,NV0002602,False,False,[],[]
LUND SCHOOL,WHITE PINE,NOT REPORTED,140,Ground water,Active,NV0000979,False,False,[],[]
LUXOR RESORT AND CASINO,CLARK,NOT REPORTED,3196,Surface water purchased,Active,NV0001111,False,False,[],[]
M RESORT SPA AND CASINO,CLARK,NOT REPORTED,3550,Surface water purchased,Active,NV0001130,False,False,[],[]
MANDALAY BAY RESORT AND CASINO,CLARK,NOT REPORTED,10549,Surface water purchased,Active,NV0001119,False,False,[],[]
MARIGOLD MINE POTABLE WATER SYSTEM,HUMBOLDT,NOT REPORTED,300,Ground water,Active,NV0001103,False,False,[],[]
MARS PETCARE US INC,STOREY,NOT REPORTED,140,Ground water,Active,NV0000878,False,False,[],[]
MGM GRAND HOTEL AND CASINO,CLARK,NOT REPORTED,15500,Surface water purchased,Active,NV0001121,False,False,[],[]
MIRAGE RESORT AND CASINO,CLARK,NOT REPORTED,4400,Surface water purchased,Active,NV0001120,False,False,[],[]
MONTE CARLO RESORT AND CASINO,CLARK,NOT REPORTED,1980,Surface water purchased,Active,NV0001118,False,False,[],[]
NAS CENTROID EW RANGE,CHURCHILL,NOT REPORTED,80,Ground water,Active,NV0002541,False,False,[],[]
NATCHEZ GYM,WASHOE,NOT REPORTED,175,Ground water,Active,NV0000869,False,False,[],[]
NATCHEZ SCHOOL,WASHOE,NOT REPORTED,200,Ground water,Active,NV0000774,False,False,[],[]
NEVADA TEST SITE A23 AND 6,NYE,NOT REPORTED,1700,Ground water,Active,NV0000360,False,False,[],[]
"NEW MILLENNIUM BUILDING SYSTEMS, LLC",CHURCHILL,NOT REPORTED,50,Ground water,Active,NV0000903,False,False,[],[]
NEW YORK NEW YORK HOTEL AND CASINO,CLARK,NOT REPORTED,2000,Surface water purchased,Active,NV0001112,False,False,[],[]
NEWMONT GOLD GOLD QUARRY,EUREKA,NOT REPORTED,700,Ground water,Active,NV0002600,False,False,[],[]
NEWMONT GOLD NORTH AREA LEACH,EUREKA,NOT REPORTED,300,Ground water,Active,NV0002603,False,False,[],[]
NEWMONT LONG CANYON MINE,ELKO,NOT REPORTED,110,Ground water,Active,NV0001138,False,False,[],[]
NORTH COUNTY WATER SYSTEM,DOUGLAS,NOT REPORTED,200,Ground water,Active,NV0000977,False,False,[],[]
NORTH VALLEY BUS FACILITY,WASHOE,NOT REPORTED,60,Ground water,Active,NV0000870,False,False,[],[]
NORTH VALMY POWER PLANT,HUMBOLDT,NOT REPORTED,120,Ground water,Active,NV0002513,False,False,[],[]
NORTHWEST ACADEMY,NYE,NOT REPORTED,50,Ground water,Active,NV0004067,False,False,[],[]
NPS COTTONWOOD COVE,CLARK,['COTTONWOOD COVE'],592,Ground water,Active,NV0002501,True,True,"[[{'type': 'Point', 'coordinates': [-114.3730298, 36.2972024]}]]","[['36.2971524', '36.2972524', '-114.3730798', '-114.3729798']]"
NYE COUNTY COMPLEX,NYE,NOT REPORTED,100,Ground water,Active,NV0002152,False,False,[],[]
PAHRUMP SENIOR CENTER INC,NYE,NOT REPORTED,70,Ground water,Active,NV0003036,False,False,[],[]
PARADISE VALLEY ELEMENTARY,HUMBOLDT,NOT REPORTED,35,Ground water,Active,NV0002186,False,False,[],[]
PHOENIX MINE POTABLE WATER SYSTEM,LANDER,NOT REPORTED,400,Ground water,Active,NV0000902,False,False,[],[]
PILOT TRAVEL CENTER 485,HUMBOLDT,NOT REPORTED,1448,Ground water,Active,NV0002095,False,False,[],[]
