WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A SHANTON DAYCARE,ROSS,NOT REPORTED,35,Ground water,Active,OH7136514,False,False,[],[]
ABLE TALENT SPACE CENTER,MAHONING,NOT REPORTED,110,Ground water,Active,OH5038712,False,False,[],[]
AC PRODUCTS,WAYNE,NOT REPORTED,40,Ground water,Active,OH8555612,False,False,[],[]
ADVANCED DRAINAGE SYSTEMS PWS,WAYNE,NOT REPORTED,50,Ground water,Active,OH8561312,False,False,[],[]
ADVANCED DRAINAGE SYSTEMS- BUTLER,BUTLER,NOT REPORTED,171,Ground water,Active,OH0939612,False,False,[],[]
ADVENTURE PLACE,STARK,NOT REPORTED,82,Ground water,Active,OH7658112,False,False,[],[]
ADVENTURES IN LEARNING CHILD CARE PWS,MEDINA,NOT REPORTED,85,Ground water,Active,OH5260212,False,False,[],[]
AEP DRESDEN FACILITY ADM PWS,MUSKINGUM,NOT REPORTED,36,Ground water,Active,OH6045112,False,False,[],[]
AIRMATE COMPANY,WILLIAMS,NOT REPORTED,34,Ground water,Active,OH8633312,False,False,[],[]
AK STEEL COSHOCTON WORKS,COSHOCTON,NOT REPORTED,319,Ground water,Active,OH1633912,False,False,[],[]
ALL AROUND CHILDREN DAYCARE,GEAUGA,NOT REPORTED,63,Ground water,Active,OH2836512,False,False,[],[]
ALLEGHENY WESLEYAN COLLEGE,COLUMBIANA,NOT REPORTED,115,Ground water,Active,OH1555012,False,False,[],[]
ALLEN EAST COMMUNITY CENTER,ALLEN,NOT REPORTED,190,Ground water,Active,OH0235412,False,False,[],[]
ALLEN EAST LOCAL SCHOOLS,ALLEN,NOT REPORTED,1200,Ground water,Active,OH0254212,False,False,[],[]
ALVADA CONSTRUCTION COMPLEX,SENECA,NOT REPORTED,45,Ground water,Active,OH7449212,False,False,[],[]
AMERICAN AUGERS,ASHLAND,NOT REPORTED,247,Ground water,Active,OH0333112,False,False,[],[]
ANCHOR FABRICATORS INC,MONTGOMERY,NOT REPORTED,32,Ground water,Active,OH5742012,False,False,[],[]
ANDERSON VREELAND,WILLIAMS,NOT REPORTED,69,Ground water,Active,OH8633612,False,False,[],[]
ANGELS FOR ANIMALS PWS,MAHONING,NOT REPORTED,34,Ground water,Active,OH5055016,False,False,[],[]
ANHEUSER-BUSCH SALES OF CANTON,STARK,NOT REPORTED,74,Ground water,Active,OH7668312,False,False,[],[]
ANNS CHILD CARE CENTER,GEAUGA,NOT REPORTED,64,Ground water,Active,OH2862712,False,False,[],[]
ANTHONY WAYNE SCHOOL,DARKE,NOT REPORTED,135,Ground water,Active,OH1930512,False,False,[],[]
APOSTOLATE FOR FAMILY CONSECRATION,JEFFERSON,NOT REPORTED,40,Ground water,Active,OH4137112,False,False,[],[]
AQUA OHIO-PREBLE CO.,PREBLE,NOT REPORTED,1748,Surface water purchased,Active,OH6835203,False,False,[],[]
ARROWHEAD ELEMENTARY SCHOOL,SUMMIT,NOT REPORTED,432,Ground water,Active,OH7773212,False,False,[],[]
ASHLAND CO WEST HOLMES CAREER CENTER,ASHLAND,NOT REPORTED,400,Ground water,Active,OH0334612,False,False,[],[]
ASHLAND COUNTY SERVICE CENTER,ASHLAND,NOT REPORTED,62,Ground water,Active,OH0300212,False,False,[],[]
ASM INTERNATIONAL,GEAUGA,NOT REPORTED,102,Ground water,Active,OH2857812,False,False,[],[]
AUGUSTA ELEMENTARY SCHOOL,CARROLL,NOT REPORTED,238,Ground water,Active,OH1030212,False,False,[],[]
AULLWOOD FARM DISCOVERY CENTER,MONTGOMERY,NOT REPORTED,140,Ground water,Active,OH5746812,False,False,[],[]
"AURIA HOLMESVILLE, LLC PWS",HOLMES,NOT REPORTED,321,Ground water,Active,OH3842412,False,False,[],[]
AUSTIN POWDER-EMULSION,VINTON,NOT REPORTED,26,Ground water,Active,OH8231012,False,False,[],[]
AUSTIN POWDER-MAIN SYSTEM,VINTON,NOT REPORTED,155,Ground water,Active,OH8230412,False,False,[],[]
"B AND H MACHINE, INC.",STARK,NOT REPORTED,25,Ground water,Active,OH7630512,False,False,[],[]
