WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ABSENTEE SHAWNEE HEALTH CENTER,CLEVELAND,NOT REPORTED,87,Ground water,Active,OK4001492,False,False,[],[]
ACG MATERIALS BOUSE JUNCTION,MAJOR,NOT REPORTED,25,Ground water,Active,OK2004451,False,False,[],[]
BALKO SCHOOL,BEAVER,NOT REPORTED,200,Ground water,Active,OK2000416,False,False,[],[]
BARNES SCHOOL,OKLAHOMA,NOT REPORTED,371,Ground water,Active,OK4005547,False,False,[],[]
BRAUMS DAIRY & PROCESSING PLT,GRADY,NOT REPORTED,25,Ground water,Active,OK1010852,False,False,[],[]
BRIDGE CREEK FIELDHOUSE,GRADY,NOT REPORTED,25,Ground water,Active,OK4002631,False,False,[],[]
BRIDGE CREEK HIGH SCHOOL,GRADY,NOT REPORTED,457,Ground water,Active,OK4002666,False,False,[],[]
BRIDGE CREEK LOWER ELEMENTARY SCHOOL,GRADY,NOT REPORTED,312,Ground water,Active,OK2002694,False,False,[],[]
BRIDGE CREEK MIDDLE SCHOOL,GRADY,NOT REPORTED,370,Ground water,Active,OK4002630,False,False,[],[]
BRIDGE CREEK UPPER ELEMENTARY SCHOOL,GRADY,NOT REPORTED,415,Ground water,Active,OK2002628,False,False,[],[]
BUNDLES OF JOY,OKLAHOMA,NOT REPORTED,30,Ground water,Active,OK8005583,False,False,[],[]
CAMP GRUBER / OK MILITARY DEPT,MUSKOGEE,NOT REPORTED,2469,Surface water,Active,OK1021772,False,False,[],[]
CHARLIE BROWN'S LEARNING CENTER,OKLAHOMA,NOT REPORTED,65,Ground water,Active,OK6005515,False,False,[],[]
CHOCTAW AGRICULTURE EDUCATION FACILITY,OKLAHOMA,NOT REPORTED,26,Ground water,Active,OK8005561,False,False,[],[]
CHOCTAW-NICOMA PARK (CHS BOREN CENTER),OKLAHOMA,NOT REPORTED,276,Ground water,Active,OK7005567,False,False,[],[]
CHOCTAW-NICOMA PARK (SERVICE CENTER),OKLAHOMA,NOT REPORTED,25,Ground water,Active,OK5005586,False,False,[],[]
CIMARRON FEEDERS,CIMARRON,NOT REPORTED,49,Ground water,Active,OK2001305,False,False,[],[]
CLINTON-SHERMAN INDUSTRIAL AIRPARK,WASHITA,NOT REPORTED,358,Ground water,Active,OK2007506,False,False,[],[]
DEER RUN,PAYNE,NOT REPORTED,110,Surface water purchased,Active,OK3006047,False,False,[],[]
DELLING #2 LLC,OKLAHOMA,['CHOCTAW'],100,Ground water,Active,OK2005593,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-95.992592, 34.158585], [-95.990517, 34.154892], [-95.984001, 34.151085], [-95.97847, 34.150486], [-95.97226, 34.153053], [-95.967911, 34.150665], [-95.966888, 34.148365], [-95.961327, 34.148674], [-95.960197, 34.149101], [-95.959106, 34.148617], [-95.957489, 34.147209], [-95.95533, 34.14579], [-95.95311, 34.145729], [-95.950943, 34.14431], [-95.949905, 34.142464], [-95.95166, 34.140236], [-95.951172, 34.138405], [-95.947899, 34.136955], [-95.946915, 34.133747], [-95.947006, 34.131474], [-95.947632, 34.129673], [-95.948235, 34.128323], [-95.946648, 34.126461], [-95.944443, 34.12595], [-95.94001, 34.125832], [-95.936287, 34.121643], [-95.936623, 34.11301], [-95.937767, 34.069843], [-95.936913, 34.049358], [-95.93853, 33.951618], [-95.937706, 33.944317], [-95.929802, 33.934101], [-95.919609, 33.925644], [-95.910347, 33.921757], [-95.895966, 33.921371], [-95.882805, 33.918289], [-95.876968, 33.911766], [-95.867989, 33.901058], [-95.863464, 33.889565], [-95.859726, 33.88628], [-95.843025, 33.874905], [-95.830315, 33.874557], [-95.818748, 33.872875], [-95.812798, 33.86953], [-95.809486, 33.869438], [-95.802185, 33.871964], [-95.793839, 33.873096], [-95.787796, 33.872021], [-95.785072, 33.871033], [-95.781754, 33.870941], [-95.779999, 33.873169], [-95.776627, 33.874439], [-95.7626433, 33.8736296], [-95.7630589, 33.8745862], [-95.7632306, 33.8787193], [-95.7626727, 33.8812133], [-95.7592416, 33.8878043], [-95.7556367, 33.8924354], [-95.751431, 33.895499], [-95.747912, 33.8968526], [-95.7424188, 33.8969239], [-95.735724, 33.8967814], [-95.7295442, 33.8958552], [-95.7231069, 33.8933616], [-95.7197595, 33.890583], [-95.7145238, 33.886308], [-95.7106614, 33.8851679], [-95.7024217, 33.8855955], [-95.6960702, 33.886878], [-95.6905771, 33.8888018], [-95.6838823, 33.8922217], [-95.6783891, 33.8966389], [-95.6741834, 33.9016258], [-95.6676603, 33.9077521], [-95.6621671, 33.9101028], [-95.6552148, 33.9108151], [-95.65058, 33.909248], [-95.6456018, 33.907396], [-95.6381345, 33.904689], [-95.6341863, 33.904689], [-95.6303239, 33.9056151], [-95.6279207, 33.907396], [-95.6247449, 33.9125247], [-95.6232, 33.9165847], [-95.6207109, 33.9218553], [-95.6145311, 33.9266983], [-95.6088662, 33.9311849], [-95.6043172, 33.932538], [-95.6012273, 33.9323243], [-95.5978799, 33.9332501], [-95.5962491, 33.9370243], [-95.5965066, 33.9398726], [-95.5950475, 33.9431481], [-95.5929876, 33.9435753], [-95.5894685, 33.9425785], [-95.5853486, 33.9385197], [-95.5793405, 33.9328228], [-95.5770231, 33.9327516], [-95.5717874, 33.9337486], [-95.5665517, 33.9338198], [-95.5611444, 33.932538], [-95.5565954, 33.9300455], [-95.5544839, 33.9281582], [-95.5524068, 33.9251564], [-95.5510164, 33.9210006], [-95.5505872, 33.9165135], [-95.5499006, 33.9127384], [-95.5481839, 33.907111], [-95.5479265, 33.9024806], [-95.5490423, 33.897565], [-95.5510164, 33.8935754], [-95.5512738, 33.8902267], [-95.5493856, 33.8851679], [-95.5462098, 33.8818902], [-95.5435491, 33.8806076], [-95.5390859, 33.8803939], [-95.5332494, 33.8816052], [-95.5282712, 33.8842416], [-95.5239797, 33.8870917], [-95.5199456, 33.8912242], [-95.5155683, 33.8964964], [-95.5121351, 33.8983487], [-95.5087877, 33.8986337], [-95.5051828, 33.8966389], [-95.5041528, 33.8947153], [-95.5039811, 33.8907255], [-95.5050111, 33.8844554], [-95.5046678, 33.8819615], [-95.5052686, 33.8788262], [-95.5051828, 33.8769022], [-95.504067, 33.8762609], [-95.4989171, 33.8756195], [-95.4935098, 33.8756195], [-95.4800344, 33.8793963], [-95.475142, 33.8829591], [-95.4687906, 33.8873768], [-95.4641557, 33.8885168], [-95.4600358, 33.8878755], [-95.4568601, 33.8858805], [-95.4535127, 33.8821753], [-95.4515386, 33.8781849], [-95.4505086, 33.874123], [-95.4497361, 33.8717001], [-95.4483629, 33.8693483], [-95.4430414, 33.8664976], [-95.4382348, 33.8652861], [-95.4340291, 33.8654999], [-95.4296518, 33.866854], [-95.4250169, 33.8709874], [-95.4228711, 33.8725552], [-95.4177213, 33.8718426], [-95.4133439, 33.8689207], [-95.4087091, 33.8652861], [-95.4038167, 33.8629341], [-95.3987527, 33.8629341], [-95.3930879, 33.8646446], [-95.3857923, 33.868992], [-95.3800416, 33.8710587], [-95.3752351, 33.8707736], [-95.3690553, 33.8684219], [-95.363648, 33.8669965], [-95.3609872, 33.8675667], [-95.3578973, 33.8695621], [-95.3568673, 33.8729828], [-95.3556915, 33.8737738], [-95.3466535, 33.8752632], [-95.3381562, 33.8764746], [-95.3354955, 33.8786124], [-95.3317189, 33.8825315], [-95.3294873, 33.8880893], [-95.3279424, 33.8900843], [-95.3257966, 33.890868], [-95.3220201, 33.8902267], [-95.3180719, 33.8890155], [-95.3158403, 33.887448], [-95.3140378, 33.8840991], [-95.3111031, 33.8791724], [-95.3101754, 33.8776148], [-95.306828, 33.8750494], [-95.3047681, 33.8742655], [-95.29876, 33.8743368], [-95.2929235, 33.8740518], [-95.2899194, 33.8736955], [-95.2813363, 33.875477], [-95.2785039, 33.8773298], [-95.2782464, 33.8802513], [-95.2793622, 33.8855242], [-95.2784181, 33.8878043], [-95.2784806, 33.8898269], [-95.2785898, 33.8933616], [-95.2798772, 33.8974226], [-95.2822805, 33.9010559], [-95.2850271, 33.9054726], [-95.2851987, 33.9083932], [-95.2827096, 33.9103877], [-95.2796197, 33.9109576], [-95.2728391, 33.911385], [-95.2692342, 33.9108151], [-95.266316, 33.9098179], [-95.2635694, 33.9065411], [-95.2626252, 33.9031218], [-95.2627111, 33.9008421], [-95.2639985, 33.8946441], [-95.2644277, 33.8907255], [-95.2635865, 33.8886842], [-95.2617669, 33.888018], [-95.2570462, 33.8912955], [-95.2548147, 33.8948578], [-95.2522397, 33.9002722], [-95.2502656, 33.9056863], [-95.2486348, 33.9118836], [-95.2486348, 33.9162998], [-95.2498365, 33.9232085], [-95.2512098, 33.9296182], [-95.2518964, 33.9338198], [-95.2512098, 33.9382348], [-95.2486348, 33.9425785], [-95.24297, 33.9471354], [-95.236876, 33.9499834], [-95.2332711, 33.9511226], [-95.2308679, 33.9521906], [-95.2296663, 33.955252], [-95.2292371, 33.9581709], [-95.2276063, 33.9620864], [-95.2235723, 33.9632254], [-95.2197099, 33.9632254], [-95.215075, 33.9627271], [-95.210629, 33.961613], [-95.2050329, 33.9591676], [-95.2010846, 33.9571742], [-95.1968789, 33.954896], [-95.1885534, 33.9513362], [-95.177567, 33.9491291], [-95.1697564, 33.9462098], [-95.1643491, 33.9432905], [-95.1580835, 33.939303], [-95.1544624, 33.9380291], [-95.156288, 34.157032], [-95.35775, 34.156773], [-95.408844, 34.156998], [-95.423843, 34.157009], [-95.469406, 34.15704], [-95.498291, 34.157005], [-95.572731, 34.156952], [-95.779671, 34.156612], [-95.992592, 34.158585]]]}]]","[['33.8629341', '34.158585', '-95.992592', '-95.1544624']]"
DOLESE BROS ROCK QUARRY,COMANCHE,NOT REPORTED,30,Ground water,Active,OK2001657,False,False,[],[]
DUIT CONSTRUCTION,OKLAHOMA,NOT REPORTED,100,Ground water,Active,OK9005501,False,False,[],[]
DWIGHT MISSION CAMP,SEQUOYAH,NOT REPORTED,179,Surface water purchased,Active,OK3006839,False,False,[],[]
EASTPOINTE COMMUNITY CHURCH,OKLAHOMA,NOT REPORTED,25,Ground water,Active,OK6005596,False,False,[],[]
