WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ABIQUA LEARNING CENTER,MARION,NOT REPORTED,71,Ground water,Active,OR4194876,False,False,[],[]
ABIQUA SCHOOL,MARION,NOT REPORTED,160,Ground water,Active,OR4193768,False,False,[],[]
ALLENDALE ELEMENTARY SD 7,JOSEPHINE,NOT REPORTED,475,Ground water,Active,OR4191901,False,False,[],[]
ALPENROSE DAIRY,MULTNOMAH,NOT REPORTED,150,Ground water,Active,OR4194515,False,False,[],[]
AMERICAN LAMINATORS--TIDEWATER,LANE,NOT REPORTED,50,Ground water,Active,OR4191874,False,False,[],[]
AMSTAD FARMS,WASHINGTON,NOT REPORTED,50,Ground water,Active,OR4105644,False,False,[],[]
ANNEX ELEMENTARY SD 29,MALHEUR,NOT REPORTED,50,Ground water,Active,OR4190889,False,False,[],[]
APPLEGATE ELEMENTARY 66,LANE,NOT REPORTED,120,Ground water,Active,OR4190894,False,False,[],[]
APPLEGATE SCHOOL,JACKSON,NOT REPORTED,75,Ground water,Active,OR4190544,False,False,[],[]
ARBOR SCHOOL,CLACKAMAS,NOT REPORTED,150,Ground water,Active,OR4194894,False,False,[],[]
ASH GROVE CEMENT DURKEE PLANT,BAKER,NOT REPORTED,90,Ground water,Active,OR4190004,False,False,[],[]
ASH GROVE CEMENT WEST-RVRGATE,MULTNOMAH,NOT REPORTED,32,Ground water,Active,OR4194453,False,False,[],[]
ASHLAND YMCA,JACKSON,NOT REPORTED,200,Ground water,Active,OR4195466,False,False,[],[]
ATHEY CREEK MIDDLE SCHOOL,CLACKAMAS,NOT REPORTED,565,Ground water,Active,OR4194901,False,False,[],[]
BAILEY NURSERY REEDER RD MAIN,MULTNOMAH,NOT REPORTED,54,Ground water,Active,OR4195481,False,False,[],[]
BANDON COASTAL DUNES,COOS,NOT REPORTED,600,Ground water,Active,OR4195063,False,False,[],[]
