WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
2452 QUAKERTOWN RD,MONTGOMERY,NOT REPORTED,80,Ground water,Active,PA1460002,False,False,[],[]
994 PENN BANK OPERATIONS CENT,DAUPHIN,NOT REPORTED,34,Ground water,Active,PA7220819,False,False,[],[]
A C VALLEY DEVELOPMENT CORP,BUTLER,NOT REPORTED,500,Ground water,Active,PA5101010,False,False,[],[]
A CHILDS FUTURE ELC,LEHIGH,NOT REPORTED,62,Ground water,Active,PA3390367,False,False,[],[]
A CLEAR ALTERNATIVE,NOT REPORTED,NOT REPORTED,25,Ground water purchased,Active,PA9996585,False,False,[],[]
A STEP AHEAD,SCHUYLKILL,NOT REPORTED,50,Ground water,Active,PA3540953,False,False,[],[]
ABRAXAS YOUTH AND FAMILY,FOREST,NOT REPORTED,390,Ground water,Active,PA6270005,False,False,[],[]
ACORNS TO OAKS DAY CARE,MONROE,NOT REPORTED,60,Ground water,Active,PA2451184,False,False,[],[]
ADAMS CNTY CHRISTIAN ACADEMY,ADAMS,NOT REPORTED,163,Ground water,Active,PA7010964,False,False,[],[]
ADAMS MFG PLANT #1,BUTLER,NOT REPORTED,27,Ground water,Active,PA5101049,False,False,[],[]
ADAMS MFG PLANT 2,BUTLER,NOT REPORTED,150,Ground water,Active,PA5101035,False,False,[],[]
ADESA FLEET LEASING,YORK,NOT REPORTED,40,Ground water,Active,PA7670315,False,False,[],[]
ADESA MERCER,MERCER,NOT REPORTED,225,Ground water,Active,PA6430824,False,False,[],[]
AHLSTROM FILTRATION LLC,CUMBERLAND,NOT REPORTED,40,Ground water,Active,PA7210344,False,False,[],[]
AIR LIQUIDE,BUCKS,NOT REPORTED,150,Ground water,Active,PA1090931,False,False,[],[]
AIR LIQUIDE MEDICAL,BUCKS,NOT REPORTED,200,Ground water,Active,PA1090928,False,False,[],[]
ALLEGHENY EAST CONF,BERKS,NOT REPORTED,260,Ground water,Active,PA3060984,False,False,[],[]
ALLENBERRY RESORT,CUMBERLAND,NOT REPORTED,500,Ground water,Active,PA7210323,False,False,[],[]
ALLIED SERVICES CORPORATE CTR,LACKAWANNA,NOT REPORTED,100,Ground water,Active,PA2350404,False,False,[],[]
ALMOST HOME CHILDRENS CENTER,BERKS,NOT REPORTED,160,Ground water,Active,PA3061095,False,False,[],[]
AMAZON,LACKAWANNA,NOT REPORTED,25,Ground water,Active,PA2350335,False,False,[],[]
AMERICOLD,LACKAWANNA,NOT REPORTED,230,Ground water,Active,PA2350320,False,False,[],[]
AMES REESE INC,LANCASTER,NOT REPORTED,40,Ground water,Active,PA7361114,False,False,[],[]
