WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ADAMS RUN CIVIC CENTER (SC1070148),CHARLESTON,NOT REPORTED,26,Ground water,Active,SC1070148,False,False,[],[]
AHLSTROM NONWOVENS (2830003),KERSHAW,NOT REPORTED,350,Ground water,Active,SC2830003,False,False,[],[]
ALLENDALE OSB PLANT (0330005),ALLENDALE,['FAIRFAX'],137,Ground water,Active,SC0330005,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-81.253761, 32.958038], [-81.253708, 32.95688], [-81.253659, 32.956107], [-81.253569, 32.955381], [-81.253434, 32.955], [-81.253342, 32.954662], [-81.253275, 32.954513], [-81.253149, 32.954209], [-81.252826, 32.953871], [-81.252417, 32.953006], [-81.252049, 32.952326], [-81.251511, 32.951551], [-81.251002, 32.951039], [-81.249822, 32.950059], [-81.249822, 32.948377], [-81.247748, 32.947411], [-81.24707, 32.947111], [-81.244979, 32.946342], [-81.243939, 32.946012], [-81.241794, 32.94529], [-81.240629, 32.944874], [-81.239479, 32.944772], [-81.2387906, 32.9448588], [-81.238391, 32.944885], [-81.237489, 32.944868], [-81.236581, 32.944837], [-81.235891, 32.944806], [-81.235113, 32.944775], [-81.233523, 32.944814], [-81.232916, 32.944896], [-81.231321, 32.945116], [-81.228978, 32.945769], [-81.22861, 32.945883], [-81.227374, 32.946233], [-81.227077, 32.946368], [-81.226134, 32.947135], [-81.224131, 32.948684], [-81.223346, 32.949215], [-81.223213, 32.949241], [-81.2230253, 32.9493886], [-81.222513, 32.949799], [-81.221348, 32.950564], [-81.22044, 32.951597], [-81.22019, 32.951855], [-81.219563, 32.95335], [-81.219523, 32.953514], [-81.21941, 32.954251], [-81.218904, 32.956849], [-81.218702, 32.958526], [-81.218603, 32.960721], [-81.2187, 32.961895], [-81.218928, 32.962057], [-81.221453, 32.963617], [-81.222041, 32.963896], [-81.222158, 32.964243], [-81.22255, 32.966607], [-81.22298, 32.968199], [-81.223419, 32.969299], [-81.224513, 32.970397], [-81.227012, 32.971876], [-81.228067, 32.972443], [-81.229149, 32.973032], [-81.230178, 32.973366], [-81.231128, 32.973593], [-81.231377, 32.973622], [-81.233046, 32.973975], [-81.234324, 32.974127], [-81.235031, 32.974266], [-81.23586, 32.974289], [-81.237351, 32.974348], [-81.237851, 32.974359], [-81.240305, 32.974015], [-81.243793, 32.973065], [-81.246319, 32.971853], [-81.246854, 32.971604], [-81.248541, 32.970661], [-81.249502, 32.969985], [-81.249826, 32.969673], [-81.249842, 32.968725], [-81.249966, 32.968577], [-81.250257, 32.968246], [-81.250409, 32.968024], [-81.250952, 32.967457], [-81.251409, 32.966776], [-81.252133, 32.965503], [-81.252638, 32.964517], [-81.252832, 32.96396], [-81.252979, 32.963541], [-81.252944, 32.963482], [-81.253089, 32.963062], [-81.253185, 32.962659], [-81.25338, 32.961826], [-81.253609, 32.960152], [-81.253761, 32.958038]]]}]]","[['32.944772', '32.974359', '-81.253761', '-81.218603']]"
ANDREW JACKSON ACADEMY (0570100),BAMBERG,['EHRHARDT'],185,Ground water,Active,SC0570100,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-81.031877, 33.097909], [-81.031787, 33.09738], [-81.031785, 33.097365], [-81.031695, 33.096594], [-81.031696, 33.096512], [-81.031508, 33.095802], [-81.031371, 33.095284], [-81.031289, 33.095025], [-81.031046, 33.094251], [-81.031, 33.094104], [-81.030968, 33.093992], [-81.030644, 33.093531], [-81.030082, 33.092732], [-81.029702, 33.092132], [-81.029401, 33.091657], [-81.02879, 33.090629], [-81.02819, 33.089936], [-81.027295, 33.088902], [-81.025304, 33.087335], [-81.023235, 33.086049], [-81.023198, 33.086026], [-81.021373, 33.085054], [-81.02117, 33.085147], [-81.020931, 33.085259], [-81.020554, 33.085113], [-81.020346, 33.085035], [-81.019689, 33.084865], [-81.018687, 33.084607], [-81.018592, 33.084607], [-81.017694, 33.084486], [-81.017022, 33.084396], [-81.01584, 33.084247], [-81.014106, 33.084232], [-81.013191, 33.084225], [-81.011561, 33.084383], [-81.008933, 33.084528], [-81.006574, 33.085106], [-81.005546, 33.085645], [-81.004021, 33.086446], [-81.003066, 33.087176], [-81.002956, 33.08726], [-81.002628, 33.087513], [-81.002519, 33.087598], [-81.002403, 33.087687], [-81.002373, 33.087711], [-81.002066, 33.087967], [-81.001954, 33.088061], [-81.001856, 33.088141], [-81.001566, 33.088383], [-81.001469, 33.088466], [-81.001352, 33.088567], [-81.000952, 33.088935], [-80.999911, 33.089898], [-80.999479, 33.090418], [-80.999033, 33.090955], [-80.999011, 33.090981], [-80.998946, 33.091062], [-80.998925, 33.091089], [-80.998499, 33.091599], [-80.997887, 33.09278], [-80.997829, 33.092976], [-80.997351, 33.094639], [-80.997024, 33.096922], [-80.99691, 33.098191], [-80.996909, 33.099483], [-80.996909, 33.09963], [-80.996889, 33.100815], [-80.99712, 33.101653], [-80.997199, 33.101928], [-80.997294, 33.102204], [-80.997505, 33.102813], [-80.998003, 33.103785], [-80.998268, 33.104301], [-80.998872, 33.105145], [-81.00012, 33.106888], [-81.000733, 33.107644], [-81.0013, 33.108345], [-81.001402, 33.10844], [-81.001808, 33.108812], [-81.002722, 33.109654], [-81.003073, 33.109872], [-81.003542, 33.110164], [-81.004315, 33.110667], [-81.005465, 33.111148], [-81.006253, 33.11148], [-81.009302, 33.112484], [-81.011026, 33.112863], [-81.011701, 33.112958], [-81.012312, 33.113047], [-81.013864, 33.112972], [-81.017267, 33.112872], [-81.017773, 33.112858], [-81.018778, 33.112697], [-81.02132, 33.112038], [-81.022724, 33.111453], [-81.024544, 33.110449], [-81.025964, 33.109441], [-81.026502, 33.108953], [-81.027177, 33.108347], [-81.028595, 33.106999], [-81.028941, 33.106583], [-81.02972, 33.105537], [-81.029973, 33.105044], [-81.030432, 33.104152], [-81.030935, 33.102678], [-81.031053, 33.102418], [-81.031247, 33.101203], [-81.031557, 33.099817], [-81.031569, 33.099741], [-81.031877, 33.097909]]]}]]","[['33.084225', '33.113047', '-81.031877', '-80.996889']]"
