WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ACCURATE ENERGETIC SYSTEMS,HICKMAN,NOT REPORTED,90,Ground water,Active,TN0004910,False,False,[],[]
AEDC COMPLEX-WATER PLANT,COFFEE,NOT REPORTED,2500,Surface water,Active,TN0004408,False,False,[],[]
ANN AND ANDY'S DAY CARE CENTER,CARROLL,NOT REPORTED,25,Ground water,Active,TN0004737,False,False,[],[]
"BLUES CITY BREWERY, LLC",SHELBY,NOT REPORTED,70,Ground water,Active,TN0004992,False,False,[],[]
BUSH BROTHERS #3,JEFFERSON,NOT REPORTED,330,Surface water,Active,TN0004415,False,False,[],[]
CADES COVE CAMPGROUND,BLOUNT,NOT REPORTED,2000,Ground water,Active,TN0001263,False,False,[],[]
"CEMEX CONSTRUCTION MATERIALS ATLANTIC, L",KNOX,NOT REPORTED,120,Ground water,Active,TN0004314,False,False,[],[]
CHEMOURS-NEW JOHNSONVILLE PLANT,HUMPHREYS,NOT REPORTED,750,Surface water,Active,TN0003779,False,False,[],[]
CLINCH K-12 SCHOOL (NEW BUILDING),HAWKINS,NOT REPORTED,170,Groundwater under influence of surface water,Active,TN0005150,False,False,[],[]
COKER CREEK ELEMENTARY SCHOOL,MONROE,NOT REPORTED,130,Ground water,Active,TN0002942,False,False,[],[]
"E.I. DUPONT, OLD HICKORY",DAVIDSON,NOT REPORTED,604,Surface water,Active,TN0004300,False,False,[],[]
GREAT SMOKY MTNS NATIONAL PARK HEADQTRS,SEVIER,NOT REPORTED,3125,Ground water,Active,TN0000270,False,False,[],[]
GREENBRIER SCHOOL ALT LEARNING CENTER,SEVIER,NOT REPORTED,35,Ground water,Active,TN0001468,False,False,[],[]
HILLSHIRE BRANDS COMPANY,DYER,NOT REPORTED,750,Ground water,Active,TN0005028,False,False,[],[]
JACKS CREEK ELEMENTARY SCHOOL,CHESTER,NOT REPORTED,160,Ground water,Active,TN0001234,False,False,[],[]
K-T CLAY COMPANY,WEAKLEY,NOT REPORTED,35,Ground water,Active,TN0004772,False,False,[],[]
KELLOGG'S CONVENIENCE FOODS,FAYETTE,NOT REPORTED,200,Ground water,Active,TN0002109,False,False,[],[]
LHOIST NORTH AMERICA,FRANKLIN,NOT REPORTED,51,Groundwater under influence of surface water,Active,TN0005124,False,False,[],[]
MILAN ARSENAL #1,GIBSON,['MILAN'],150,Ground water,Active,TN0000798,True,True,"[[{'type': 'MultiPolygon', 'coordinates': [[[[-88.744562, 35.874191], [-88.744473, 35.874841], [-88.744512, 35.875378], [-88.744644, 35.876004], [-88.746314, 35.882079], [-88.746442, 35.882748], [-88.747461, 35.886231], [-88.748248, 35.889149], [-88.748116, 35.889156], [-88.74798, 35.89275], [-88.747706, 35.897186], [-88.7474966, 35.9006879], [-88.7473989, 35.902621], [-88.7452079, 35.902587], [-88.745166, 35.9075721], [-88.744967, 35.909572], [-88.745014, 35.910325], [-88.7450819, 35.9119153], [-88.7385196, 35.9119353], [-88.738621, 35.916448], [-88.735206, 35.918083], [-88.734311, 35.918292], [-88.731485, 35.918477], [-88.731154, 35.918594], [-88.730881, 35.918497], [-88.725693, 35.91853], [-88.725677, 35.919286], [-88.7249683, 35.9272006], [-88.724038, 35.927367], [-88.7238962, 35.9287926], [-88.7237948, 35.928918], [-88.7270347, 35.9321922], [-88.7294982, 35.9346341], [-88.728431, 35.935368], [-88.73202, 35.935554], [-88.736635, 35.937662], [-88.74235, 35.939608], [-88.743342, 35.939885], [-88.742886, 35.941899], [-88.743642, 35.942051], [-88.746546, 35.942123], [-88.746844, 35.940817], [-88.748379, 35.94123], [-88.74624, 35.944681], [-88.747093, 35.944664], [-88.748038, 35.944519], [-88.748056, 35.94472], [-88.74789, 35.944937], [-88.74894, 35.944994], [-88.750898, 35.94494], [-88.750922, 35.944558], [-88.755727, 35.944545], [-88.757028, 35.941142], [-88.763237, 35.941766], [-88.766419, 35.944188], [-88.768393, 35.945429], [-88.768871, 35.945131], [-88.76945, 35.944896], [-88.76822, 35.941429], [-88.768351, 35.941428], [-88.76594, 35.934678], [-88.784059, 35.935357], [-88.784267, 35.935102], [-88.784489, 35.934764], [-88.784574, 35.934598], [-88.776409, 35.930684], [-88.775017, 35.929906], [-88.772604, 35.921116], [-88.772512, 35.920403], [-88.772548, 35.919894], [-88.772202, 35.919276], [-88.772236, 35.919156], [-88.773272, 35.919168], [-88.773545, 35.917544], [-88.774359, 35.915952], [-88.774547, 35.916068], [-88.777786, 35.913441], [-88.77693, 35.912396], [-88.776599, 35.912071], [-88.778646, 35.911342], [-88.779709, 35.910897], [-88.77978, 35.907182], [-88.78398, 35.907135], [-88.78398, 35.906219], [-88.782843, 35.906251], [-88.782808, 35.903046], [-88.782686, 35.903191], [-88.7803, 35.904226], [-88.779502, 35.904523], [-88.779147, 35.904231], [-88.778889, 35.904131], [-88.778038, 35.904374], [-88.773019, 35.905349], [-88.772984, 35.904028], [-88.772832, 35.903305], [-88.772589, 35.901606], [-88.772501, 35.90131], [-88.77227, 35.900901], [-88.771555, 35.900604], [-88.771028, 35.900285], [-88.770819, 35.900285], [-88.77061, 35.900158], [-88.770502, 35.899977], [-88.770286, 35.899823], [-88.770206, 35.895259], [-88.772694, 35.89534], [-88.772749, 35.890812], [-88.77146, 35.890811], [-88.771461, 35.887595], [-88.769379, 35.887579], [-88.769357, 35.886974], [-88.769608, 35.884273], [-88.771089, 35.884273], [-88.771115, 35.883809], [-88.774062, 35.884695], [-88.774143, 35.882129], [-88.771486, 35.881352], [-88.770364, 35.881235], [-88.76974, 35.881285], [-88.769718, 35.880658], [-88.768879, 35.880657], [-88.768884, 35.878574], [-88.765641, 35.878307], [-88.765897, 35.874214], [-88.763375, 35.874422], [-88.760572, 35.874585], [-88.75893, 35.874613], [-88.757846, 35.87455], [-88.756823, 35.870837], [-88.754237, 35.87133], [-88.750767, 35.872129], [-88.751539, 35.874701], [-88.750969, 35.874736], [-88.750408, 35.874686], [-88.749688, 35.874462], [-88.749371, 35.874309], [-88.749254, 35.874099], [-88.747277, 35.874069], [-88.744562, 35.874191]]], [[[-88.744562, 35.874191], [-88.745148, 35.8717], [-88.74251, 35.871718], [-88.742654, 35.874188], [-88.743051, 35.874179], [-88.742989, 35.87436], [-88.743665, 35.87431], [-88.743711, 35.874196], [-88.744562, 35.874191]]]]}]]","[['35.870837', '35.945429', '-88.784574', '-88.7237948']]"
NATCHEZ TRACE YOUTH ACADEMY,HUMPHREYS,NOT REPORTED,225,Groundwater under influence of surface water,Active,TN0000921,False,False,[],[]
NESTLE WATERS NORTH AMERICA,MACON,NOT REPORTED,132,Groundwater under influence of surface water,Active,TN0005142,False,False,[],[]
