WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1350 HUGH ROAD WATER SYSTEM,HARRIS,NOT REPORTED,25,Ground water,Active,TX1012765,False,False,[],[]
14200 STUEBNER AIRLINE OFFICE WAREHOUSE,HARRIS,NOT REPORTED,48,Ground water,Active,TX1012239,False,False,[],[]
147TH T A N G,HARRIS,NOT REPORTED,450,Surface water purchased,Active,TX1013173,False,False,[],[]
1585 & FRANKFORD DISCOUNT RV STORAGE,LUBBOCK,NOT REPORTED,192,Ground water,Active,TX1520279,False,False,[],[]
3H FARMS,MONTGOMERY,NOT REPORTED,25,Ground water,Active,TX1700835,False,False,[],[]
3S SERVICES MIDLAND,MIDLAND,NOT REPORTED,35,Ground water,Active,TX1650170,False,False,[],[]
529 COMMERCE PARK,HARRIS,NOT REPORTED,25,Ground water,Active,TX1013504,False,False,[],[]
529 INDUSTRIAL DEVELOPMENT,HARRIS,NOT REPORTED,250,Ground water,Active,TX1013441,False,False,[],[]
6711 HIGHWAY 332,BRAZORIA,NOT REPORTED,50,Ground water,Active,TX0200630,False,False,[],[]
A PLACE TO GROW CHILD GUIDANCE CENTER,BRAZORIA,NOT REPORTED,234,Ground water,Active,TX0200526,False,False,[],[]
A SCHULMAN LA PORTE,HARRIS,NOT REPORTED,140,Ground water,Active,TX1013161,False,False,[],[]
A YOUNG ADVENTURE DAY CARE CENTER,FORT BEND,NOT REPORTED,85,Ground water,Active,TX0790191,False,False,[],[]
ACCELERATED PRODUCTION SYSTEMS TOMBALL,HARRIS,NOT REPORTED,151,Ground water,Active,TX1013012,False,False,[],[]
ACME BRICK COMPANY SAN FELIPE PLANT,AUSTIN,NOT REPORTED,115,Ground water,Active,TX0080036,False,False,[],[]
ACME BRICK ELGIN PLANT,BASTROP,NOT REPORTED,125,Ground water,Active,TX0110022,False,False,[],[]
AIR LIQUIDE LARGE INDUSTRIES US,HARRIS,NOT REPORTED,80,Surface water purchased,Active,TX1011467,False,False,[],[]
AIR PRODUCTS LA PORTE PLANT,HARRIS,NOT REPORTED,135,Ground water,Active,TX1011569,False,False,[],[]
AIRGAS SOUTHWEST LA PORTE,HARRIS,NOT REPORTED,80,Ground water,Active,TX1013417,False,False,[],[]
AKZO NOBEL CHEMICALS DEER PARK,HARRIS,NOT REPORTED,110,Ground water,Active,TX1012160,False,False,[],[]
AKZO NOBEL SURFACE CHEMISTRY,FORT BEND,NOT REPORTED,145,Surface water purchased,Active,TX0790413,False,False,[],[]
ALAMO 1,BEXAR,NOT REPORTED,34,Ground water,Active,TX0150091,False,False,[],[]
ALAMO CEMENT,BEXAR,NOT REPORTED,130,Ground water,Active,TX0150459,False,False,[],[]
ALBEMARLE HOUSTON PLANT,HARRIS,NOT REPORTED,680,Ground water,Active,TX1011172,False,False,[],[]
ALCOA POINT COMFORT OPERATIONS,CALHOUN,NOT REPORTED,400,Ground water,Active,TX0290014,False,False,[],[]
ALDINE ISD BILL J WILSON INTERMEDIATE,HARRIS,NOT REPORTED,2000,Ground water,Active,TX1012823,False,False,[],[]
ALDINE ISD GRACE RAYMOND ELEMENTARY SCHO,HARRIS,NOT REPORTED,4000,Ground water,Active,TX1010837,False,False,[],[]
ALDINE ISD MATTIE A TEAGUE MIDDLE SCHOOL,HARRIS,NOT REPORTED,2013,Ground water,Active,TX1010831,False,False,[],[]
ALLIED CONCRETE PLANT NO THREE,HARRIS,NOT REPORTED,30,Ground water,Active,TX1013423,False,False,[],[]
AMARILLO VA HEALTH CARE SYSTEM,POTTER,NOT REPORTED,400,Surface water purchased,Active,TX1880058,False,False,[],[]
AMERICAN BLOCK MANUFACTURING,HARRIS,NOT REPORTED,200,Ground water,Active,TX1013491,False,False,[],[]
AMERIPORT CRYOGENIC VESSEL ALTERNATIVES,CHAMBERS,NOT REPORTED,25,Ground water,Active,TX0360147,False,False,[],[]
AMERITEX CONROE CBP1,MONTGOMERY,NOT REPORTED,50,Ground water,Active,TX1700861,False,False,[],[]
AMISTAD VILLAGE WATER SYSTEM,VAL VERDE,NOT REPORTED,50,Ground water,Active,TX2330035,False,False,[],[]
ANADARKO CARRIZO SPRINGS FACILITY,DIMMIT,NOT REPORTED,238,Ground water,Active,TX0640035,False,False,[],[]
ANDERSON FORD MERCURY,LIBERTY,NOT REPORTED,150,Ground water,Active,TX1460151,False,False,[],[]
ANGELSIDE OAKS WATER SYSTEM,TRAVIS,NOT REPORTED,128,Ground water,Active,TX2270387,False,False,[],[]
ANGLETON HISPANIC FOURSQUARE CHURCH,BRAZORIA,NOT REPORTED,248,Ground water,Active,TX0200681,False,False,[],[]
ANOINTED FAITH FAMILY CHURCH,HARRIS,NOT REPORTED,25,Ground water,Active,TX1013600,False,False,[],[]
APACHE INDUSTRIAL SERVICES,HARRIS,NOT REPORTED,200,Ground water,Active,TX1013533,False,False,[],[]
AQUA SOLUTIONS,HARRIS,NOT REPORTED,85,Ground water,Active,TX1013382,False,False,[],[]
ARKEMA,HARRIS,NOT REPORTED,51,Surface water purchased,Active,TX1011108,False,False,[],[]
ARKEMA CROSBY PLANT,HARRIS,NOT REPORTED,80,Ground water,Active,TX1011931,False,False,[],[]
ARROW HOUSE AMARILLO,RANDALL,NOT REPORTED,52,Ground water,Active,TX1910159,False,False,[],[]
ASCEND PERFORMANCE MATERIALS CHOCOLATE B,BRAZORIA,NOT REPORTED,850,Ground water,Active,TX0200049,False,False,[],[]
ASH GROVE CEMENT COMPANY,ELLIS,NOT REPORTED,120,Ground water,Active,TX0700075,False,False,[],[]
ASSOCIATED SUPPLY COMPANY,HARRIS,NOT REPORTED,25,Ground water,Active,TX1012711,False,False,[],[]
AT&T CHARLES ROAD,HARRIS,NOT REPORTED,50,Ground water,Active,TX1011192,False,False,[],[]
AT&T WAVERLY ROAD,HARRIS,NOT REPORTED,30,Ground water,Active,TX1012845,False,False,[],[]
AT&T WOODEDGE,HARRIS,NOT REPORTED,40,Ground water,Active,TX1012991,False,False,[],[]
ATHLON SOLUTIONS CLEAR LAKE,HARRIS,NOT REPORTED,50,Surface water purchased,Active,TX1012202,False,False,[],[]
AUSTIN WHITE LIME COMPANY MCNEIL PLANT &,TRAVIS,NOT REPORTED,140,Ground water,Active,TX2270196,False,False,[],[]
