WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
AMERICAN PACIFIC CORP,IRON,NOT REPORTED,150,Ground water,Active,UTAH11051,False,False,[],[]
ASH GROVE CEMENT COMPANY,JUAB,NOT REPORTED,87,Ground water,Active,UTAH12039,False,False,[],[]
ASPEN RANCH,WAYNE,NOT REPORTED,65,Ground water,Active,UTAH28037,False,False,[],[]
ATK PROMONTORY PLANT,BOX ELDER,NOT REPORTED,2000,Ground water,Active,UTAH02032,False,False,[],[]
BARNES BULLETS,JUAB,NOT REPORTED,60,Ground water,Active,UTAH12026,False,False,[],[]
BLUE SKY RANCH AND RESORT,SUMMIT,NOT REPORTED,170,Ground water,Active,UTAH22143,False,False,[],[]
BROWNING ARMS,MORGAN,NOT REPORTED,120,Ground water,Active,UTAH15020,False,False,[],[]
CAMP WILLIAMS,SALT LAKE,NOT REPORTED,800,Ground water,Active,UTAH18054,False,False,[],[]
CANYON FUEL COMPANY LLC,SEVIER,NOT REPORTED,373,Ground water,Active,UTAH21020,False,False,[],[]
CASPERS ICE CREAM,CACHE,NOT REPORTED,60,Ground water,Active,UTAH03102,False,False,[],[]
CASTLE VALLEY MINING,EMERY,NOT REPORTED,123,Ground water,Active,UTAH08041,False,False,[],[]
CHEMICAL LIME,TOOELE,NOT REPORTED,35,Ground water,Active,UTAH23030,False,False,[],[]
CHERRY PEAK RESORT,CACHE,NOT REPORTED,1026,Ground water purchased,Active,UTAH03120,False,False,[],[]
CHEVRON PRODUCTS COMPANY,SALT LAKE,NOT REPORTED,480,Surface water purchased,Active,UTAH18175,False,False,[],[]
CLEAN HARBORS - ARAGONITE,TOOELE,NOT REPORTED,125,Ground water,Active,UTAH23067,False,False,[],[]
CLEAN HARBORS - GRASSY MTN,TOOELE,NOT REPORTED,27,Ground water purchased,Active,UTAH23066,False,False,[],[]
CONOCO PHILLIPS COMPANY,CARBON,NOT REPORTED,27,Surface water purchased,Active,UTAH04055,False,False,[],[]
DELTA EGG FARM,MILLARD,NOT REPORTED,70,Ground water,Active,UTAH14062,False,False,[],[]
DESERET GENERATION & TRANSMISSION CO-OP,UINTAH,NOT REPORTED,103,Surface water,Active,UTAH24036,False,False,[],[]
DUGWAY - DITTO TECH CENTER,TOOELE,NOT REPORTED,500,Ground water,Active,UTAH23021,False,False,[],[]
ENERGY SOLUTIONS,TOOELE,NOT REPORTED,93,Ground water purchased,Active,UTAH23085,False,False,[],[]
GENEVA ROCK PRODUCTS,SALT LAKE,NOT REPORTED,75,Ground water,Active,UTAH18154,False,False,[],[]
GRAND STAIRCASE WATER COMPANY,KANE,NOT REPORTED,145,Ground water,Active,UTAH13063,False,False,[],[]
GRANITE MOUNTAIN RECORDS VAULT,SALT LAKE,NOT REPORTED,50,Ground water,Active,UTAH18091,False,False,[],[]
HARDWARE RANCH,CACHE,NOT REPORTED,404,Ground water,Active,UTAH03060,False,False,[],[]
HEXCEL INC,SALT LAKE,NOT REPORTED,1567,Surface water purchased,Active,UTAH18001,False,False,[],[]
HOLCIM (US) INC.,MORGAN,NOT REPORTED,93,Ground water,Active,UTAH15002,False,False,[],[]
HOMESPUN VILLAGE WATER CO,WASHINGTON,NOT REPORTED,63,Ground water,Active,UTAH27081,False,False,[],[]
IBAPAH SCHOOL,TOOELE,NOT REPORTED,26,Ground water,Active,UTAH23031,False,False,[],[]
IM FLASH TECHNOLOGIES LLC,UTAH,NOT REPORTED,1850,Surface water purchased,Active,UTAH25139,False,False,[],[]
INTERMOUNTAIN POWER SERVICE CORP,MILLARD,NOT REPORTED,435,Ground water,Active,UTAH14050,False,False,[],[]
KENNECOTT - COPPERTON CONCENTRATOR,SALT LAKE,NOT REPORTED,240,Ground water,Active,UTAH18136,False,False,[],[]
KENNECOTT - LARK,SALT LAKE,NOT REPORTED,80,Ground water,Active,UTAH18152,False,False,[],[]
KENNECOTT - SECTION 21,SALT LAKE,NOT REPORTED,1302,Ground water,Active,UTAH18003,False,False,[],[]
KENNECOTT - UTAH METALS TUNNEL,SALT LAKE,NOT REPORTED,740,Ground water,Active,UTAH18141,False,False,[],[]
LA SAL SCHOOL,SAN JUAN,NOT REPORTED,26,Ground water,Active,UTAH19074,False,False,[],[]
LAGOON INVESTMENT COMPANY,DAVIS,NOT REPORTED,15000,Ground water,Active,UTAH06043,False,False,[],[]
LILA CANYON MINE,EMERY,NOT REPORTED,300,Surface water purchased,Active,UTAH08048,False,False,[],[]
"LIQUA DRY, INC",MILLARD,NOT REPORTED,35,Ground water,Active,UTAH14068,False,False,[],[]
LITTLE MOUNTAIN TEST FACILITY,WEBER,NOT REPORTED,60,Surface water purchased,Active,UTAH29118,False,False,[],[]
MATERION NATURAL RESOURCES,MILLARD,NOT REPORTED,70,Ground water,Active,UTAH14024,False,False,[],[]
MORTON SALT INC,TOOELE,NOT REPORTED,135,Ground water purchased,Active,UTAH23024,False,False,[],[]
NUCOR STEEL,BOX ELDER,NOT REPORTED,460,Ground water,Active,UTAH02057,False,False,[],[]
PACIFICORP HUNTINGTON PLANT,EMERY,NOT REPORTED,175,Ground water,Active,UTAH08034,False,False,[],[]
PARK VALLEY SCHOOL,BOX ELDER,NOT REPORTED,50,Ground water,Active,UTAH02043,False,False,[],[]
PEPPERIDGE FARM,CACHE,NOT REPORTED,450,Ground water,Active,UTAH03072,False,False,[],[]
RAINBOW BAY CAMPGROUND,WASATCH,NOT REPORTED,50,Ground water,Active,UTAH26092,False,False,[],[]
RIGTRUP EGG FARM PROCESSING PLANT,UTAH,NOT REPORTED,35,Ground water,Active,UTAH25179,False,False,[],[]
SHERWOOD HILLS RESORT,CACHE,NOT REPORTED,75,Ground water purchased,Active,UTAH03076,False,False,[],[]
SIMPLOT PHOSPHATE MINE,UINTAH,NOT REPORTED,40,Ground water,Active,UTAH24039,False,False,[],[]
SIMPLOT PHOSPHATE PLANT,UINTAH,NOT REPORTED,60,Ground water,Active,UTAH24024,False,False,[],[]
SKULL VALLEY WATER GROUP LLC,TOOELE,NOT REPORTED,25,Ground water,Active,UTAH23086,False,False,[],[]
SKYLINE MINE,CARBON,NOT REPORTED,150,Ground water,Active,UTAH04040,False,False,[],[]
SMITHFIELD HOG ROCKY MTN - SKYLINE,BEAVER,NOT REPORTED,175,Ground water,Active,UTAH01033,False,False,[],[]
SMITHFIELD HOG ROCKY MTN - WEST SKYLINE,BEAVER,NOT REPORTED,60,Ground water,Active,UTAH01034,False,False,[],[]
SMITHFIELD HOG ROCKY MTN-BLUE MTN NORTH,BEAVER,NOT REPORTED,47,Ground water,Active,UTAH01036,False,False,[],[]
SMITHFIELD HOG ROCKY MTN-BLUE MTN SOUTH,IRON,NOT REPORTED,116,Ground water,Active,UTAH11066,False,False,[],[]
SNOWBASIN RESORT,WEBER,NOT REPORTED,1625,Ground water,Active,UTAH29071,False,False,[],[]
SORREL RIVER RANCH WATER,GRAND,NOT REPORTED,155,Surface water,Active,UTAH10033,False,False,[],[]
SUMMIT COUNTY PUBLIC WORKS,SUMMIT,NOT REPORTED,35,Ground water,Active,UTAH22124,False,False,[],[]
TOOELE ARMY DEPOT,TOOELE,NOT REPORTED,505,Ground water,Active,UTAH23022,False,False,[],[]
TOOELE ARMY DEPOT-DESERET CHEMICAL,TOOELE,NOT REPORTED,100,Ground water,Active,UTAH23023,False,False,[],[]
TURKEY PLANT (MORONI),SANPETE,NOT REPORTED,380,Ground water,Active,UTAH20053,False,False,[],[]
TWIN CREEKS-BOWERY CAMPGROUNDS,SEVIER,NOT REPORTED,480,Ground water,Active,UTAH21053,False,False,[],[]
US MAGNESIUM,TOOELE,NOT REPORTED,450,Ground water purchased,Active,UTAH23039,False,False,[],[]
UTAH DATA CENTER,SALT LAKE,NOT REPORTED,250,Surface water purchased,Active,UTAH18177,False,False,[],[]
UTAH STATE UNIVERSITY,CACHE,NOT REPORTED,9000,Ground water,Active,UTAH03088,False,False,[],[]
UTAH TEST AND TRAINING RANGE,BOX ELDER,NOT REPORTED,63,Ground water,Active,UTAH02060,False,False,[],[]
