WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
"4F, LLC",ALBEMARLE,NOT REPORTED,70,Ground water,Active,VA2003075,False,False,[],[]
A & N ELECTRIC COOPERATIVE,ACCOMACK,NOT REPORTED,35,Ground water,Active,VA3001014,False,False,[],[]
"ABB POWER T & D COMPANY, INC.",BLAND,NOT REPORTED,430,Ground water,Active,VA1021056,False,False,[],[]
ABUNDANT LOVE CHILD DEVELOPMENT CENTER,LOUISA,NOT REPORTED,45,Ground water,Active,VA2109150,False,False,[],[]
ACCAWMACKE ELEMENTARY SCHOOL,ACCOMACK,NOT REPORTED,634,Ground water,Active,VA3001791,False,False,[],[]
"ACCELERATED PROPERTIES, INC.",ISLE OF WIGHT,NOT REPORTED,33,Ground water,Active,VA3093328,False,False,[],[]
ACCOMACK COUNTY HEALTH DEPT,ACCOMACK,NOT REPORTED,95,Ground water,Active,VA3001003,False,False,[],[]
ACCOMACK COUNTY INDUSTRIAL PK,ACCOMACK,NOT REPORTED,92,Ground water,Active,VA3001006,False,False,[],[]
ACCOMACK COUNTY OFFICE BUILDINGS,ACCOMACK,NOT REPORTED,400,Ground water,Active,VA3001004,False,False,[],[]
ACCOMACK SOCIAL SERVICES,ACCOMACK,NOT REPORTED,93,Ground water,Active,VA3001018,False,False,[],[]
ACQUINTON/HAMILTON HOLMES,KING WILLIAM,NOT REPORTED,1760,Ground water,Active,VA4101010,False,False,[],[]
ADAMS INTERNATIONAL SCHOOL,GOOCHLAND,NOT REPORTED,40,Ground water,Active,VA4075005,False,False,[],[]
ADESA WASHINGTON DC,LOUDOUN,NOT REPORTED,178,Ground water,Active,VA6107175,False,False,[],[]
ADVANCING NATIVE MISSIONS,NELSON,NOT REPORTED,50,Ground water,Active,VA2125005,False,False,[],[]
AEROJET ROCKETDYNE,ORANGE,NOT REPORTED,170,Ground water,Active,VA6137001,False,False,[],[]
AGRI-BUSINESS INDUSTRIAL PARK,SOUTHAMPTON,NOT REPORTED,156,Ground water,Active,VA3175007,False,False,[],[]
AIRLIE FOUNDATION,FAUQUIER,NOT REPORTED,300,Ground water,Active,VA6061005,False,False,[],[]
ALDIE ELEMENTARY SCHOOL,LOUDOUN,NOT REPORTED,106,Ground water,Active,VA6107011,False,False,[],[]
