WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ABERNATHY FTC,COWLITZ,NOT REPORTED,30,Ground water,Active,WA53FW005,False,False,[],[]
AGREX WATER SYSTEM,GRANT,NOT REPORTED,25,Ground water,Active,WA53AB279,False,False,[],[]
AGRIUM US INC - KENNEWICK AREA,BENTON,NOT REPORTED,80,Ground water,Active,WA5312690,False,False,[],[]
ALCOA,CHELAN,NOT REPORTED,475,Ground water,Active,WA5300750,False,False,[],[]
ALLAN BROS WAREHOUSE,YAKIMA,NOT REPORTED,800,Ground water,Active,WA5301608,False,False,[],[]
ALPHA MODULAR STRUCTURES,LEWIS,NOT REPORTED,60,Ground water,Active,WA5306218,False,False,[],[]
ALTA FOREST PRODUCTS,MASON,NOT REPORTED,65,Ground water,Active,WA53AC650,False,False,[],[]
AMG ALUMINUM NORTH AMERICA,CHELAN,NOT REPORTED,50,Ground water,Active,WA5337921,False,False,[],[]
ANDERSEN DAIRY INC,CLARK,NOT REPORTED,64,Ground water,Active,WA5305366,False,False,[],[]
ANDERSON HAY & GRAIN CO,KITTITAS,NOT REPORTED,130,Ground water,Active,WA5302330,False,False,[],[]
ANDRUS WATER SYSTEM,SPOKANE,NOT REPORTED,38,Ground water,Active,WA5326280,False,False,[],[]
APPLE KING LLC,YAKIMA,NOT REPORTED,100,Ground water,Active,WA5362020,False,False,[],[]
ARROWHEAD RANCH,OKANOGAN,NOT REPORTED,76,Ground water,Active,WA53AB980,False,False,[],[]
BAINBRIDGE ISLAND CHILD CARE CNTRS,KITSAP,NOT REPORTED,45,Ground water,Active,WA5305369,False,False,[],[]
BAINBRIDGE ISLAND PUB WRKS,KITSAP,NOT REPORTED,36,Ground water,Active,WA5307138,False,False,[],[]
BAKER PRODUCE ZILLAH,YAKIMA,NOT REPORTED,65,Ground water,Active,WA53AD263,False,False,[],[]
BARLEANS,WHATCOM,NOT REPORTED,163,Ground water,Active,WA5306429,False,False,[],[]
BASIC AMERICAN FOODS,GRANT,NOT REPORTED,100,Ground water,Active,WA5301983,False,False,[],[]
BATTELLE NORTHWEST MARINE LAB,CLALLAM,NOT REPORTED,91,Ground water,Active,WA5310351,False,False,[],[]
BATTLE GROUND HIGH AND LEWISVILLE E,CLARK,NOT REPORTED,2835,Ground water,Active,WA5304710,False,False,[],[]
BAY LIGHT,ISLAND,NOT REPORTED,100,Ground water,Active,WA5320834,False,False,[],[]
BAYVIEW SCHOOL,ISLAND,NOT REPORTED,75,Ground water,Active,WA5315113,False,False,[],[]
BCT INC,WALLA WALLA,NOT REPORTED,58,Ground water,Active,WA5306643,False,False,[],[]
