WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ACORN RURAL WATER ASSN,POLK,NOT REPORTED,1975,Surface water purchased,Active,AR0000811,False,False,[],[]
ADC - CUMMINS UNIT MAINT,LINCOLN,NOT REPORTED,3800,Ground water,Active,AR0000315,False,False,[],[]
ADC - TUCKER UNIT MAINT,JEFFERSON,NOT REPORTED,1850,Ground water,Active,AR0000282,False,False,[],[]
ADC EAST ARKANSAS REGIONAL,LEE,NOT REPORTED,1793,Ground water,Active,AR0000796,False,False,[],[]
AIRPORT ROAD WATER ASSOCIATION,CHICOT,NOT REPORTED,576,Ground water purchased,Active,AR0000663,False,False,[],[]
ALICIA WATER SYSTEM,LAWRENCE,NOT REPORTED,154,Ground water purchased,Active,AR0000303,False,False,[],[]
ALMA WATERWORKS,CRAWFORD,NOT REPORTED,5745,Surface water,Active,AR0000144,False,False,[],[]
ALMYRA WATERWORKS,ARKANSAS,NOT REPORTED,406,Ground water,Active,AR0000006,False,False,[],[]
ALPENA WATERWORKS,BOONE,NOT REPORTED,550,Surface water purchased,Active,AR0000058,False,False,[],[]
ALPINE WATER ASSOCIATION,CLARK,NOT REPORTED,740,Surface water purchased,Active,AR0000764,False,False,[],[]
ALTHEIMER WATERWORKS,JEFFERSON,NOT REPORTED,900,Ground water,Active,AR0000271,False,False,[],[]
ALTUS WATERWORKS,FRANKLIN,NOT REPORTED,1820,Surface water purchased,Active,AR0000197,False,False,[],[]
AMITY WATERWORKS,CLARK,NOT REPORTED,725,Surface water,Active,AR0000088,False,False,[],[]
ANTOINE WATERWORKS,PIKE,NOT REPORTED,563,Ground water,Active,AR0000424,False,False,[],[]
AR DEPT OF CORRECTION IZARD CO,IZARD,NOT REPORTED,800,Ground water,Active,AR0000790,False,False,[],[]
ARKADELPHIA WATERWORKS,CLARK,NOT REPORTED,10716,Surface water,Active,AR0000085,False,False,[],[]
ARKANSAS CITY WATERWORKS,DESHA,NOT REPORTED,366,Ground water,Active,AR0000167,False,False,[],[]
ARKANSAS HEALTH CENTER,SALINE,NOT REPORTED,1000,Surface water,Active,AR0000485,False,False,[],[]
ARSENAL WATER SYSTEM,JEFFERSON,NOT REPORTED,2577,Ground water,Active,AR0000667,False,False,[],[]
ASH FLAT WATER COMPANY,"FULTON
SHARP",NOT REPORTED,1082,Ground water,Active,AR0000527,False,False,[],[]
ASHDOWN WATERWORKS,LITTLE RIVER,NOT REPORTED,4723,Ground water,Active,AR0000320,False,False,[],[]
ATKINS WATER SYSTEM,POPE,NOT REPORTED,4439,Surface water,Active,AR0000441,False,False,[],[]
AUGUSTA WATERWORKS,WOODRUFF,NOT REPORTED,2284,Ground water,Active,AR0000597,False,False,[],[]
AURELLE WATER SYSTEM,UNION,NOT REPORTED,296,Ground water purchased,Active,AR0000721,False,False,[],[]
AUSTIN WATERWORKS,LONOKE,NOT REPORTED,2585,Surface water purchased,Active,AR0000346,False,False,[],[]
AUTUMN ACRES MHP,BAXTER,NOT REPORTED,88,Ground water,Active,AR0000890,False,False,[],[]
BALD KNOB NORTH WATER ASSOC,"JACKSON
WHITE",NOT REPORTED,2290,Surface water purchased,Active,AR0000689,False,False,[],[]
BALD KNOB WATERWORKS,WHITE,NOT REPORTED,2905,Surface water purchased,Active,AR0000584,False,False,[],[]
BANKS WATERWORKS,BRADLEY,NOT REPORTED,248,Ground water,Active,AR0000068,False,False,[],[]
BARKADA WATER ASSOCIATION,DREW,NOT REPORTED,381,Ground water purchased,Active,AR0000785,False,False,[],[]
BARLING WATERWORKS,SEBASTIAN,NOT REPORTED,4583,Surface water purchased,Active,AR0000512,False,False,[],[]
BARTON LEXA WATER ASSOCIATION,PHILLIPS,NOT REPORTED,4000,Ground water,Active,AR0000415,False,False,[],[]
BASIN VALLEY WATER SYSTEM,NEWTON,NOT REPORTED,376,Ground water,Active,AR0000819,False,False,[],[]
BASSETT WATERWORKS,MISSISSIPPI,NOT REPORTED,143,Ground water,Active,AR0000377,False,False,[],[]
BATESVILLE WATER UTILITIES,INDEPENDENCE,NOT REPORTED,12375,Surface water,Active,AR0000250,False,False,[],[]
BATTS-LAPILE WATER ASSOCIATION,UNION,NOT REPORTED,583,Ground water,Active,AR0000622,False,False,[],[]
