WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
4 WAY RANCH MD 1,EL PASO,NOT REPORTED,144,Ground water,Active,CO0121111,False,False,[],[]
96 PIPELINE CO INC,CROWLEY,NOT REPORTED,285,Ground water purchased,Active,CO0113050,False,False,[],[]
A 1 DISCOUNT WC,BOULDER,NOT REPORTED,250,Surface water purchased,Active,CO0107100,False,False,[],[]
A AND B WA INC,PROWERS,NOT REPORTED,100,Ground water,Active,CO0150100,False,False,[],[]
ACADEMY WSD,EL PASO,NOT REPORTED,750,Ground water,Active,CO0121025,False,False,[],[]
ADVANTAGE TREATMENT CTR,LOGAN,NOT REPORTED,165,Ground water,Active,CO0238104,False,False,[],[]
AGATE WA,ELBERT,NOT REPORTED,70,Ground water,Active,CO0120001,False,False,[],[]
AGUILAR TOWN OF,LAS ANIMAS,NOT REPORTED,496,Groundwater under influence of surface water,Active,CO0136100,False,False,[],[]
AKRON TOWN OF,WASHINGTON,NOT REPORTED,2379,Ground water,Active,CO0161001,False,False,[],[]
ALAMEDA WSD,JEFFERSON,NOT REPORTED,1600,Surface water purchased,Active,CO0130116,False,False,[],[]
ALAMOSA CITY OF,ALAMOSA,NOT REPORTED,9590,Ground water,Active,CO0102100,False,False,[],[]
ALDASORO RANCH HOC,SAN MIGUEL,NOT REPORTED,73,Ground water,Active,CO0157011,False,False,[],[]
ALLENSPARK WSD,BOULDER,NOT REPORTED,90,Surface water,Active,CO0107115,False,False,[],[]
ALMA TOWN OF,PARK,NOT REPORTED,450,Surface water,Active,CO0147001,False,False,[],[]
ALPINE LAKES RANCH WC,ARCHULETA,NOT REPORTED,194,Surface water purchased,Active,CO0104090,False,False,[],[]
ALPINE MOUNTAIN RANCH MD,ROUTT,NOT REPORTED,25,Groundwater under influence of surface water,Active,CO0154117,False,False,[],[]
ALPINE VILLAGE MHP,TELLER,NOT REPORTED,80,Ground water,Active,CO0160050,False,False,[],[]
ANIMAS WC,LA PLATA,NOT REPORTED,2720,Ground water,Active,CO0134020,False,False,[],[]
ANNUNCIATION HEIGHTS,LARIMER,NOT REPORTED,318,Ground water,Active,CO0235185,False,False,[],[]
ANTELOPE HILLS ASSOC,GUNNISON,NOT REPORTED,265,Surface water purchased,Active,CO0126117,False,False,[],[]
ANTONITO TOWN OF,CONEJOS,NOT REPORTED,981,Groundwater under influence of surface water,Active,CO0111100,False,False,[],[]
ARABIAN ACRES MD,TELLER,NOT REPORTED,325,Ground water,Active,CO0160075,False,False,[],[]
ARAPAHOE CNTY WWWA,ARAPAHOE,NOT REPORTED,32000,Ground water,Active,CO0203002,False,False,[],[]
ARAPAHOE WC,CHEYENNE,NOT REPORTED,98,Ground water,Active,CO0109001,False,False,[],[]
ARISTOCRAT RANCHETTE WATER PROJECT,WELD,NOT REPORTED,2000,Surface water purchased,Active,CO0162121,False,False,[],[]
ARRIBA TOWN OF,LINCOLN,NOT REPORTED,239,Ground water,Active,CO0137001,False,False,[],[]
ARROWHEAD MHP,EL PASO,NOT REPORTED,135,Ground water,Active,CO0121050,False,False,[],[]
ARROWHEAD RANCH WC,GUNNISON,NOT REPORTED,225,Surface water,Active,CO0126121,False,False,[],[]
ARVADA CITY OF,JEFFERSON,NOT REPORTED,126552,Surface water,Active,CO0130001,False,False,[],[]
ASGARD SUBDIVISION WA,GARFIELD,NOT REPORTED,80,Ground water,Active,CO0123123,False,False,[],[]
ASPEN BASALT CG,EAGLE,NOT REPORTED,150,Ground water,Active,CO0119452,False,False,[],[]
ASPEN BASALT MHP,EAGLE,NOT REPORTED,150,Ground water,Active,CO0119124,False,False,[],[]
ASPEN CITY OF,PITKIN,NOT REPORTED,31100,Surface water,Active,CO0149122,False,False,[],[]
ASPEN EQUESTRIAN BLUE CREEK RANCH,GARFIELD,NOT REPORTED,25,Ground water,Active,CO0123152,False,False,[],[]
ASPEN MESA ESTATES,EAGLE,NOT REPORTED,225,Ground water,Active,CO0119125,False,False,[],[]
ASPEN MTN VIEW SUBD,EAGLE,NOT REPORTED,150,Ground water,Active,CO0219123,False,False,[],[]
ASPEN SPRINGS MD,ARCHULETA,NOT REPORTED,290,Ground water,Active,CO0104121,False,False,[],[]
ASPEN VILLAGE MD,PITKIN,NOT REPORTED,300,Groundwater under influence of surface water,Active,CO0149123,False,False,[],[]
AULT TOWN OF,WELD,NOT REPORTED,1743,Surface water purchased,Active,CO0162125,False,False,[],[]
AURORA CITY OF,ARAPAHOE,NOT REPORTED,325000,Surface water,Active,CO0103005,False,False,[],[]
AVONDALE WSD,PUEBLO,NOT REPORTED,1500,Groundwater under influence of surface water,Active,CO0151050,False,False,[],[]
BACA GRANDE WSD,SAGUACHE,NOT REPORTED,1520,Ground water,Active,CO0155200,False,False,[],[]
BAILEY WSD,PARK,NOT REPORTED,390,Surface water,Active,CO0147010,False,False,[],[]
BANCROFT CLOVER WSD,JEFFERSON,NOT REPORTED,50000,Surface water purchased,Active,CO0130133,False,False,[],[]
BARR LAKE RVP,ADAMS,NOT REPORTED,204,Ground water,Active,CO0201006,False,False,[],[]
BASALT TOWN OF,EAGLE,NOT REPORTED,2125,Groundwater under influence of surface water,Active,CO0119134,False,False,[],[]
BASELINE WD,BOULDER,NOT REPORTED,820,Surface water purchased,Active,CO0107135,False,False,[],[]
BATTLEMENT MESA MD,GARFIELD,NOT REPORTED,4100,Surface water,Active,CO0123133,False,False,[],[]
BAYFIELD TOWN OF,LA PLATA,NOT REPORTED,2300,Surface water,Active,CO0134030,False,False,[],[]
BEAR CREEK LOA,CONEJOS,NOT REPORTED,133,Groundwater under influence of surface water,Active,CO0214142,False,False,[],[]
BEAR CREEK WSD,JEFFERSON,NOT REPORTED,31150,Surface water purchased,Active,CO0130138,False,False,[],[]
BEEHIVE WC NO1,OTERO,NOT REPORTED,154,Ground water,Active,CO0145030,False,False,[],[]
BELL MTN RANCH,DOUGLAS,NOT REPORTED,1000,Ground water,Active,CO0118002,False,False,[],[]
BELLEVIEW CHRISTIAN COLLEGE,ADAMS,NOT REPORTED,460,Ground water,Active,CO0101015,False,False,[],[]
BELLYACHE RIDGE MD,EAGLE,NOT REPORTED,230,Ground water,Active,CO0119139,False,False,[],[]
BENNETT TOWN OF,ADAMS,NOT REPORTED,3100,Ground water,Active,CO0101020,False,False,[],[]
BENTS FORT WC,OTERO,NOT REPORTED,900,Ground water purchased,Active,CO0145060,False,False,[],[]
BERTHOUD TOWN OF,LARIMER,NOT REPORTED,7540,Surface water,Active,CO0135138,False,False,[],[]
BETHUNE TOWN OF,KIT CARSON,NOT REPORTED,195,Ground water,Active,CO0132001,False,False,[],[]
BEULAH WATER WORKS DISTRICT,PUEBLO,NOT REPORTED,355,Surface water,Active,CO0151100,False,False,[],[]
BEVERLY HILLS MUTUAL WC,DOUGLAS,NOT REPORTED,325,Ground water,Active,CO0118001,False,False,[],[]
BIG ELK MEADOWS WA,LARIMER,NOT REPORTED,351,Surface water,Active,CO0135143,False,False,[],[]
BIG PINES CAMPGROUND,EL PASO,NOT REPORTED,72,Ground water,Active,CO0221060,False,False,[],[]
BLACK HAWK CITY OF,GILPIN,NOT REPORTED,15167,Surface water,Active,CO0124147,False,False,[],[]
BLANCA TOWN OF,COSTILLA,NOT REPORTED,471,Ground water,Active,CO0112100,False,False,[],[]
BLUE MOUNTAIN WD,JEFFERSON,NOT REPORTED,350,Ground water,Active,CO0130005,False,False,[],[]
BLUE RIVER VALLEY RANCH LAKES,SUMMIT,NOT REPORTED,150,Ground water,Active,CO0159005,False,False,[],[]
BLUE SKY RANCH INC ASSOC OF OWNERS,LA PLATA,NOT REPORTED,175,Ground water,Active,CO0134065,False,False,[],[]
BLUE VALLEY MD,GRAND,NOT REPORTED,375,Groundwater under influence of surface water,Active,CO0125148,False,False,[],[]
BOBCAT MEADOWS MD,EL PASO,NOT REPORTED,470,Ground water,Active,CO0121060,False,False,[],[]
BONE MESA DOMESTIC WD,DELTA,NOT REPORTED,400,Groundwater under influence of surface water,Active,CO0115152,False,False,[],[]
BONVUE,JEFFERSON,NOT REPORTED,400,Surface water purchased,Active,CO0130152,False,False,[],[]
BOONE TOWN OF,PUEBLO,NOT REPORTED,350,Groundwater under influence of surface water,Active,CO0151150,False,False,[],[]
BOULDER CITY OF,BOULDER,NOT REPORTED,166080,Surface water,Active,CO0107152,False,False,[],[]
BOULDER MEADOWS MHP,BOULDER,NOT REPORTED,1657,Surface water purchased,Active,CO0107179,False,False,[],[]
BOW MAR WSD,ARAPAHOE,NOT REPORTED,900,Surface water purchased,Active,CO0103153,False,False,[],[]
BRANDON WA,KIOWA,NOT REPORTED,50,Ground water,Active,CO0131200,False,False,[],[]
BRANSON TOWN OF,LAS ANIMAS,NOT REPORTED,131,Groundwater under influence of surface water,Active,CO0136300,False,False,[],[]
BRECKENRIDGE TOWN OF,SUMMIT,NOT REPORTED,28315,Surface water,Active,CO0159020,False,False,[],[]
BRIGGSDALE WC,WELD,NOT REPORTED,80,Ground water,Active,CO0162155,False,False,[],[]
BRIGHTON CITY OF,ADAMS,NOT REPORTED,36010,Surface water purchased,Active,CO0101025,False,False,[],[]
BRIGHTON MHP,ADAMS,NOT REPORTED,77,Ground water,Active,CO0101030,False,False,[],[]
BRISTOL WSD,PROWERS,NOT REPORTED,210,Ground water,Active,CO0150200,False,False,[],[]
BRITANIE RIDGE WS,ELBERT,NOT REPORTED,33,Ground water,Active,CO0120153,False,False,[],[]
BROOK FOREST WD,JEFFERSON,NOT REPORTED,994,Ground water,Active,CO0130010,False,False,[],[]
BROOKSIDE TOWN OF,FREMONT,NOT REPORTED,467,Surface water purchased,Active,CO0122050,False,False,[],[]
