WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
3D WATER ASSOCIATION,BONNEVILLE,NOT REPORTED,642,Ground water,Active,ID7100201,False,False,[],[]
ABERDEEN CITY OF,BINGHAM,NOT REPORTED,1994,Ground water,Active,ID6060001,False,False,[],[]
AHSAHKA WATER AND SEWER DIST,CLEARWATER,NOT REPORTED,85,Surface water,Active,ID2180001,False,False,[],[]
ALBION CITY OF,CASSIA,NOT REPORTED,310,Ground water,Active,ID5160001,False,False,[],[]
ALGOMA ADDITION SUBD,BONNER,NOT REPORTED,75,Ground water,Active,ID1090001,False,False,[],[]
ALPINE MEADOWS WATER AND SEWER DIST,KOOTENAI,NOT REPORTED,300,Ground water,Active,ID1280002,False,False,[],[]
AMERICAN FALLS CITY OF,POWER,NOT REPORTED,4225,Ground water,Active,ID6390001,False,False,[],[]
AMMON CITY OF,BONNEVILLE,NOT REPORTED,14019,Ground water,Active,ID7100004,False,False,[],[]
ANDERSON CIRCLE WATER CORP,ADA,NOT REPORTED,50,Ground water,Active,ID4010005,False,False,[],[]
ANTELOPE CREEK LIVING CENTER,CUSTER,NOT REPORTED,26,Ground water,Active,ID7190001,False,False,[],[]
APACHE HEIGHTS SUBDIVISION (2),CANYON,NOT REPORTED,110,Ground water,Active,ID3140005,False,False,[],[]
APEX LIVING COMMUNITY,LATAH,NOT REPORTED,100,Ground water,Active,ID2290024,False,False,[],[]
APPALOOSA COURT,LATAH,NOT REPORTED,129,Ground water,Active,ID2290036,False,False,[],[]
ARCO CITY OF,BUTTE,NOT REPORTED,1080,Ground water,Active,ID6120001,False,False,[],[]
ARIMO CITY OF,BANNOCK,NOT REPORTED,356,Ground water,Active,ID6030002,False,False,[],[]
ARROW POINT PARK,KOOTENAI,NOT REPORTED,275,Surface water purchased,Active,ID1280252,False,False,[],[]
ARROWROCK RANCH,ADA,NOT REPORTED,200,Ground water,Active,ID4010247,False,False,[],[]
ASHLEY ESTATES WATER ASSN,KOOTENAI,NOT REPORTED,38,Ground water,Active,ID1280273,False,False,[],[]
ASHTON CITY OF,FREMONT,NOT REPORTED,1129,Ground water,Active,ID7220004,False,False,[],[]
ASPEN CREEK WATER COMPANY,BEAR LAKE,NOT REPORTED,50,Ground water,Active,ID6040042,False,False,[],[]
ASPEN HOLLOW HOMEOWNERS ASSOC,BLAINE,NOT REPORTED,75,Ground water,Active,ID5070001,False,False,[],[]
ATHOL CITY OF,KOOTENAI,NOT REPORTED,763,Ground water,Active,ID1280006,False,False,[],[]
ATLANTA WATER ASSN,ELMORE,NOT REPORTED,91,Surface water,Active,ID4200005,False,False,[],[]
ATLAS ACRES,KOOTENAI,NOT REPORTED,69,Ground water,Active,ID1280005,False,False,[],[]
ATOMIC CITY,BINGHAM,NOT REPORTED,35,Ground water,Active,ID6060003,False,False,[],[]
AURORA SUBD,CANYON,NOT REPORTED,30,Ground water,Active,ID3140007,False,False,[],[]
AUTUMN COVE MOBILE HOME COURT,BONNEVILLE,NOT REPORTED,42,Ground water,Active,ID7100013,False,False,[],[]
AVERY WATER AND SEWER DIST,SHOSHONE,NOT REPORTED,100,Ground water,Active,ID1400004,False,False,[],[]
AVONDALE IRRIGATION DIST,KOOTENAI,NOT REPORTED,4175,Ground water,Active,ID1280008,False,False,[],[]
BAILEY CREEK PROPERTY OWNERS ASSN,CARIBOU,NOT REPORTED,250,Ground water,Active,ID6150001,False,False,[],[]
BALDY RIDGE ESTATES,BONNER,NOT REPORTED,50,Ground water,Active,ID1090004,False,False,[],[]
BANCROFT CITY OF,CARIBOU,NOT REPORTED,350,Ground water,Active,ID6150002,False,False,[],[]
