WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ADAIRVILLE WATER WORKS,LOGAN,NOT REPORTED,787,Surface water purchased,Active,KY0710001,False,False,[],[]
ALBANY WATER WORKS,CLINTON,NOT REPORTED,14702,Surface water,Active,KY0270003,False,False,[],[]
ALLEN COUNTY WATER DISTRICT,ALLEN,NOT REPORTED,14999,Surface water purchased,Active,KY0020956,False,False,[],[]
ARLINGHAUS PROPERTY,BOONE,NOT REPORTED,49,Ground water,Active,KY0080928,False,False,[],[]
ARLINGTON WATER DEPARTMENT,CARLISLE,NOT REPORTED,588,Ground water,Active,KY0200009,False,False,[],[]
ASHLAND WATER WORKS,BOYD,NOT REPORTED,44402,Surface water,Active,KY0100011,False,False,[],[]
AUBURN MUN WATER WORKS,LOGAN,NOT REPORTED,1931,Surface water purchased,Active,KY0710012,False,False,[],[]
AUGUSTA REGIONAL WTP,BRACKEN,NOT REPORTED,1690,Ground water,Active,KY0120013,False,False,[],[]
BARBOURVILLE UTILITIES,KNOX,NOT REPORTED,16420,Surface water,Active,KY0610016,False,False,[],[]
BARDSTOWN MUNICIPAL WATER DEPT,NELSON,NOT REPORTED,31185,Surface water,Active,KY0900017,False,False,[],[]
BARDWELL CITY UTILITIES,CARLISLE,NOT REPORTED,1227,Ground water,Active,KY0200018,False,False,[],[]
BARKLEY LAKE WATER DISTRICT,TRIGG,NOT REPORTED,14284,Surface water,Active,KY1110019,False,False,[],[]
BARLOW WATER SYSTEM,BALLARD,NOT REPORTED,1040,Ground water,Active,KY0040020,False,False,[],[]
BATH COUNTY WATER DISTRICT,BATH,NOT REPORTED,8955,Surface water purchased,Active,KY0060022,False,False,[],[]
BEATTYVILLE WATER WORKS,LEE,NOT REPORTED,8428,Surface water,Active,KY0650024,False,False,[],[]
BEAVER DAM MUNICIPAL WATER & SEWER,OHIO,NOT REPORTED,3901,Ground water,Active,KY0920025,False,False,[],[]
BEECH FORK WATER COMMISSION,POWELL,NOT REPORTED,25,Surface water,Active,KY0990281,False,False,[],[]
BEECH GROVE WATER SYSTEM,MCLEAN,NOT REPORTED,1461,Surface water purchased,Active,KY0750529,False,False,[],[]
BELL COUNTY FORESTRY CAMP,BELL,NOT REPORTED,275,Surface water,Active,KY0070729,False,False,[],[]
BENHAM WATER PLANT,HARLAN,NOT REPORTED,855,Surface water,Active,KY0480028,False,False,[],[]
BENTON WATER & SEWER,MARSHALL,NOT REPORTED,7981,Ground water,Active,KY0790029,False,False,[],[]
BEREA MUNICIPAL UTILITIES,MADISON,NOT REPORTED,9972,Surface water,Active,KY0760030,False,False,[],[]
BIG SANDY WATER DISTRICT,BOYD,NOT REPORTED,13044,Surface water purchased,Active,KY0100944,False,False,[],[]
