WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
29 PALMS TRAILER PARK,WASHINGTON PARISH,NOT REPORTED,25,Ground water,Active,LA1117023,False,False,[],[]
4 OAKS MHP,TANGIPAHOA PARISH,NOT REPORTED,168,Ground water,Active,LA1105069,False,False,[],[]
ABITA SPRINGS WATER SYSTEM,ST. TAMMANY PARISH,NOT REPORTED,3000,Ground water,Active,LA1103002,False,False,[],[]
AJAX BEULAH WATER SYSTEM,NATCHITOCHES PARISH,NOT REPORTED,453,Ground water,Active,LA1069015,False,False,[],[]
ALABAMA WATER SYSTEM,BIENVILLE PARISH,NOT REPORTED,825,Ground water,Active,LA1013001,False,False,[],[]
ALBERTA WATER SYSTEM,BIENVILLE PARISH,NOT REPORTED,1860,Ground water,Active,LA1013002,False,False,[],[]
ALEXANDER MILNE HOME FOR WOMEN,ST. TAMMANY PARISH,NOT REPORTED,42,Ground water,Active,LA1103196,False,False,[],[]
ALLEN PARISH WW DISTRICT NO 1,ALLEN PARISH,NOT REPORTED,1314,Ground water,Active,LA1003001,False,False,[],[]
ALMA PLANTATION LTD,POINTE COUPEE PARISH,NOT REPORTED,129,Ground water,Active,LA1077048,False,False,[],[]
ANGELLES TRAILER PARK WATER SYSTEM,LAFAYETTE PARISH,NOT REPORTED,150,Ground water,Active,LA1055060,False,False,[],[]
ANGIE WATER SUPPLY,WASHINGTON PARISH,NOT REPORTED,400,Ground water,Active,LA1117008,False,False,[],[]
ANNADALE PLANTATION WATER SUPPLY,IBERVILLE PARISH,NOT REPORTED,36,Ground water,Active,LA1047011,False,False,[],[]
ARC OF ACADIANA,ACADIA PARISH,NOT REPORTED,154,Ground water,Active,LA1001011,False,False,[],[]
ARCADIA WATER SYSTEM,BIENVILLE PARISH,NOT REPORTED,3508,Ground water,Active,LA1013003,False,False,[],[]
ARCHIBALD WATER SYSTEM,RICHLAND PARISH,NOT REPORTED,3600,Ground water,Active,LA1083012,False,False,[],[]
ASCENSION CONSOLIDATED UTILITY DIST 1,ASCENSION PARISH,NOT REPORTED,1869,Surface water purchased,Active,LA1005045,False,False,[],[]
ASCENSION PARISH WATER WORKS DISTRICT 2,ASCENSION PARISH,NOT REPORTED,1206,Ground water purchased,Active,LA1005001,False,False,[],[]
ASSUMPTION PARISH WW DISTRICT 1,ASSUMPTION PARISH,NOT REPORTED,22862,Surface water,Active,LA1007001,False,False,[],[]
ATHENS WATER SYSTEM,CLAIBORNE PARISH,NOT REPORTED,247,Ground water,Active,LA1027001,False,False,[],[]
ATLANTA WATER SUPPLY,WINN PARISH,NOT REPORTED,900,Ground water,Active,LA1127001,False,False,[],[]
AUDUBON PARK APARTMENTS WATER SYSTEM,EAST BATON ROUGE PARISH,NOT REPORTED,534,Ground water,Active,LA1033133,False,False,[],[]
AUTUMN ACRES MHP WATER SYSTEM,CADDO PARISH,NOT REPORTED,90,Ground water,Active,LA1017002,False,False,[],[]
AVOYELLES PARISH WATERWORKS DISTRICT 1,AVOYELLES PARISH,NOT REPORTED,3900,Ground water,Active,LA1009002,False,False,[],[]
AVOYELLES WARD 3 WATERWORKS DISTRICT,AVOYELLES PARISH,NOT REPORTED,2433,Ground water purchased,Active,LA1009017,False,False,[],[]
AVOYELLES WARD ONE WATER SYSTEM INC,AVOYELLES PARISH,NOT REPORTED,3450,Ground water,Active,LA1009016,False,False,[],[]
AVOYELLES WATER COMMISSION,AVOYELLES PARISH,NOT REPORTED,0,Ground water,Active,LA1009021,False,False,[],[]
AZALEA LANE TRAILER PARK,ST. TAMMANY PARISH,NOT REPORTED,84,Ground water,Active,LA1103004,False,False,[],[]
BACKWOOD VILLAGE WATER SYSTEM,WINN PARISH,NOT REPORTED,783,Ground water,Active,LA1127022,False,False,[],[]
BARKSDALE AFB WATER SYSTEM,BOSSIER PARISH,NOT REPORTED,13000,Surface water purchased,Active,LA1015022,False,False,[],[]
BARRON RIDGE SUBDIVISION WATER SYSTEM,CADDO PARISH,NOT REPORTED,135,Ground water,Active,LA1017072,False,False,[],[]
BASTROP WATER SYSTEM,MOREHOUSE PARISH,NOT REPORTED,17058,Ground water,Active,LA1067003,False,False,[],[]
BATON ROUGE WATER COMPANY,EAST BATON ROUGE PARISH,NOT REPORTED,527067,Ground water,Active,LA1033005,False,False,[],[]
