WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A.P.G. - EDGEWOOD AREA,HARFORD,NOT REPORTED,6200,Surface water,Active,MD0120010,False,False,[],[]
ANGELICA NURSERIES - NURSERY VIEW,KENT,NOT REPORTED,38,Ground water,Active,MD0140011,False,False,[],[]
APOSTOLIC TOWERS,BALTIMORE CITY,NOT REPORTED,200,Surface water purchased,Active,MD0300003,False,False,[],[]
AVON CREST,CHARLES,NOT REPORTED,79,Ground water,Active,MD0080002,False,False,[],[]
B&L MOBILE HOME PARK,CALVERT,NOT REPORTED,65,Ground water,Active,MD0040209,False,False,[],[]
BACKBONE MOUNTAIN BOYS CAMP,GARRETT,NOT REPORTED,60,Ground water,Active,MD0110204,False,False,[],[]
BANKS ODEE,CHARLES,NOT REPORTED,65,Ground water,Active,MD0080003,False,False,[],[]
BARK HILL,CARROLL,NOT REPORTED,163,Ground water,Active,MD0060019,False,False,[],[]
BARRELVILLE,ALLEGANY,NOT REPORTED,130,Ground water,Active,MD0010001,False,False,[],[]
BAY COUNTRY ESTATES MOBILE HOME PARK,CECIL,NOT REPORTED,276,Ground water,Active,MD0070207,False,False,[],[]
BAY COUNTRY MOBILE HOME PARK,DORCHESTER,NOT REPORTED,300,Ground water,Active,MD0090219,False,False,[],[]
BAYSIDE VILLAGE,WORCESTER,NOT REPORTED,50,Ground water,Active,MD1231051,False,False,[],[]
