WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ABERCROMBIE CITY OF,RICHLAND,['ABERCROMBIE'],263,Ground water,Active,ND3900001,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-96.73726, 46.449172], [-96.737088, 46.44749], [-96.737033, 46.447492], [-96.736296, 46.447466], [-96.736125, 46.447539], [-96.735886, 46.447614], [-96.735885, 46.446859], [-96.735878, 46.445345], [-96.735884, 46.444462], [-96.735875, 46.443293], [-96.735872, 46.441921], [-96.735483, 46.441919], [-96.733746, 46.441895], [-96.730959, 46.441914], [-96.730098, 46.441915], [-96.727482, 46.441931], [-96.72658, 46.441919], [-96.725547, 46.44192], [-96.725387, 46.441927], [-96.725258, 46.441932], [-96.723293, 46.44193], [-96.720143, 46.441923], [-96.719996, 46.441935], [-96.719853, 46.44196], [-96.719716, 46.441999], [-96.717972, 46.441871], [-96.717941, 46.441867], [-96.717901, 46.44187], [-96.717814, 46.441879], [-96.717781, 46.44188], [-96.717742, 46.441883], [-96.717505, 46.441898], [-96.717246, 46.441905], [-96.716883, 46.441897], [-96.716573, 46.441884], [-96.716419, 46.441868], [-96.715961, 46.44181], [-96.715573, 46.44175], [-96.715353, 46.441716], [-96.715054, 46.441659], [-96.714851, 46.441629], [-96.714451, 46.441556], [-96.714403, 46.441542], [-96.714303, 46.441523], [-96.714205, 46.441499], [-96.714064, 46.441455], [-96.713975, 46.441418], [-96.7139, 46.441409], [-96.713851, 46.441396], [-96.713702, 46.441366], [-96.713562, 46.441319], [-96.713338, 46.441229], [-96.713245, 46.441196], [-96.713197, 46.441184], [-96.713046, 46.441157], [-96.712997, 46.441145], [-96.712794, 46.441118], [-96.712691, 46.441112], [-96.712536, 46.441121], [-96.712439, 46.441145], [-96.71236, 46.441193], [-96.712294, 46.441248], [-96.712254, 46.441314], [-96.712207, 46.441528], [-96.712231, 46.441779], [-96.71228, 46.441919], [-96.712297, 46.441953], [-96.712352, 46.442014], [-96.712388, 46.44204], [-96.712467, 46.442086], [-96.712552, 46.442128], [-96.712642, 46.442164], [-96.712789, 46.442198], [-96.71289, 46.442216], [-96.713043, 46.442234], [-96.713142, 46.442256], [-96.713283, 46.442302], [-96.713579, 46.442503], [-96.713717, 46.442611], [-96.713868, 46.442757], [-96.713969, 46.442839], [-96.714058, 46.442928], [-96.714228, 46.443064], [-96.714326, 46.443132], [-96.714521, 46.443268], [-96.714754, 46.443412], [-96.71492, 46.443498], [-96.715717, 46.443835], [-96.715834, 46.443905], [-96.71609, 46.444085], [-96.716157, 46.444139], [-96.716186, 46.444168], [-96.716216, 46.444166], [-96.716242, 46.444239], [-96.716243, 46.444242], [-96.716278, 46.444298], [-96.716314, 46.444392], [-96.716331, 46.444437], [-96.716332, 46.444445], [-96.716338, 46.444481], [-96.716356, 46.44459], [-96.716362, 46.444627], [-96.716275, 46.444695], [-96.715994, 46.444933], [-96.715924, 46.444992], [-96.715294, 46.445271], [-96.714408, 46.445542], [-96.714039, 46.445644], [-96.713755, 46.445724], [-96.713322, 46.445828], [-96.712963, 46.445915], [-96.712287, 46.446081], [-96.711855, 46.446248], [-96.711388, 46.446464], [-96.71127, 46.446705], [-96.711535, 46.446965], [-96.711975, 46.447216], [-96.712298, 46.447524], [-96.712703, 46.447856], [-96.712989, 46.448446], [-96.713347, 46.448761], [-96.714208, 46.448708], [-96.71497, 46.448429], [-96.715036, 46.448406], [-96.715296, 46.447931], [-96.715393, 46.447359], [-96.715363, 46.446747], [-96.715529, 46.446409], [-96.715661, 46.446354], [-96.715774, 46.446306], [-96.715887, 46.446259], [-96.715887, 46.446262], [-96.715903, 46.446312], [-96.715922, 46.446368], [-96.715941, 46.446401], [-96.715973, 46.44643], [-96.715998, 46.446447], [-96.716009, 46.446455], [-96.716047, 46.446476], [-96.716172, 46.446545], [-96.716216, 46.446563], [-96.716315, 46.446584], [-96.716363, 46.446598], [-96.716566, 46.446625], [-96.716722, 46.44662], [-96.716772, 46.446613], [-96.716822, 46.446601], [-96.716866, 46.446583], [-96.716965, 46.44653], [-96.71699, 46.446517], [-96.717067, 46.446469], [-96.717166, 46.446385], [-96.717191, 46.446354], [-96.717246, 46.446253], [-96.717275, 46.446223], [-96.717346, 46.446171], [-96.717386, 46.446148], [-96.717472, 46.446108], [-96.717566, 46.446077], [-96.717714, 46.446043], [-96.717816, 46.446033], [-96.718022, 46.44605], [-96.718172, 46.446078], [-96.718605, 46.446197], [-96.718651, 46.446214], [-96.718692, 46.446236], [-96.718874, 46.446305], [-96.719169, 46.446425], [-96.719321, 46.446487], [-96.719464, 46.44653], [-96.719595, 46.44656], [-96.719611, 46.446564], [-96.719712, 46.446579], [-96.719768, 46.446594], [-96.71987, 46.446609], [-96.719969, 46.446629], [-96.720063, 46.44666], [-96.720112, 46.446672], [-96.720157, 46.446689], [-96.720287, 46.446749], [-96.720499, 46.446868], [-96.720528, 46.446885], [-96.720677, 46.446985], [-96.720782, 46.447065], [-96.720867, 46.447139], [-96.720912, 46.447177], [-96.720968, 46.447237], [-96.721148, 46.447456], [-96.721269, 46.447615], [-96.721399, 46.447771], [-96.721482, 46.447902], [-96.721568, 46.448072], [-96.72159, 46.448105], [-96.72162, 46.448174], [-96.721661, 46.448252], [-96.721691, 46.448309], [-96.721736, 46.448412], [-96.721775, 46.448517], [-96.721811, 46.448683], [-96.721989, 46.448819], [-96.722121, 46.449783], [-96.722212, 46.450983], [-96.725406, 46.450959], [-96.732077, 46.450944], [-96.734932, 46.456342], [-96.735002, 46.456333], [-96.735129, 46.456377], [-96.735497, 46.45642], [-96.735663, 46.456381], [-96.735814, 46.456325], [-96.736125, 46.455857], [-96.736097, 46.45575], [-96.735996, 46.455192], [-96.735953, 46.454992], [-96.735909, 46.45456], [-96.735885, 46.453764], [-96.735893, 46.453437], [-96.735889, 46.450563], [-96.73588, 46.449149], [-96.737209, 46.449172], [-96.73726, 46.449172]]]}]]","[['46.441112', '46.45642', '-96.73726', '-96.71127']]"
AGASSIZ WATER USERS DISTRICT,GRAND FORKS,NOT REPORTED,3438,Ground water,Active,ND1801056,False,False,[],[]
ALEXANDER CITY OF,MCKENZIE,['ALEXANDER'],1335,Ground water,Active,ND2700006,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-103.653397, 47.848377], [-103.653268, 47.84233], [-103.653075, 47.834472], [-103.653095, 47.834174], [-103.653075, 47.833873], [-103.653045, 47.829515], [-103.647563, 47.829557], [-103.646912, 47.829562], [-103.636868, 47.829489], [-103.629509, 47.82945], [-103.629512, 47.831804], [-103.629513, 47.832347], [-103.629503, 47.832474], [-103.62951, 47.833199], [-103.629513, 47.833886], [-103.629443, 47.841439], [-103.62936, 47.848351], [-103.630166, 47.848352], [-103.631372, 47.848352], [-103.631652, 47.848354], [-103.633201, 47.848356], [-103.637262, 47.848363], [-103.638449, 47.848361], [-103.642225, 47.848353], [-103.642477, 47.848355], [-103.643947, 47.84836], [-103.64793, 47.848374], [-103.648583, 47.848376], [-103.649889, 47.848378], [-103.653397, 47.848377]]]}]]","[['47.82945', '47.848378', '-103.653397', '-103.62936']]"
ALL SEASONS WD-SYSTEM I,BOTTINEAU,NOT REPORTED,890,Ground water,Active,ND0501057,False,False,[],[]
ALL SEASONS WD-SYSTEM III,BOTTINEAU,NOT REPORTED,790,Ground water purchased,Active,ND0501127,False,False,[],[]
ALL SEASONS WD-SYSTEM IV,ROLETTE,NOT REPORTED,670,Ground water,Active,ND4001153,False,False,[],[]
ALL SEASONS WD-SYSTEM V,PIERCE,NOT REPORTED,1075,Ground water purchased,Active,ND3501476,False,False,[],[]
ALMONT CITY OF,MORTON,['ALMONT'],122,Surface water purchased,Active,ND3000012,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-101.520345, 46.739319], [-101.520297, 46.733398], [-101.52029, 46.732599], [-101.52028, 46.731389], [-101.520253, 46.727893], [-101.52018, 46.718608], [-101.520171, 46.717505], [-101.519262, 46.717503], [-101.512554, 46.717486], [-101.510529, 46.717488], [-101.507202, 46.717514], [-101.495502, 46.717393], [-101.494229, 46.717399], [-101.493524, 46.717402], [-101.49326, 46.717404], [-101.493203, 46.717405], [-101.49193, 46.71741], [-101.486419, 46.717437], [-101.483467, 46.717423], [-101.4834851, 46.7245961], [-101.4887109, 46.7246374], [-101.4887175, 46.7318878], [-101.483482, 46.7318342], [-101.48356, 46.733143], [-101.483568, 46.734387], [-101.483576, 46.735613], [-101.4835596, 46.7391244], [-101.519016, 46.739326], [-101.520345, 46.739319]]]}]]","[['46.717393', '46.739326', '-101.520345', '-101.483467']]"
AMENIA CITY OF,CASS,['AMENIA'],94,Ground water purchased,Active,ND0900017,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-97.240235, 47.008226], [-97.240166, 47.006504], [-97.240018, 47.000312], [-97.23995, 47.000112], [-97.239952, 47.000002], [-97.239953, 46.999867], [-97.238815, 46.999914], [-97.229248, 46.999956], [-97.221543, 46.999941], [-97.219282, 46.999937], [-97.219282, 46.999976], [-97.218986, 46.999973], [-97.215276, 46.999987], [-97.212974, 46.999986], [-97.208164, 46.999891], [-97.208222, 47.006147], [-97.208232, 47.006439], [-97.208259, 47.013568], [-97.209297, 47.013558], [-97.213804, 47.013707], [-97.215381, 47.01371], [-97.218916, 47.013688], [-97.219307, 47.013712], [-97.239973, 47.013724], [-97.239985, 47.011585], [-97.240235, 47.008226]]]}]]","[['46.999867', '47.013724', '-97.240235', '-97.208164']]"
ANETA CITY OF,NELSON,['ANETA'],222,Ground water purchased,Active,ND3200023,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-98.000403, 47.685003], [-98.000401, 47.68481], [-98.000391, 47.683764], [-98.000382, 47.68287], [-98.000373, 47.681985], [-98.000373, 47.680523], [-98.000181, 47.672307], [-98.000023, 47.672306], [-97.999506, 47.672309], [-97.993339, 47.672296], [-97.993265, 47.672296], [-97.9891, 47.672281], [-97.988418, 47.672294], [-97.987907, 47.6723], [-97.985564, 47.672297], [-97.98481, 47.6723], [-97.98393, 47.672304], [-97.981648, 47.672296], [-97.979513, 47.672275], [-97.979087, 47.672275], [-97.979068, 47.673965], [-97.979067, 47.674136], [-97.979103, 47.67457], [-97.979129, 47.674919], [-97.979124, 47.686772], [-97.980186, 47.686769], [-97.983805, 47.68678], [-97.985108, 47.68678], [-97.987325, 47.686776], [-97.989193, 47.686786], [-97.989769, 47.686784], [-97.992012, 47.686782], [-97.9947591, 47.6867799], [-97.996258, 47.68678], [-97.996904, 47.686784], [-97.999495, 47.686797], [-98.000379, 47.686797], [-98.000373, 47.68571], [-98.000403, 47.685003]]]}]]","[['47.672275', '47.686797', '-98.000403', '-97.979067']]"
