WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A AND R RECK MOBILE HOME PARK,MIAMI,NOT REPORTED,45,Ground water,Active,OH5500312,False,False,[],[]
A AND R UNION CITY PARK MHP PWS,DARKE,NOT REPORTED,85,Ground water,Active,OH1900812,False,False,[],[]
ADA VILLAGE,HARDIN,NOT REPORTED,5952,Ground water,Active,OH3300012,False,False,[],[]
ADAMS COUNTY REGIONAL WD PWS,ADAMS,NOT REPORTED,21507,Ground water,Active,OH0100012,False,False,[],[]
ADDYSTON VILLAGE PWS,HAMILTON,NOT REPORTED,900,Ground water,Active,OH3100012,False,False,[],[]
ADENA VILLAGE PWS,JEFFERSON,NOT REPORTED,820,Ground water purchased,Active,OH4100003,False,False,[],[]
AKRON CITY PWS,SUMMIT,NOT REPORTED,280000,Surface water,Active,OH7700011,False,False,[],[]
ALBANY VILLAGE PWS,ATHENS,NOT REPORTED,828,Ground water purchased,Active,OH0500003,False,False,[],[]
ALEXANDERS MOBILE HOME PARK,SUMMIT,NOT REPORTED,112,Ground water,Active,OH7700212,False,False,[],[]
ALEXANDRIA VILLAGE PWS,LICKING,NOT REPORTED,479,Ground water purchased,Active,OH4504203,False,False,[],[]
ALGER VILLAGE,HARDIN,NOT REPORTED,860,Ground water,Active,OH3300112,False,False,[],[]
ALL SEASONS MHP,PORTAGE,NOT REPORTED,483,Ground water,Active,OH6700812,False,False,[],[]
ALLIANCE CITY PWS,STARK,NOT REPORTED,22232,Surface water,Active,OH7600011,False,False,[],[]
ALTERCARE OF HARTVILLE,STARK,NOT REPORTED,167,Ground water,Active,OH7602212,False,False,[],[]
ALTMAN HTS COMM WATER ASSOCIATION,RICHLAND,NOT REPORTED,195,Ground water,Active,OH7005312,False,False,[],[]
AMANDA VILLAGE PWS,FAIRFIELD,NOT REPORTED,737,Ground water,Active,OH2300012,False,False,[],[]
AMESVILLE PUBLIC WATER SYSTEM,ATHENS,NOT REPORTED,255,Ground water,Active,OH0500112,False,False,[],[]
AMHERST CITY PWS,LORAIN,NOT REPORTED,11797,Surface water purchased,Active,OH4700003,False,False,[],[]
ANDOVER VILLAGE PWS,ASHTABULA,NOT REPORTED,1250,Ground water,Active,OH0400012,False,False,[],[]
ANDOVER-CAMPLANDS WATER,ASHTABULA,NOT REPORTED,6009,Ground water,Active,OH0400212,False,False,[],[]
ANNA,SHELBY,NOT REPORTED,1567,Ground water,Active,OH7500012,False,False,[],[]
ANSONIA VILLAGE PWS,DARKE,NOT REPORTED,1174,Ground water,Active,OH1900012,False,False,[],[]
ANTWERP VILLAGE,PAULDING,NOT REPORTED,1689,Ground water,Active,OH6300012,False,False,[],[]
APOLLO MOBILE HOME PARK,SANDUSKY,NOT REPORTED,35,Ground water,Active,OH7200012,False,False,[],[]
APPLE CREEK VILLAGE PWS,WAYNE,NOT REPORTED,1190,Ground water,Active,OH8500112,False,False,[],[]
AQUA OHIO - ASHTABULA,ASHTABULA,NOT REPORTED,39838,Surface water,Active,OH0400711,False,False,[],[]
AQUA OHIO - AUBURN LAKES PWS,GEAUGA,NOT REPORTED,290,Ground water,Active,OH2803612,False,False,[],[]
AQUA OHIO - AURORA E,PORTAGE,NOT REPORTED,945,Ground water purchased,Active,OH6700512,False,False,[],[]
AQUA OHIO - BEECHCREST,PORTAGE,NOT REPORTED,1800,Ground water purchased,Active,OH6705212,False,False,[],[]
AQUA OHIO - BLACKLICK,FRANKLIN,NOT REPORTED,8984,Ground water,Active,OH2502412,False,False,[],[]
AQUA OHIO - HUBER RIDGE PWS,FRANKLIN,NOT REPORTED,6950,Ground water,Active,OH2502512,False,False,[],[]
