WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
62ND COURT MUTUAL WATER CO,MARION,NOT REPORTED,50,Ground water,Active,OR4101184,False,False,[],[]
A RIVER RUNS THROUGH,JACKSON,NOT REPORTED,28,Ground water,Active,OR4195342,False,False,[],[]
ADAIR VILLAGE WATER SYSTEM,BENTON,NOT REPORTED,875,Surface water,Active,OR4100003,False,False,[],[]
"ADAMS WATER DEPT, CITY OF",UMATILLA,NOT REPORTED,370,Ground water,Active,OR4100001,False,False,[],[]
"ADRIAN, CITY OF",MALHEUR,NOT REPORTED,180,Ground water,Active,OR4100002,False,False,[],[]
AGATE WATER SYSTEM,DESCHUTES,NOT REPORTED,2925,Ground water,Active,OR4101439,False,False,[],[]
ALBANY TRAILER COURT,LINN,NOT REPORTED,100,Ground water,Active,OR4100004,False,False,[],[]
"ALBANY, CITY OF",LINN,NOT REPORTED,56100,Surface water,Active,OR4100012,False,False,[],[]
ALDER CREEK BARLOW WATER DIST,CLACKAMAS,NOT REPORTED,310,Surface water purchased,Active,OR4100630,False,False,[],[]
ALDERWOOD WATER DEV CO,LANE,NOT REPORTED,35,Surface water,Active,OR4100304,False,False,[],[]
ALDRIDGE DITCH CO WS,HOOD RIVER,NOT REPORTED,67,Ground water purchased,Active,OR4101013,False,False,[],[]
ALPINE CREST IMPROVEMENT DIST,MARION,NOT REPORTED,91,Ground water,Active,OR4101352,False,False,[],[]
ALSEA COUNTY SERVICE DISTRICT,BENTON,NOT REPORTED,202,Ground water,Active,OR4100978,False,False,[],[]
AMIGO VILLA WATER SERVICE INC,LINN,NOT REPORTED,100,Ground water,Active,OR4100013,False,False,[],[]
"AMITY, CITY OF",YAMHILL,NOT REPORTED,1620,Surface water,Active,OR4100041,False,False,[],[]
ANGLERS COVE/SCHWC,JACKSON,NOT REPORTED,80,Surface water,Active,OR4101483,False,False,[],[]
"ANTELOPE, CITY OF",WASCO,NOT REPORTED,46,Ground water,Active,OR4100042,False,False,[],[]
APPLEGATE MOBILE PARK,JACKSON,NOT REPORTED,70,Ground water,Active,OR4100043,False,False,[],[]
APPLEWOOD MOBILE HOME PARK,LANE,NOT REPORTED,100,Ground water,Active,OR4100840,False,False,[],[]
ARCH CAPE WATER DISTRICT,CLATSOP,NOT REPORTED,150,Surface water,Active,OR4100802,False,False,[],[]
ARLINGTON CITY WATER SUPPLY,GILLIAM,NOT REPORTED,610,Ground water,Active,OR4100046,False,False,[],[]
ARNEYS FOREST VIEW MHP,LANE,NOT REPORTED,50,Ground water,Active,OR4100992,False,False,[],[]
ARROWHEAD MOBILE HOME PARK,MARION,NOT REPORTED,220,Ground water,Active,OR4100770,False,False,[],[]
ARROWOOD COMMUNITY WATER CO,DESCHUTES,NOT REPORTED,170,Ground water purchased,Active,OR4101525,False,False,[],[]
ASHDOWN WOOD WATER COMPANY,CLACKAMAS,NOT REPORTED,75,Ground water,Active,OR4101153,False,False,[],[]
ASHLAND ACRES MOBILE ESTATES,JACKSON,NOT REPORTED,30,Ground water,Active,OR4100049,False,False,[],[]
ASHLAND COUNTRY ESTATES,JACKSON,NOT REPORTED,85,Ground water,Active,OR4100053,False,False,[],[]
ASHLAND WATER DEPARTMENT,JACKSON,NOT REPORTED,21505,Surface water,Active,OR4100047,False,False,[],[]
ASPEN LAKES UTILITY CO LLC,DESCHUTES,NOT REPORTED,150,Ground water,Active,OR4101476,False,False,[],[]
"ASTORIA, CITY OF",CLATSOP,NOT REPORTED,9802,Surface water,Active,OR4100055,False,False,[],[]
"ATHENA, CITY OF",UMATILLA,NOT REPORTED,1170,Ground water,Active,OR4100064,False,False,[],[]
"AUMSVILLE, CITY OF",MARION,NOT REPORTED,3750,Ground water,Active,OR4100065,False,False,[],[]
AURORA ACRES RV RESORT,MARION,NOT REPORTED,240,Ground water,Active,OR4193784,False,False,[],[]
"AURORA, CITY OF",MARION,NOT REPORTED,995,Ground water,Active,OR4100067,False,False,[],[]
AVION WC - BRASADA RANCH,CROOK,NOT REPORTED,350,Ground water,Active,OR4101506,False,False,[],[]
AVION WC - CHAPARRAL,DESCHUTES,NOT REPORTED,470,Ground water,Active,OR4100094,False,False,[],[]
