WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A B C #2 MOBILE HOME PARK,LYCOMING,NOT REPORTED,75,Ground water,Active,PA4410010,False,False,[],[]
ABRAXAS ACADEMY,BERKS,NOT REPORTED,156,Ground water,Active,PA3060127,False,False,[],[]
ACORN ACRES,LANCASTER,NOT REPORTED,50,Ground water,Active,PA7360020,False,False,[],[]
ACORNS MHP,BERKS,NOT REPORTED,50,Ground water,Active,PA3060015,False,False,[],[]
ADAMS CNTY FAC CTR,ADAMS,NOT REPORTED,450,Ground water,Active,PA7010056,False,False,[],[]
ADAMS TWP MUNICIPAL AUTHORITY,SNYDER,NOT REPORTED,225,Ground water,Active,PA4550006,False,False,[],[]
ADAMS TWP WATER AUTH,CAMBRIA,NOT REPORTED,2000,Surface water purchased,Active,PA4110033,False,False,[],[]
ADAMSTOWN BOROUGH,LANCASTER,NOT REPORTED,1800,Ground water,Active,PA7360001,False,False,[],[]
ADDISON AREA WATER AUTH,SOMERSET,NOT REPORTED,284,Ground water,Active,PA4560028,False,False,[],[]
AIKEN WATER COMPANY,MCKEAN,NOT REPORTED,850,Ground water,Active,PA6420010,False,False,[],[]
AKRON BOROUGH,LANCASTER,NOT REPORTED,4200,Ground water,Active,PA7360128,False,False,[],[]
ALBERT GALLATIN MUNI AUTH,FAYETTE,NOT REPORTED,2905,Surface water,Active,PA5260027,False,False,[],[]
ALBION BOROUGH,ERIE,NOT REPORTED,5731,Ground water,Active,PA6250007,False,False,[],[]
ALBURTIS BOROUGH AUTHORITY,LEHIGH,NOT REPORTED,2117,Ground water,Active,PA3390045,False,False,[],[]
ALEPPO TWP AUTH,ALLEGHENY,NOT REPORTED,2200,Surface water purchased,Active,PA5020070,False,False,[],[]
ALEX ACRES MHP,DAUPHIN,NOT REPORTED,108,Ground water,Active,PA7220007,False,False,[],[]
ALEXANDRIA BORO WATER AUTH,HUNTINGDON,NOT REPORTED,815,Surface water,Active,PA4310021,False,False,[],[]
ALLENSVILLE MUNI AUTH,MIFFLIN,NOT REPORTED,480,Surface water,Active,PA4440008,False,False,[],[]
ALTOONA WATER AUTHORITY,BLAIR,NOT REPORTED,62500,Surface water,Active,PA4070023,False,False,[],[]
AMBER HILL MHP,YORK,NOT REPORTED,70,Ground water,Active,PA7670125,False,False,[],[]
AMBLER BORO WATER DEPT,MONTGOMERY,NOT REPORTED,20000,Surface water,Active,PA1460020,False,False,[],[]
AMBRIDGE WATER AUTH,BEAVER,NOT REPORTED,19500,Surface water,Active,PA5040008,False,False,[],[]
AMERICAN MODERN HOMES,BRADFORD,NOT REPORTED,100,Ground water,Active,PA2080013,False,False,[],[]
AMERICAN TEMPO VILLAGE PARK,LYCOMING,NOT REPORTED,88,Ground water,Active,PA4410002,False,False,[],[]
AMES TRAILER COURT,CRAWFORD,NOT REPORTED,36,Ground water,Active,PA6200054,False,False,[],[]
ANCHOR ESTATES,ADAMS,NOT REPORTED,300,Ground water,Active,PA7010017,False,False,[],[]
ANKROM ACRES MHP,BEAVER,NOT REPORTED,24,Ground water,Active,PA5040018,False,False,[],[]
ANSONVILLE WATER AUTHORITY,CLEARFIELD,NOT REPORTED,38,Groundwater under influence of surface water,Active,PA6170003,False,False,[],[]
ANTRIM TOWNSHIP MUNICIPAL AUTH,FRANKLIN,NOT REPORTED,975,Groundwater under influence of surface water,Active,PA7280063,False,False,[],[]
APPALACHIAN UTILITIES INC,CLINTON,NOT REPORTED,3000,Ground water,Active,PA4180067,False,False,[],[]
APPLE BLOSSOM LANE MHP,BLAIR,NOT REPORTED,31,Ground water,Active,PA4070050,False,False,[],[]
APPLEVILLE MOBILE HOME PARK,CHESTER,NOT REPORTED,461,Ground water,Active,PA1150094,False,False,[],[]
AQUA PA APPLEWOOD,LUZERNE,NOT REPORTED,82,Ground water,Active,PA2400083,False,False,[],[]
AQUA PA BARRETT,LUZERNE,NOT REPORTED,107,Ground water,Active,PA2400085,False,False,[],[]
AQUA PA BEECH MOUNTAIN,LUZERNE,NOT REPORTED,2325,Ground water,Active,PA2400114,False,False,[],[]
AQUA PA BENSALEM,BUCKS,NOT REPORTED,44543,Surface water purchased,Active,PA1090078,False,False,[],[]
AQUA PA BEVERSREDE,CHESTER,NOT REPORTED,2300,Surface water purchased,Active,PA1150155,False,False,[],[]
AQUA PA BRISTOL,BUCKS,NOT REPORTED,28728,Surface water,Active,PA1090001,False,False,[],[]
AQUA PA BUNKER HILL,WYOMING,NOT REPORTED,210,Ground water,Active,PA2660018,False,False,[],[]
AQUA PA CHALFONT,BUCKS,NOT REPORTED,5900,Ground water,Active,PA1090005,False,False,[],[]
AQUA PA CLARENDON,WARREN,NOT REPORTED,840,Ground water,Active,PA6620021,False,False,[],[]
AQUA PA COUNTRY CLUB GARDENS,LEHIGH,NOT REPORTED,268,Ground water,Active,PA3390028,False,False,[],[]
AQUA PA CRAWFORD DIV,CRAWFORD,NOT REPORTED,2300,Ground water,Active,PA6200014,False,False,[],[]
AQUA PA EAGLE ROCK UTILITIES,SCHUYLKILL,NOT REPORTED,956,Ground water,Active,PA3540070,False,False,[],[]
AQUA PA EAST CAMERON,NORTHUMBERLAND,NOT REPORTED,200,Ground water,Active,PA4490011,False,False,[],[]
AQUA PA EAST POINTE,BERKS,NOT REPORTED,75,Ground water,Active,PA3061153,False,False,[],[]
AQUA PA EMLENTON,VENANGO,NOT REPORTED,915,Surface water,Active,PA6610019,False,False,[],[]
AQUA PA FACTORYVILLE,WYOMING,NOT REPORTED,2323,Ground water,Active,PA2660036,False,False,[],[]
AQUA PA FAWN LAKE FOREST,PIKE,NOT REPORTED,6533,Ground water,Active,PA2520037,False,False,[],[]
AQUA PA FIELDCREST,LUZERNE,NOT REPORTED,110,Ground water,Active,PA2400012,False,False,[],[]
AQUA PA FLYING HILLS WA SYS,BERKS,NOT REPORTED,3600,Ground water,Active,PA3060018,False,False,[],[]
AQUA PA FOREST PARK,LUZERNE,NOT REPORTED,420,Ground water,Active,PA2400078,False,False,[],[]
AQUA PA FRANKLIN,CHESTER,NOT REPORTED,265,Ground water,Active,PA1150126,False,False,[],[]
AQUA PA FRIENDSHIP,CHESTER,NOT REPORTED,7675,Surface water purchased,Active,PA1150137,False,False,[],[]
AQUA PA GARBUSH,LUZERNE,NOT REPORTED,200,Ground water,Active,PA2400089,False,False,[],[]
AQUA PA GARDEN HILLS,WAYNE,NOT REPORTED,90,Ground water,Active,PA2640017,False,False,[],[]
AQUA PA GEIGERTOWN WATER SYS,BERKS,NOT REPORTED,200,Ground water,Active,PA3060030,False,False,[],[]
AQUA PA GOLDEN OAKS,CARBON,NOT REPORTED,132,Ground water,Active,PA3130054,False,False,[],[]
AQUA PA GOULDSBORO,WAYNE,NOT REPORTED,350,Ground water,Active,PA2640022,False,False,[],[]
AQUA PA GREENBRIAR,LUZERNE,NOT REPORTED,120,Ground water,Active,PA2400147,False,False,[],[]
AQUA PA HAMILTON WATER CO,MONROE,NOT REPORTED,1500,Ground water,Active,PA2450044,False,False,[],[]
AQUA PA HATBORO,MONTGOMERY,NOT REPORTED,12901,Surface water purchased,Active,PA1460028,False,False,[],[]
AQUA PA HEX ACRES,LUZERNE,NOT REPORTED,255,Ground water,Active,PA2400053,False,False,[],[]
AQUA PA HILLCREST ESTATES II,BERKS,NOT REPORTED,214,Ground water,Active,PA3060133,False,False,[],[]
AQUA PA HONESDALE,WAYNE,NOT REPORTED,5500,Ground water,Active,PA2640018,False,False,[],[]
AQUA PA HONEYBROOK,CHESTER,NOT REPORTED,1600,Ground water,Active,PA1150195,False,False,[],[]
AQUA PA INC MERIBAH WATER CO,JUNIATA,NOT REPORTED,135,Ground water,Active,PA4340018,False,False,[],[]
AQUA PA INC TREASURE LAKE DIV,CLEARFIELD,NOT REPORTED,4155,Ground water,Active,PA6170048,False,False,[],[]
AQUA PA JEFFERSON HEIGHTS,LACKAWANNA,NOT REPORTED,498,Ground water,Active,PA2350057,False,False,[],[]
AQUA PA JENKS TWP WTP,FOREST,NOT REPORTED,4320,Ground water,Active,PA6270008,False,False,[],[]
AQUA PA KRATZERVILLE,SNYDER,NOT REPORTED,435,Ground water,Active,PA4550008,False,False,[],[]
AQUA PA LAKE LATONKA WTP,MERCER,NOT REPORTED,1400,Ground water,Active,PA6430059,False,False,[],[]
AQUA PA LAUREL LAKES VILLAGE,LUZERNE,NOT REPORTED,475,Ground water,Active,PA2400111,False,False,[],[]
AQUA PA LINKS AT GETTYSBURG SY,ADAMS,NOT REPORTED,398,Ground water,Active,PA7010057,False,False,[],[]
AQUA PA MAIN SYSTEM,MONTGOMERY,NOT REPORTED,747460,Surface water,Active,PA1460073,False,False,[],[]
