WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
114TH STREET MOBILE HOME PARK,LUBBOCK,NOT REPORTED,50,Ground water,Active,TX1520067,False,False,[],[]
130 REGIONAL WSC,BURLESON,NOT REPORTED,0,Ground water purchased,Active,TX0260049,False,False,[],[]
1485 LIMITED CRYSTAL SPRINGS WATER CO,MONTGOMERY,NOT REPORTED,48,Ground water,Active,TX1700580,False,False,[],[]
2920 WEST SUBDIVISION,HARRIS,NOT REPORTED,369,Ground water,Active,TX1012276,False,False,[],[]
3 G WSC,LLANO,NOT REPORTED,391,Groundwater under influence of surface water,Active,TX1500006,False,False,[],[]
3-D MOBILE HOME AND RV PARK,GRAYSON,NOT REPORTED,90,Ground water,Active,TX0910072,False,False,[],[]
3D BUNKHOUSE PWS,ERATH,NOT REPORTED,36,Ground water,Active,TX0720059,False,False,[],[]
4 D WATER,COMAL,NOT REPORTED,282,Ground water,Active,TX0460152,False,False,[],[]
4 R RANCH WATER 2,HUNT,NOT REPORTED,214,Ground water,Active,TX1160091,False,False,[],[]
410 WSC,RED RIVER,NOT REPORTED,2406,Surface water purchased,Active,TX1940006,False,False,[],[]
439 WSC,BELL,NOT REPORTED,6985,Surface water purchased,Active,TX0140076,False,False,[],[]
5TH STREET WATER SYSTEM,FORT BEND,NOT REPORTED,1593,Ground water purchased,Active,TX0790309,False,False,[],[]
723 UTILITY,FORT BEND,NOT REPORTED,180,Ground water,Active,TX0790425,False,False,[],[]
84 WEST WSC,LIMESTONE,NOT REPORTED,147,Ground water purchased,Active,TX1470015,False,False,[],[]
A & P WSC PUMP 1,PANOLA,NOT REPORTED,630,Surface water purchased,Active,TX1830017,False,False,[],[]
ABLES SPRINGS SUD,KAUFMAN,NOT REPORTED,3582,Surface water purchased,Active,TX1290010,False,False,[],[]
ABRAXAS UTILITIES,PARKER,NOT REPORTED,552,Ground water,Active,TX1840034,False,False,[],[]
ACORN VILLAGE MOBILE HOME PARK,HARRIS,NOT REPORTED,192,Surface water purchased,Active,TX1012333,False,False,[],[]
ACTON MUD,HOOD,NOT REPORTED,19125,Surface water purchased,Active,TX1110007,False,False,[],[]
ACTON WATER ROYAL OAKS,HOOD,NOT REPORTED,210,Surface water purchased,Active,TX1110055,False,False,[],[]
ADDICKS UTILITY DISTRICT,HARRIS,NOT REPORTED,4998,Surface water purchased,Active,TX1011019,False,False,[],[]
ADOBE ESTATES MOBILE HOME PARK,RANDALL,NOT REPORTED,500,Ground water,Active,TX1910003,False,False,[],[]
ADRIAN MUNICIPAL WATER SYSTEM,OLDHAM,NOT REPORTED,166,Ground water,Active,TX1800003,False,False,[],[]
AERO VALLEY WATER SERVICE,DENTON,NOT REPORTED,68,Ground water,Active,TX0610243,False,False,[],[]
AFTON GROVE WSC,CHEROKEE,NOT REPORTED,1680,Surface water purchased,Active,TX0370014,False,False,[],[]
AFTON PARK WATER SYSTEM,MONTGOMERY,NOT REPORTED,81,Ground water,Active,TX1700147,False,False,[],[]
AGNES SUBDIVISION,PARKER,NOT REPORTED,54,Ground water,Active,TX1840017,False,False,[],[]
AGUA SUD,HIDALGO,NOT REPORTED,45498,Surface water,Active,TX1080022,False,False,[],[]
AIR FORCE VILLAGE II,BEXAR,NOT REPORTED,655,Ground water,Active,TX0150463,False,False,[],[]
AIR PARK ESTATES,COLLIN,NOT REPORTED,96,Surface water purchased,Active,TX0430060,False,False,[],[]
AIRLINE MOBILE HOME PARK,MIDLAND,NOT REPORTED,1750,Ground water,Active,TX1650003,False,False,[],[]
AIRPORT HEIGHTS,MONTGOMERY,NOT REPORTED,45,Ground water,Active,TX1700006,False,False,[],[]
