WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ACME WATER COMPANY,BOX ELDER,NOT REPORTED,880,Ground water,Active,UTAH02001,False,False,[],[]
ALPINE CITY,UTAH,NOT REPORTED,9500,Ground water,Active,UTAH25007,False,False,[],[]
ALPINE COVE WATER SSD,UTAH,NOT REPORTED,230,Ground water,Active,UTAH25124,False,False,[],[]
ALTA TOWN WATER SYSTEM,SALT LAKE,NOT REPORTED,1397,Ground water,Active,UTAH18049,False,False,[],[]
ALTON TOWN WATER SYSTEM,KANE,NOT REPORTED,136,Ground water,Active,UTAH13001,False,False,[],[]
AMALGA TOWN WATER SYSTEM,CACHE,NOT REPORTED,495,Ground water,Active,UTAH03002,False,False,[],[]
AMERICAN FORK CITY,UTAH,NOT REPORTED,29500,Ground water,Active,UTAH25008,False,False,[],[]
ANGELL SPRINGS SSD,WASHINGTON,NOT REPORTED,240,Ground water,Active,UTAH27074,False,False,[],[]
ANNABELLA TOWN WATER SYSTEM,SEVIER,NOT REPORTED,700,Ground water,Active,UTAH21001,False,False,[],[]
ANTIMONY TOWN WATER SYSTEM,GARFIELD,NOT REPORTED,135,Ground water,Active,UTAH09001,False,False,[],[]
ASHLEY VALLEY WATER AND SEWER ID,UINTAH,NOT REPORTED,9126,Surface water,Active,UTAH24013,False,False,[],[]
AURORA CITY,SEVIER,NOT REPORTED,950,Ground water,Active,UTAH21002,False,False,[],[]
AUSTIN SSD,SEVIER,NOT REPORTED,150,Ground water,Active,UTAH21003,False,False,[],[]
AXTELL COMMUNITY SERVICE DISTRIBUTION,SANPETE,NOT REPORTED,300,Ground water,Active,UTAH20051,False,False,[],[]
BALLARD WATER IMPROVEMENT DISTRICT,UINTAH,NOT REPORTED,1005,Ground water purchased,Active,UTAH24001,False,False,[],[]
"BCI-LP HOLDINGS, L.C.",TOOELE,NOT REPORTED,200,Ground water purchased,Active,UTAH23044,False,False,[],[]
BEAR RIVER WCD- COLLINSTON WATER SYSTEM,BOX ELDER,NOT REPORTED,102,Ground water purchased,Active,UTAH02079,False,False,[],[]
