WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
141ST AVE KPN WATER COMPANY,PIERCE,NOT REPORTED,48,Ground water,Active,WA5324781,False,False,[],[]
60TH STREET WATER WORKS,SNOHOMISH,NOT REPORTED,35,Surface water purchased,Active,WA5337925,False,False,[],[]
85 ACRES,KING,NOT REPORTED,36,Ground water,Active,WA5322590,False,False,[],[]
"ABERDEEN, CITY OF",GRAYS HARBOR,NOT REPORTED,18118,Surface water,Active,WA5300050,False,False,[],[]
ACME WATER DISTRICT NO 18,WHATCOM,NOT REPORTED,568,Ground water,Active,WA5300250,False,False,[],[]
ADAMS COUNTY WATER DIST #1,ADAMS,NOT REPORTED,740,Ground water purchased,Active,WA5322525,False,False,[],[]
ADAMS RD COMMUNITY ASSN,ISLAND,NOT REPORTED,39,Ground water,Active,WA5301977,False,False,[],[]
ADMIRAL WATER USERS ASSN,GRANT,NOT REPORTED,74,Ground water,Active,WA5334544,False,False,[],[]
ADMIRALS COVE WATER DISTRICT,ISLAND,NOT REPORTED,820,Ground water,Active,WA5300410,False,False,[],[]
AGATE BAY TRAILER PARK,WHATCOM,NOT REPORTED,40,Ground water,Active,WA5300496,False,False,[],[]
AGATE BEACH,MASON,NOT REPORTED,32,Ground water,Active,WA5300510,False,False,[],[]
AGATE WEST,KITSAP,NOT REPORTED,100,Ground water,Active,WA5300515,False,False,[],[]
AGOTARAS WATER SYSTEM,PIERCE,NOT REPORTED,138,Ground water,Active,WA5361390,False,False,[],[]
AHEARN WATER SYSTEM,ISLAND,NOT REPORTED,91,Ground water,Active,WA5325384,False,False,[],[]
AIRWAY HEIGHTS CITY OF,SPOKANE,NOT REPORTED,6992,Ground water,Active,WA5300650,False,False,[],[]
ALBION WATER DEPT,WHITMAN,NOT REPORTED,555,Ground water,Active,WA5300800,False,False,[],[]
ALDER LAKE,PIERCE,NOT REPORTED,45,Ground water,Active,WA5326995,False,False,[],[]
ALDERBROOK WATER CO,MASON,NOT REPORTED,1714,Ground water,Active,WA5301050,False,False,[],[]
ALDERCREST WATER USERS,SNOHOMISH,NOT REPORTED,47,Ground water purchased,Active,WA5301150,False,False,[],[]
ALDERDALE WATER ASSN,KLICKITAT,NOT REPORTED,162,Ground water,Active,WA5326214,False,False,[],[]
ALDERGROVE WATER ASSOC.,WHATCOM,NOT REPORTED,120,Ground water,Active,WA5301200,False,False,[],[]
ALDERWOOD EAST,CLALLAM,NOT REPORTED,38,Ground water,Active,WA5301265,False,False,[],[]
ALDERWOOD ESTATES,PIERCE,NOT REPORTED,635,Ground water,Active,WA5301270,False,False,[],[]
ALDERWOOD WATER DISTRICT,SNOHOMISH,NOT REPORTED,183448,Ground water purchased,Active,WA5301300,False,False,[],[]
ALECK BAY PARK WATER SYSTEM,SAN JUAN,NOT REPORTED,40,Ground water,Active,WA5301338,False,False,[],[]
ALGONA WATER DEPT,KING,NOT REPORTED,3000,Ground water purchased,Active,WA5301450,False,False,[],[]
ALLYN SHOPPING CENTER,MASON,NOT REPORTED,397,Ground water,Active,WA5301695,False,False,[],[]
ALMIRA WATER SYSTEM,LINCOLN,NOT REPORTED,422,Ground water,Active,WA5301700,False,False,[],[]
ALOHA PINES ESTATES WATER SYSTEM,SPOKANE,NOT REPORTED,125,Ground water,Active,WA5306319,False,False,[],[]
ALPINE ACRES COMMUNITY ASSOCIATION,CHELAN,NOT REPORTED,51,Ground water,Active,WA5301822,False,False,[],[]
ALPINE HILLS,THURSTON,NOT REPORTED,360,Ground water,Active,WA5301826,False,False,[],[]
ALPINE MOBILE ESTATES,THURSTON,NOT REPORTED,71,Ground water,Active,WA5305831,False,False,[],[]
ALPINE MOBILE MANOR,KING,NOT REPORTED,60,Ground water,Active,WA5301830,False,False,[],[]
ALPINE WATER ASSOCIATION,KING,NOT REPORTED,52,Ground water purchased,Active,WA5307667,False,False,[],[]
ALPINE WATER DISTRICT,CHELAN,NOT REPORTED,2255,Ground water,Active,WA5325315,False,False,[],[]
ALPS MOBILE HOME PARK,YAKIMA,NOT REPORTED,150,Ground water,Active,WA5314572,False,False,[],[]
ALTA LAKE GOLF COURSE PLAT,OKANOGAN,NOT REPORTED,131,Ground water,Active,WA5319204,False,False,[],[]
AMBOY CLARK PUBLIC UTILITIES,CLARK,NOT REPORTED,991,Ground water,Active,WA5304625,False,False,[],[]
AMES LAKE WATER ASSOC INC,KING,NOT REPORTED,3206,Ground water,Active,WA5302055,False,False,[],[]
ANACORTES CITY OF,SKAGIT,NOT REPORTED,21105,Surface water,Active,WA5302200,False,False,[],[]
ANDERSEN WATER,THURSTON,NOT REPORTED,95,Ground water,Active,WA5304308,False,False,[],[]
ANDERSON CREEK WATER ASSOCIATION,WHATCOM,NOT REPORTED,45,Ground water,Active,WA5302300,False,False,[],[]
ANDREWS FIRST,THURSTON,NOT REPORTED,300,Ground water,Active,WA5317241,False,False,[],[]
APPLE ACRES VILLAGE,CHELAN,NOT REPORTED,212,Ground water,Active,WA5302735,False,False,[],[]
APPLEWAY TRAILER COURT,OKANOGAN,NOT REPORTED,54,Ground water,Active,WA5300603,False,False,[],[]
AQUA COPIA/HORSE COUNTRY ESTATES,SNOHOMISH,NOT REPORTED,250,Ground water,Active,WA5334400,False,False,[],[]
ARCADIA ESTATES,MASON,NOT REPORTED,108,Ground water,Active,WA5302857,False,False,[],[]
