WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A & J MOBILE HOME PARK,FREMONT,['RIVERTON'],100,Ground water,Active,WY5600179,True,True,"[[{'type': 'LineString', 'coordinates': [[-121.532199, 38.515764], [-121.532183, 38.515673], [-121.532149, 38.515529], [-121.5315295, 38.513838]]}]]","[['38.513838', '38.515764', '-121.532199', '-121.5315295']]"
"AFTON, BOARD OF PUB UTILITIES",LINCOLN,['AFTON'],1818,Ground water,Active,WY5600002,True,True,"[[{'type': 'LineString', 'coordinates': [[-104.7840252, 38.8592473], [-104.7840253, 38.8593327], [-104.7840255, 38.8600595], [-104.7840256, 38.8602969], [-104.7840157, 38.8604724], [-104.7839854, 38.8606947], [-104.7839505, 38.8609326], [-104.7838733, 38.8612442], [-104.7837783, 38.861521], [-104.7837145, 38.8616609], [-104.7836811, 38.8617425], [-104.783295, 38.8624807], [-104.7832098, 38.8626477], [-104.7831307, 38.8627897], [-104.7830755, 38.8628886], [-104.7830313, 38.8629767], [-104.7828632, 38.8633116], [-104.7827853, 38.8635172], [-104.7827163, 38.8637242], [-104.7826918, 38.8639012], [-104.7826883, 38.8641369], [-104.782691, 38.8652586], [-104.7826785, 38.8654117], [-104.7826479, 38.8655345], [-104.7825972, 38.8656648], [-104.7825146, 38.8657871], [-104.7823476, 38.8660979], [-104.7823152, 38.8662405], [-104.7823051, 38.8664925]]}]]","[['38.8592473', '38.8664925', '-104.7840256', '-104.7823051']]"
AIR BASE ACRES IMPROVEMENT & SERVICE DIS,NATRONA,['MILLS'],215,Surface water purchased,Active,WY5600080,True,True,"[[{'type': 'LineString', 'coordinates': [[-84.0464025, 35.9426902], [-84.0466041, 35.9427141], [-84.0467368, 35.9427523], [-84.0470269, 35.9427874], [-84.0472866, 35.9427284]]}]]","[['35.9426902', '35.9427874', '-84.0472866', '-84.0464025']]"
"ALBIN, TOWN OF",LARAMIE,['ALBIN'],181,Ground water,Active,WY5600189,True,True,"[[{'type': 'LineString', 'coordinates': [[-122.6105471, 38.2457515], [-122.6100665, 38.2463043], [-122.6095343, 38.2468705], [-122.6088563, 38.2476322]]}]]","[['38.2457515', '38.2476322', '-122.6105471', '-122.6088563']]"
ALCOVA DAM TRAILER PARK,NATRONA,NOT REPORTED,7,Ground water,Active,WY5601592,False,False,[],[]
"ALPINE, TOWN OF",LINCOLN,['ALPINE'],1100,Ground water,Active,WY5600156,True,True,"[[{'type': 'Point', 'coordinates': [148.5344444, -36.4316667]}]]","[['-36.4516667', '-36.4116667', '148.5144444', '148.5544444']]"
ALTA COMMUNITY PIPELINE,TETON,['ALTA'],40,Ground water,Active,WY5600275,True,True,"[[{'type': 'LineString', 'coordinates': [[-117.2708418, 32.8177928], [-117.271021, 32.8180262], [-117.271473, 32.8186416], [-117.2717527, 32.8191699], [-117.2720002, 32.8195795], [-117.2720398, 32.8196829], [-117.2721968, 32.8199471], [-117.2722786, 32.8200369], [-117.2724257, 32.8202791]]}]]","[['32.8177928', '32.8202791', '-117.2724257', '-117.2708418']]"
AMERICAN ROAD W&S DISTRICT,CAMPBELL,['GILLETTE'],220,Ground water,Active,WY5600968,True,True,"[[{'type': 'LineString', 'coordinates': [[-0.9712522, 51.4332845], [-0.9713496, 51.433444], [-0.9714904, 51.4336776], [-0.9717208, 51.4341872], [-0.9717539, 51.4345152], [-0.9717589, 51.4345648], [-0.9716816, 51.4350094], [-0.9716623, 51.4351367], [-0.971616, 51.4352076], [-0.9715185, 51.4353279]]}]]","[['51.4332845', '51.4353279', '-0.9717589', '-0.9712522']]"
ANTELOPE MOBILE HOME PARK,CAMPBELL,['GILLETTE'],351,Ground water,Active,WY5600131,True,True,"[[{'type': 'LineString', 'coordinates': [[-0.9712522, 51.4332845], [-0.9713496, 51.433444], [-0.9714904, 51.4336776], [-0.9717208, 51.4341872], [-0.9717539, 51.4345152], [-0.9717589, 51.4345648], [-0.9716816, 51.4350094], [-0.9716623, 51.4351367], [-0.971616, 51.4352076], [-0.9715185, 51.4353279]]}]]","[['51.4332845', '51.4353279', '-0.9717589', '-0.9712522']]"
ANTELOPE RIDGE HOA,ALBANY,['LARAMIE'],70,Ground water,Active,WY5601457,True,True,"[[{'type': 'LineString', 'coordinates': [[-117.075073, 32.806286], [-117.07476, 32.806133], [-117.074547, 32.806065], [-117.074272, 32.806015], [-117.07399, 32.806007], [-117.070831, 32.805984], [-117.070427, 32.80603], [-117.069687, 32.806225], [-117.068878, 32.806442], [-117.068466, 32.806602], [-117.068169, 32.806767], [-117.0672, 32.807373], [-117.0670971, 32.8074436], [-117.066544, 32.807823]]}]]","[['32.805984', '32.807823', '-117.075073', '-117.066544']]"
