WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
101 GROCERY,BAXTER,NOT REPORTED,25,Ground water,Active,AR0001089,False,False,[],[]
1195 PRIMO WMSC0373 HUNTSVILLE,MADISON,NOT REPORTED,30,Surface water purchased,Active,AR0001195,False,False,[],[]
1196 PRIMO WMNM7317 GREENBRIAR,FAULKNER,NOT REPORTED,30,Surface water purchased,Active,AR0001196,False,False,[],[]
201 XPRESS,BAXTER,NOT REPORTED,30,Ground water,Active,ART001066,False,False,[],[]
ALEXA SPRINGS WATER COMPANY,MONTGOMERY,NOT REPORTED,25,Surface water,Active,ARN000235,False,False,[],[]
ANCHORS LANDING AT WOOD POINT RV PARK,BAXTER,NOT REPORTED,72,Ground water,Active,AR0001177,False,False,[],[]
ANGLERS RESTURANT,CARROLL,NOT REPORTED,50,Ground water,Active,ART000171,False,False,[],[]
ARK POST NATIONAL MEMORIAL,ARKANSAS,NOT REPORTED,100,Ground water,Active,ART000031,False,False,[],[]
ARK S/P BEECH POINT CAMPGROUND,LEE,NOT REPORTED,25,Ground water purchased,Active,AR0001107,False,False,[],[]
ASHLEY MINERAL SPRING,ASHLEY,NOT REPORTED,25,Surface water,Active,ARN000074,False,False,[],[]
BAYOU RESORT,BAXTER,NOT REPORTED,25,Ground water,Active,ART000068,False,False,[],[]
BEAR CREEK COUNTRY STORE,PULASKI,NOT REPORTED,50,Ground water,Active,ART001086,False,False,[],[]
BEAVER RV PARK,CARROLL,NOT REPORTED,100,Ground water,Active,ART000751,False,False,[],[]
BENNY'S COUNTRY STORE,BAXTER,NOT REPORTED,30,Ground water,Active,ART001070,False,False,[],[]
BIGGERS BED AND BREADFAST,SHARP,NOT REPORTED,25,Ground water,Active,AR0001080,False,False,[],[]
BILL JUNIOR'S POLAR ICE BEEBE,WHITE,NOT REPORTED,30,Surface water purchased,Active,AR0001213,False,False,[],[]
BLACK BEAR SPRINGS,POLK,NOT REPORTED,25,Surface water,Active,ARN000080,False,False,[],[]
BLUE BELL CAFE,MONTGOMERY,NOT REPORTED,25,Surface water purchased,Active,AR0001155,False,False,[],[]
BLUE HERON CAMPGROUND,MARION,NOT REPORTED,25,Ground water,Active,AR0001001,False,False,[],[]
BLUE LADY RESORT,BAXTER,NOT REPORTED,45,Ground water,Active,ART000079,False,False,[],[]
BLUE WATER S RESORT,MARION,NOT REPORTED,52,Ground water,Active,ART000350,False,False,[],[]
BNR U2-01 BUFFALO POINT CAMPGROUND,MARION,NOT REPORTED,25,Ground water,Active,ART000098,False,False,[],[]
BNR U2-02 DILLARDS FERRY,MARION,NOT REPORTED,250,Ground water,Active,ART001082,False,False,[],[]
BNR U2-48 RUSH CAMPROUND,MARION,NOT REPORTED,25,Ground water,Active,ART001022,False,False,[],[]
BOGG SPRINGS BAPTIST CAMP,POLK,NOT REPORTED,800,Ground water,Active,ART000083,False,False,[],[]
BOLL WEEVIL,MILLER,NOT REPORTED,300,Ground water,Active,ART000885,False,False,[],[]
BOY SCOUT CAMP ORR,NEWTON,NOT REPORTED,300,Ground water,Active,ART000087,False,False,[],[]
BRADY MOUNTAIN RESORT & MARINA,GARLAND,NOT REPORTED,1000,Ground water,Active,ART001083,False,False,[],[]
BRENTWOOD REST AREA WVM,WASHINGTON,NOT REPORTED,30,Ground water purchased,Active,AR0000988,False,False,[],[]
BROOKHILL RANCH,GARLAND,NOT REPORTED,250,Ground water,Active,ART000091,False,False,[],[]
BUFFALO NATRV U4-08 OZARK CG,BOONE,NOT REPORTED,25,Ground water,Active,ART000965,False,False,[],[]
BUFFALO NATRV U4-24 KYLES CG,BOONE,NOT REPORTED,25,Ground water,Active,ART000961,False,False,[],[]
BUFFALO NRVU4-02LOST VALLEYCG,BOONE,NOT REPORTED,25,Ground water,Active,ART000963,False,False,[],[]
BUFFALO NRVU4-06 UPPER PRUITT,BOONE,NOT REPORTED,25,Ground water,Active,ART000096,False,False,[],[]
BUFFALO OUTDOOR CENTER,NEWTON,NOT REPORTED,25,Ground water,Active,ART001047,False,False,[],[]
BUFFALO RV TYLER BEND CGU3-13,SEARCY,NOT REPORTED,25,Ground water,Active,ART000906,False,False,[],[]
BUFFALO RV TYLER BEND MTU3-12,SEARCY,NOT REPORTED,30,Ground water,Active,ART000097,False,False,[],[]
"BYRD'S ADVENTURE CENTER, INC.",FRANKLIN,NOT REPORTED,25,Ground water,Active,ART000102,False,False,[],[]
CAMP CANFIELD,LAFAYETTE,NOT REPORTED,100,Ground water,Active,ART000114,False,False,[],[]
CAMP HARVEST,MADISON,NOT REPORTED,25,Surface water purchased,Active,AR0001242,False,False,[],[]
CAMP KARLTON KEMP,MILLER,NOT REPORTED,25,Ground water,Active,ART001045,False,False,[],[]
CAMP KIA KIMA,FULTON,NOT REPORTED,500,Ground water,Active,ART000120,False,False,[],[]
CAMP WAR EAGLE,BENTON,NOT REPORTED,700,Ground water,Active,AR0000973,False,False,[],[]
CEDAR GLADES PARK,GARLAND,NOT REPORTED,25,Ground water,Active,AR0000986,False,False,[],[]
CEDAR RIDGE COUNTRY CUPBOARD,CARROLL,NOT REPORTED,25,Ground water,Active,AR0000931,False,False,[],[]
CEDAR VALLEY INC,FULTON,NOT REPORTED,250,Ground water,Active,ART000431,False,False,[],[]
CG ROXANE,MONTGOMERY,NOT REPORTED,25,Ground water,Active,AR0001013,False,False,[],[]
CITGO FOOD MART,PULASKI,NOT REPORTED,250,Ground water,Active,ART001080,False,False,[],[]
CLOUD 9 RV PARK,GARLAND,NOT REPORTED,50,Ground water,Active,ART001103,False,False,[],[]
CORNER CAFE & DIARY BAR,PULASKI,NOT REPORTED,25,Ground water,Active,ART000269,False,False,[],[]
COUNTRY MOUNTAIN INN,CARROLL,NOT REPORTED,100,Ground water,Active,ART000163,False,False,[],[]
CRABAPPLE POINT WATER SYSTEM,UNION,NOT REPORTED,30,Ground water,Active,AR0000748,False,False,[],[]
CULLIGAN OF NORTHWEST ARKANSAS,BENTON,NOT REPORTED,25,Surface water purchased,Active,ARN000136,False,False,[],[]
CULLIGAN WATER CONDITIONING,BAXTER,NOT REPORTED,30,Surface water purchased,Active,ARN000186,False,False,[],[]
DELTA RESORT AND SPA,DESHA,NOT REPORTED,280,Ground water,Active,AR0001222,False,False,[],[]
ECHO CANYON RESORT & MARINA,GARLAND,NOT REPORTED,30,Ground water,Active,ART001076,False,False,[],[]
