WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1000 TRAILS / SOLEDAD CANYON PRESERVE,LOS ANGELES,NOT REPORTED,800,Ground water,Active,CA1900045,False,False,[],[]
11:11,NAPA,NOT REPORTED,25,Ground water,Active,CA2800014,False,False,[],[]
3 BROTHERS TRAVEL PLAZA,LAKE,NOT REPORTED,25,Ground water,Active,CA1700725,False,False,[],[]
30 MILESTONE TRACT #1,EL DORADO,NOT REPORTED,30,Surface water,Active,CA0901281,False,False,[],[]
33RD DISTRICT AGRICULTURAL ASSOCIATION,SAN BENITO,NOT REPORTED,9000,Ground water,Active,CA3500557,False,False,[],[]
4 STOP DELI-MARKET,MERCED,NOT REPORTED,26,Ground water,Active,CA2400300,False,False,[],[]
7 LAKES RESORT,YUBA,NOT REPORTED,60,Ground water,Active,CA5800826,False,False,[],[]
7042 FOLSOM LLC WATER SYSTEM,SACRAMENTO,NOT REPORTED,50,Ground water,Active,CA3400204,False,False,[],[]
9-IRON WATER SYSTEM,MERCED,NOT REPORTED,90,Ground water,Active,CA2400222,False,False,[],[]
99 PALMS INN AND SUITES,TULARE,NOT REPORTED,60,Ground water,Active,CA5400679,False,False,[],[]
A & A LAKE TAHOE INN,EL DORADO,NOT REPORTED,25,Ground water,Active,CA0900586,False,False,[],[]
A W WAY - HUMBOLDT CO. PARKS,HUMBOLDT,NOT REPORTED,300,Ground water,Active,CA1200776,False,False,[],[]
ACKERMAN CAMPGROUND,TRINITY,NOT REPORTED,100,Ground water,Active,CA5301013,False,False,[],[]
ACTON FOUR SQUARE CHURCH,LOS ANGELES,NOT REPORTED,50,Ground water,Active,CA1900894,False,False,[],[]
ACTON LA NORTH KOA,LOS ANGELES,NOT REPORTED,400,Ground water,Active,CA1900092,False,False,[],[]
ACTON-AGUA DULCE LDS CHURCH,LOS ANGELES,NOT REPORTED,150,Ground water,Active,CA1907004,False,False,[],[]
AFTON STORE,GLENN,NOT REPORTED,32,Ground water,Active,CA1100709,False,False,[],[]
AGUA CALIENTE COUNTY PARK,SAN DIEGO,NOT REPORTED,400,Ground water,Active,CA3700846,False,False,[],[]
AGUA DULCE WATER SYSTEM,LOS ANGELES,NOT REPORTED,90,Ground water,Active,CA1900768,False,False,[],[]
AGUA DULCE WINERY,LOS ANGELES,NOT REPORTED,113,Ground water,Active,CA1909646,False,False,[],[]
