WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
11 MILE SRA COYOTE RIDGE,PARK,NOT REPORTED,25,Ground water,Active,CO0247124,False,False,[],[]
11 MILE SRA HOWBERT POINT,PARK,NOT REPORTED,25,Ground water,Active,CO0247123,False,False,[],[]
11 MILE SRA LAZY BOY,PARK,NOT REPORTED,25,Ground water,Active,CO0247121,False,False,[],[]
11 MILE SRA N SHORE PRESSURE,PARK,NOT REPORTED,155,Ground water,Active,CO0247106,False,False,[],[]
11 MILE SRA ROCKY RIDGE LOOP E,PARK,NOT REPORTED,50,Ground water,Active,CO0247111,False,False,[],[]
11 MILE SRA RODGERS MTN,PARK,NOT REPORTED,25,Ground water,Active,CO0247120,False,False,[],[]
11 MILE SRA STOLL MTN,PARK,NOT REPORTED,25,Ground water,Active,CO0247117,False,False,[],[]
1859 RESTAURANT AT SEVEN FALLS,EL PASO,NOT REPORTED,170,Groundwater under influence of surface water,Active,CO0221820,False,False,[],[]
4 EAGLE RANCH,EAGLE,NOT REPORTED,470,Surface water,Active,CO0219100,False,False,[],[]
A PAINTED VIEW RANCH,CUSTER,NOT REPORTED,31,Ground water,Active,CO0214101,False,False,[],[]
ABBEY OF ST WALBURGA,LARIMER,NOT REPORTED,62,Ground water,Active,CO0135102,False,False,[],[]
ADVENTURE UNLIMITED RANCHES,CHAFFEE,NOT REPORTED,321,Ground water,Active,CO0208040,False,False,[],[]
AGAPE OUTPOST BAPTIST CHAPEL,SUMMIT,NOT REPORTED,34,Ground water,Active,CO0259108,False,False,[],[]
ALEXANDER LAKE LODGE,DELTA,NOT REPORTED,58,Ground water,Active,CO0215115,False,False,[],[]
ALMONT CG,GUNNISON,NOT REPORTED,25,Ground water,Active,CO0326114,False,False,[],[]
ALMONT RESORT,GUNNISON,NOT REPORTED,116,Ground water,Active,CO0226113,False,False,[],[]
ALPINE ACCENTS,MINERAL,NOT REPORTED,37,Ground water,Active,CO0253103,False,False,[],[]
ALPINE BROOK WS,BOULDER,NOT REPORTED,100,Surface water,Active,CO0207115,False,False,[],[]
ALPINE LODGE DINNER REST AND CBN,CUSTER,NOT REPORTED,82,Ground water,Active,CO0214100,False,False,[],[]
ALPINE TRAILS RV PARK,RIO GRANDE,NOT REPORTED,84,Ground water,Active,CO0253320,False,False,[],[]
ALTA CONVENIENCE #6104,DOUGLAS,NOT REPORTED,906,Ground water,Active,CO0218839,False,False,[],[]
ALVARADO CG 4122,CUSTER,NOT REPORTED,53,Groundwater under influence of surface water,Active,CO0314042,False,False,[],[]
AMBERWOOD ESTATE LLP,LARIMER,NOT REPORTED,92,Ground water,Active,CO0235119,False,False,[],[]
AMERICAN ADVENTURE EXPEDITIONS,CHAFFEE,NOT REPORTED,80,Ground water,Active,CO0208116,False,False,[],[]
AMERICAN CLASSIC INN,CHAFFEE,NOT REPORTED,42,Ground water,Active,CO0208760,False,False,[],[]
AMERICAN SAFARI RANCH,PARK,NOT REPORTED,35,Ground water,Active,CO0247700,False,False,[],[]
AMIS ACRES,GARFIELD,NOT REPORTED,125,Ground water,Active,CO0223116,False,False,[],[]
AMPHITHEATER CG,OURAY,NOT REPORTED,92,Ground water,Active,CO0346116,False,False,[],[]
ANDERSON CAMPS LTD,EAGLE,NOT REPORTED,176,Ground water,Active,CO0219117,False,False,[],[]
ANGEL OF SHAVANO CG NO 1,CHAFFEE,NOT REPORTED,50,Ground water,Active,CO0308020,False,False,[],[]
ANGLER INN,SAN MIGUEL,NOT REPORTED,162,Ground water,Active,CO0257100,False,False,[],[]
ANSEL WATROUS CG LOWER,LARIMER,NOT REPORTED,56,Ground water,Active,CO0335148,False,False,[],[]
ANSEL WATROUS CG UPPER,LARIMER,NOT REPORTED,72,Ground water,Active,CO0335146,False,False,[],[]
ANTLERS RIO GRANDE LODGE,MINERAL,NOT REPORTED,193,Ground water,Active,CO0240050,False,False,[],[]
