WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1 DODGINGTOWN ROAD,FAIRFIELD,['NEWTOWN'],38,Ground water,Active,CT0970184,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-6.6060022, 53.3740014], [-6.6046285, 53.373261], [-6.6045451, 53.3732067], [-6.603769, 53.3727212], [-6.6030683, 53.3722773], [-6.6017202, 53.371437], [-6.6013133, 53.3718144], [-6.6010768, 53.3720921], [-6.6020643, 53.3727554], [-6.6027845, 53.3733089], [-6.6039894, 53.3741891], [-6.6043179, 53.3744256], [-6.6046625, 53.3746633], [-6.605749, 53.3745222], [-6.6056428, 53.3740823], [-6.6060022, 53.3740014]]]}]]","[['53.371437', '53.3746633', '-6.6060022', '-6.6010768']]"
1 FERRY ROAD,NEW LONDON,['LYME'],35,Ground water,Active,CT0750104,True,True,"[[{'type': 'LineString', 'coordinates': [[144.8671288, -38.3752222], [144.867106, -38.3751455], [144.8669705, -38.3749436]]}]]","[['-38.3752222', '-38.3749436', '144.8669705', '144.8671288']]"
10 PUTNAM ROAD,WINDHAM,['PLAINFIELD'],36,Ground water,Active,CT1099234,True,True,"[[{'type': 'LineString', 'coordinates': [[-82.79586, 39.920987], [-82.795871, 39.920737], [-82.795902, 39.920493], [-82.795947, 39.92025]]}]]","[['39.92025', '39.920987', '-82.795947', '-82.79586']]"
10 ROUTE 32 - FRANKLIN,NEW LONDON,['FRANKLIN'],25,Ground water,Active,CT0530294,True,True,"[[{'type': 'Point', 'coordinates': [-79.9239276, 37.3162472]}]]","[['37.2962472', '37.3362472', '-79.9439276', '-79.9039276']]"
1019 NORWICH ROAD,WINDHAM,['PLAINFIELD'],25,Ground water,Active,CT1090154,True,True,"[[{'type': 'LineString', 'coordinates': [[-82.79586, 39.920987], [-82.795871, 39.920737], [-82.795902, 39.920493], [-82.795947, 39.92025]]}]]","[['39.92025', '39.920987', '-82.795947', '-82.79586']]"
1030 LITCHFIELD ROAD - WATERTOWN,LITCHFIELD,['WATERTOWN'],25,Ground water,Active,CT1530094,True,True,"[[{'type': 'LineString', 'coordinates': [[-75.9833254, 36.8067817], [-75.9832824, 36.8069019], [-75.9832476, 36.8070265], [-75.9832261, 36.8070909], [-75.9831135, 36.8071274], [-75.9827916, 36.8072391], [-75.9826387, 36.807529], [-75.982518, 36.807791], [-75.9825419, 36.8078511], [-75.9826607, 36.8081741], [-75.982737, 36.8081645], [-75.9831027, 36.808126], [-75.9831242, 36.8079349], [-75.9830132, 36.8079189], [-75.9825419, 36.8078511]]}]]","[['36.8067817', '36.8081741', '-75.9833254', '-75.982518']]"
1041 NEW HAVEN ROAD - DURHAM,MIDDLESEX,['DURHAM'],25,Ground water,Active,CT0389134,True,True,"[[{'type': 'LineString', 'coordinates': [[-86.21696, 41.612839], [-86.2171915, 41.6128417], [-86.2173328, 41.6128554], [-86.217428, 41.6128762], [-86.2175137, 41.6129067], [-86.218276, 41.613238]]}]]","[['41.612839', '41.613238', '-86.218276', '-86.21696']]"
106 BRIDGE ROAD - HADDAM,MIDDLESEX,['HADDAM'],25,Ground water,Active,CT0610454,True,True,"[[{'type': 'Point', 'coordinates': [-72.5120333, 41.4773213]}]]","[['41.4373213', '41.5173213', '-72.5520333', '-72.4720333']]"
107 ROUTE 32,NEW LONDON,['FRANKLIN'],25,Ground water,Active,CT0530264,True,True,"[[{'type': 'Point', 'coordinates': [-79.9239276, 37.3162472]}]]","[['37.2962472', '37.3362472', '-79.9439276', '-79.9039276']]"
1075 NORTH MAIN STREET - KILLINGLY,WINDHAM,['KILLINGLY'],30,Ground water,Active,CT0691223,True,True,"[[{'type': 'Point', 'coordinates': [-71.8019505, 41.856886]}]]","[['41.856836', '41.856936', '-71.8020005', '-71.8019005']]"
108 MAIN STREET,MIDDLESEX,['MIDDLEFIELD'],29,Ground water,Active,CT0820044,True,True,"[[{'type': 'LineString', 'coordinates': [[-83.0514576, 40.076429], [-83.052844, 40.076462]]}]]","[['40.076429', '40.076462', '-83.052844', '-83.0514576']]"
109 BLACK ROCK TNPK,FAIRFIELD,['REDDING'],48,Ground water,Active,CT1170244,True,True,"[[{'type': 'LineString', 'coordinates': [[-71.799619, 42.280467], [-71.798608, 42.280433]]}]]","[['42.280433', '42.280467', '-71.799619', '-71.798608']]"
"1103 QUEEN STREET, LLC",HARTFORD,['SOUTHINGTON'],25,Ground water,Active,CT1311054,True,True,"[[{'type': 'LineString', 'coordinates': [[-82.025821, 41.429741], [-82.025686, 41.429568], [-82.025622, 41.429493], [-82.02555, 41.429424], [-82.02547, 41.429359], [-82.025382, 41.429299], [-82.025289, 41.429246], [-82.025189, 41.429199], [-82.025083, 41.429159], [-82.024974, 41.429126], [-82.024862, 41.4291], [-82.024746, 41.429081], [-82.02463, 41.429071], [-82.024534, 41.429067], [-82.0243821, 41.4290863], [-82.024238, 41.429148]]}]]","[['41.429067', '41.429741', '-82.025821', '-82.024238']]"
1126 PLAINFIELD PIKE,WINDHAM,['STERLING'],25,Ground water,Active,CT1361033,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-0.1851159, 5.576836], [-0.1845982, 5.576553], [-0.1844078, 5.5769214], [-0.1844534, 5.5769882], [-0.1849013, 5.5772471], [-0.1851159, 5.576836]]]}]]","[['5.576553', '5.5772471', '-0.1851159', '-0.1844078']]"
1135 BOSTON TURNPIKE - BOLTON,TOLLAND,['BOLTON'],25,Ground water,Active,CT0120344,True,True,"[[{'type': 'LineString', 'coordinates': [[-80.775721, 35.35895], [-80.775834, 35.358908], [-80.775904, 35.358863], [-80.776371, 35.35839], [-80.776417, 35.358301], [-80.776434, 35.358203], [-80.776443, 35.357716]]}]]","[['35.357716', '35.35895', '-80.776443', '-80.775721']]"
