WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
341 PLAZA SHOPPING CENTER X,GLYNN,['BRUNSWICK'],302,Ground water,Active,GA1270090,True,True,"[[{'type': 'LineString', 'coordinates': [[-2.1420059, 52.4353668], [-2.1421554, 52.4354226], [-2.1421787, 52.4354943], [-2.1422086, 52.4356128], [-2.1422089, 52.4356711], [-2.1421546, 52.4357613], [-2.1421507, 52.4357949], [-2.1421754, 52.4358304], [-2.142319, 52.4359631], [-2.1424075, 52.4359971], [-2.1426044, 52.436078], [-2.1427046, 52.4360929], [-2.1430005, 52.4361122], [-2.1434162, 52.4361117], [-2.1437053, 52.4361382]]}]]","[['52.4353668', '52.4361382', '-2.1437053', '-2.1420059']]"
"50-50 FOODS, INC.",TWIGGS,['DRY BRANCH'],175,Ground water,Active,GA2890026,True,True,"[[{'type': 'LineString', 'coordinates': [[-85.232409, 34.879601], [-85.232368, 34.879623], [-85.232395, 34.879705], [-85.232414, 34.879748], [-85.232435, 34.879789], [-85.232454, 34.879831], [-85.232472, 34.879874], [-85.232489, 34.879917], [-85.232504, 34.87996], [-85.232517, 34.880004], [-85.232528, 34.880048], [-85.232538, 34.880092], [-85.232546, 34.880137], [-85.232551, 34.880182], [-85.232555, 34.880227], [-85.232557, 34.880272], [-85.232556, 34.880317], [-85.232554, 34.880362], [-85.232549, 34.880407], [-85.232543, 34.880452], [-85.232534, 34.880496], [-85.232523, 34.88054], [-85.232446, 34.880689], [-85.232389, 34.880849], [-85.232341, 34.880924], [-85.232319, 34.880966], [-85.232301, 34.881008], [-85.232285, 34.881051], [-85.232273, 34.881095], [-85.23226, 34.881139], [-85.232248, 34.881183], [-85.232235, 34.881227], [-85.232222, 34.881271], [-85.232207, 34.881314], [-85.232189, 34.881357], [-85.232169, 34.881399], [-85.232148, 34.88144], [-85.232124, 34.881481], [-85.2321, 34.881521], [-85.232074, 34.881561], [-85.232047, 34.8816], [-85.232019, 34.881639], [-85.231989, 34.881677], [-85.231961, 34.881715], [-85.231932, 34.881754], [-85.231904, 34.881792], [-85.231876, 34.881831], [-85.231848, 34.88187], [-85.231819, 34.881908], [-85.231789, 34.881945], [-85.231758, 34.881982], [-85.231725, 34.882019], [-85.231692, 34.882054], [-85.231658, 34.88209], [-85.231623, 34.882124], [-85.231586, 34.882158], [-85.231491, 34.882234], [-85.231313, 34.882332], [-85.231095, 34.88245], [-85.230911, 34.882564], [-85.230678, 34.882738], [-85.2305, 34.882886], [-85.230343, 34.883017], [-85.23024, 34.883104], [-85.230123, 34.883196], [-85.229931, 34.883371], [-85.229794, 34.883469], [-85.229574, 34.883704]]}]]","[['34.879601', '34.883704', '-85.232557', '-85.229574']]"
"515 PROPERTIES, LLC",GILMER,['BLAIRSVILLE'],67,Ground water,Active,GA1230087,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-83.9675446, 34.875881], [-83.967503, 34.8753548], [-83.9674154, 34.8748325], [-83.9672822, 34.8743166], [-83.9671041, 34.87381], [-83.9668821, 34.8733152], [-83.9666172, 34.8728348], [-83.9663109, 34.8723713], [-83.9659647, 34.871927], [-83.9655804, 34.8715043], [-83.9651601, 34.8711055], [-83.9647059, 34.8707324], [-83.9642202, 34.8703871], [-83.9637054, 34.8700714], [-83.9631643, 34.8697869], [-83.9625996, 34.8695351], [-83.9620143, 34.8693173], [-83.9614114, 34.8691346], [-83.9607941, 34.868988], [-83.9601655, 34.8688781], [-83.9595289, 34.8688057], [-83.9588876, 34.8687711], [-83.9582449, 34.8687743], [-83.9576042, 34.8688156], [-83.9569687, 34.8688945], [-83.9563418, 34.8690108], [-83.9557268, 34.8691637], [-83.9551267, 34.8693526], [-83.9545448, 34.8695764], [-83.953984, 34.869834], [-83.9534472, 34.870124], [-83.9529373, 34.8704449], [-83.9524569, 34.8707951], [-83.9520084, 34.8711728], [-83.9515941, 34.871576], [-83.9512163, 34.8720025], [-83.950877, 34.8724503], [-83.9505777, 34.8729169], [-83.9503202, 34.8734], [-83.9501056, 34.8738971], [-83.9499353, 34.8744055], [-83.949147, 34.874354], [-83.94923, 34.873904], [-83.948909, 34.873776], [-83.948749, 34.873728], [-83.948502, 34.873539], [-83.948136, 34.873184], [-83.948021, 34.872971], [-83.948027, 34.872893], [-83.948074, 34.872318], [-83.948156, 34.871993], [-83.9477103, 34.8719494], [-83.94668, 34.871803], [-83.946171, 34.871766], [-83.946023, 34.871702], [-83.944551, 34.871022], [-83.944464, 34.870988], [-83.943199, 34.870574], [-83.943702, 34.871849], [-83.944392, 34.873629], [-83.944201, 34.874137], [-83.943381, 34.874373], [-83.942151, 34.874171], [-83.940667, 34.873939], [-83.940068, 34.873896], [-83.939963, 34.874022], [-83.9398994, 34.8742048], [-83.939905, 34.874488], [-83.94029, 34.880297], [-83.9474394, 34.8799293], [-83.9492553, 34.8798359], [-83.9509068, 34.8797667], [-83.9511445, 34.8800907], [-83.9515146, 34.8805217], [-83.9519216, 34.8809297], [-83.9523634, 34.8813127], [-83.9528376, 34.8816685], [-83.9533417, 34.8819955], [-83.9538733, 34.8822919], [-83.9544294, 34.8825561], [-83.9550073, 34.8827868], [-83.955604, 34.8829828], [-83.9562162, 34.8831431], [-83.956841, 34.8832668], [-83.957475, 34.8833533], [-83.9581149, 34.8834022], [-83.9587574, 34.8834132], [-83.9593993, 34.8833862], [-83.9600371, 34.8833214], [-83.9606676, 34.8832191], [-83.9612875, 34.8830799], [-83.9618935, 34.8829044], [-83.9624826, 34.8826937], [-83.9630517, 34.8824487], [-83.9635978, 34.8821707], [-83.9641182, 34.8818613], [-83.96461, 34.8815219], [-83.9650708, 34.8811544], [-83.9654982, 34.8807606], [-83.9658899, 34.8803426], [-83.9662439, 34.8799026], [-83.9665585, 34.8794428], [-83.9668319, 34.8789657], [-83.9670627, 34.8784736], [-83.9672498, 34.8779692], [-83.9673921, 34.877455], [-83.967489, 34.8769338], [-83.9675399, 34.8764082], [-83.9675446, 34.875881]]]}]]","[['34.8687711', '34.8834132', '-83.9675446', '-83.9398994']]"
A BIG WHEEL RV PARK,CAMDEN,NOT REPORTED,93,Ground water,Active,GA0390054,False,False,[],[]
ALLEN & AVNER RV PARK,BURKE,NOT REPORTED,360,Ground water,Active,GA0330051,False,False,[],[]
ALPINE VALLEY COMPLEX,WHITE,['HELEN'],50,Ground water,Active,GA3110032,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-83.742801, 34.705928], [-83.742793, 34.704972], [-83.741749, 34.705093], [-83.741749, 34.704949], [-83.741749, 34.704761], [-83.741422, 34.705038], [-83.74129, 34.705147], [-83.741234, 34.705089], [-83.740052, 34.703862], [-83.739677, 34.702863], [-83.73976, 34.702447], [-83.739948, 34.701613], [-83.74, 34.700851], [-83.740012, 34.700581], [-83.740008, 34.700556], [-83.739942, 34.70008], [-83.739849, 34.699597], [-83.739686, 34.698994], [-83.739466, 34.698545], [-83.739396, 34.698379], [-83.739386, 34.698362], [-83.739247, 34.698135], [-83.73894, 34.697759], [-83.738574, 34.697295], [-83.738286, 34.696919], [-83.738078, 34.696675], [-83.737941, 34.696513], [-83.737708, 34.696257], [-83.737464, 34.696017], [-83.737029, 34.695715], [-83.736537, 34.695431], [-83.73601, 34.695122], [-83.735988, 34.695109], [-83.735485, 34.694903], [-83.734934, 34.694709], [-83.734402, 34.694543], [-83.733711, 34.694339], [-83.733161, 34.694183], [-83.732572, 34.6941], [-83.73219, 34.693968], [-83.73163, 34.693957], [-83.730892, 34.693929], [-83.730239, 34.69397], [-83.72913, 34.694123], [-83.72807, 34.694372], [-83.727219, 34.694748], [-83.726149, 34.695301], [-83.725609, 34.695711], [-83.7255, 34.695793], [-83.725188, 34.696206], [-83.725129, 34.696292], [-83.724615, 34.696042], [-83.724078, 34.696767], [-83.723685, 34.696646], [-83.723568, 34.696874], [-83.723472, 34.697059], [-83.723266, 34.697595], [-83.722985, 34.697423], [-83.721884, 34.697226], [-83.721462, 34.697053], [-83.721332, 34.697276], [-83.721047, 34.697663], [-83.721568, 34.698084], [-83.721237, 34.698469], [-83.720612, 34.698017], [-83.720205, 34.697521], [-83.720022, 34.69737], [-83.71972, 34.697184], [-83.719401, 34.696898], [-83.719152, 34.696675], [-83.719104, 34.69665], [-83.71889, 34.696624], [-83.718786, 34.696485], [-83.718996, 34.696362], [-83.719113, 34.69617], [-83.719442, 34.696163], [-83.720102, 34.695661], [-83.720412, 34.695269], [-83.721148, 34.694801], [-83.721265, 34.694968], [-83.72142, 34.694923], [-83.721747, 34.69401], [-83.722332, 34.69397], [-83.722504, 34.69396], [-83.722215, 34.693651], [-83.721879, 34.69329], [-83.721605, 34.692806], [-83.720902, 34.692983], [-83.720899, 34.693928], [-83.718226, 34.693931], [-83.715729, 34.693932], [-83.715707, 34.694962], [-83.71588, 34.695447], [-83.716228, 34.695805], [-83.716344, 34.696109], [-83.716204, 34.696559], [-83.716227, 34.697063], [-83.716283, 34.697094], [-83.716508, 34.697138], [-83.716736, 34.697084], [-83.7172, 34.696978], [-83.71729, 34.697122], [-83.716688, 34.697514], [-83.716239, 34.697583], [-83.716076, 34.697701], [-83.715516, 34.69785], [-83.715375, 34.698162], [-83.715447, 34.698292], [-83.714909, 34.698195], [-83.714466, 34.698087], [-83.714358, 34.697434], [-83.714657, 34.696527], [-83.714912, 34.696475], [-83.715113, 34.69586], [-83.715019, 34.695746], [-83.714648, 34.695312], [-83.713634, 34.693999], [-83.713616, 34.693971], [-83.711601, 34.693981], [-83.706272, 34.694031], [-83.70628, 34.695722], [-83.706319, 34.710147], [-83.706332, 34.713432], [-83.706377, 34.71922], [-83.706414, 34.719211], [-83.706707, 34.719168], [-83.707106, 34.719168], [-83.707817, 34.719289], [-83.707978, 34.719316], [-83.709249, 34.719695], [-83.709593, 34.719781], [-83.709754, 34.719822], [-83.71032, 34.720073], [-83.710451, 34.720216], [-83.710506, 34.720133], [-83.71117, 34.719322], [-83.710936, 34.718767], [-83.711171, 34.718291], [-83.71115, 34.718168], [-83.711335, 34.717943], [-83.711388, 34.7176], [-83.71148, 34.717494], [-83.711599, 34.717533], [-83.71189, 34.717441], [-83.712644, 34.717533], [-83.712552, 34.718026], [-83.712903, 34.718237], [-83.712923, 34.718881], [-83.713701, 34.719424], [-83.714401, 34.719661], [-83.714671, 34.720129], [-83.714887, 34.720128], [-83.715068, 34.720115], [-83.715105, 34.720112], [-83.715214, 34.720111], [-83.715431, 34.720123], [-83.715539, 34.720136], [-83.716808, 34.72035], [-83.717105, 34.720389], [-83.717787, 34.720511], [-83.717817, 34.720272], [-83.717917, 34.71949], [-83.718001, 34.718834], [-83.718806, 34.711783], [-83.718733, 34.705031], [-83.724632, 34.705134], [-83.725216, 34.705733], [-83.726123, 34.706449], [-83.726839, 34.706879], [-83.727711, 34.707324], [-83.729175, 34.707807], [-83.7297997, 34.7079772], [-83.730008, 34.708034], [-83.730963, 34.708165], [-83.7312977, 34.708188], [-83.731709, 34.708208], [-83.732616, 34.70817], [-83.733615, 34.707935], [-83.734643, 34.707685], [-83.735829, 34.707246], [-83.736944, 34.706595], [-83.737742, 34.706001], [-83.73836, 34.705424], [-83.738906, 34.705009], [-83.738963, 34.705077], [-83.739335, 34.7054], [-83.73957, 34.705627], [-83.739779, 34.705887], [-83.7399746, 34.7060967], [-83.74004, 34.706173], [-83.740186, 34.706324], [-83.740305, 34.706626], [-83.740376, 34.706953], [-83.740356, 34.707073], [-83.740326, 34.707251], [-83.740269, 34.707433], [-83.740245, 34.707508], [-83.740033, 34.707726], [-83.739664, 34.708014], [-83.73943, 34.708176], [-83.739266, 34.708336], [-83.739064, 34.708563], [-83.738937, 34.708746], [-83.738944, 34.708967], [-83.738965, 34.709176], [-83.738976, 34.709214], [-83.739014, 34.709338], [-83.739424, 34.70921], [-83.739507, 34.709296], [-83.739596, 34.709391], [-83.739732, 34.709619], [-83.740071, 34.709694], [-83.740392, 34.709777], [-83.7406513, 34.7093223], [-83.7405277, 34.7092543], [-83.7403475, 34.7091464], [-83.7402014, 34.7090842], [-83.7401404, 34.7090446], [-83.7400649, 34.7089946], [-83.7399854, 34.7089621], [-83.7398904, 34.7088852], [-83.740101, 34.708673], [-83.740168, 34.708596], [-83.740305, 34.708436], [-83.7403978, 34.708289], [-83.740149, 34.707778], [-83.740705, 34.70777], [-83.741736, 34.707739], [-83.742125, 34.707573], [-83.742766, 34.707493], [-83.742773, 34.707091], [-83.742778, 34.70688], [-83.742801, 34.705928]]]}]]","[['34.692806', '34.720511', '-83.742801', '-83.706272']]"
ALTAMAHA PARK,GLYNN,['BRUNSWICK'],32,Ground water,Active,GA1270078,True,True,"[[{'type': 'LineString', 'coordinates': [[-2.1420059, 52.4353668], [-2.1421554, 52.4354226], [-2.1421787, 52.4354943], [-2.1422086, 52.4356128], [-2.1422089, 52.4356711], [-2.1421546, 52.4357613], [-2.1421507, 52.4357949], [-2.1421754, 52.4358304], [-2.142319, 52.4359631], [-2.1424075, 52.4359971], [-2.1426044, 52.436078], [-2.1427046, 52.4360929], [-2.1430005, 52.4361122], [-2.1434162, 52.4361117], [-2.1437053, 52.4361382]]}]]","[['52.4353668', '52.4361382', '-2.1437053', '-2.1420059']]"
ARMOR BRIDGE MARINA,GREENE,['GREENSBORO'],50,Ground water,Active,GA1330042,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-77.233653, 38.9264706], [-77.2336244, 38.9264376], [-77.233574, 38.9264641], [-77.2336027, 38.9264971], [-77.233653, 38.9264706]]]}]]","[['38.9264376', '38.9264971', '-77.233653', '-77.233574']]"
ATHENS YMCA CAMP,RABUN,['TALLULAH FALLS'],225,Ground water,Active,GA2410111,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-83.418402, 34.754048], [-83.41789, 34.75308], [-83.416165, 34.750049], [-83.4154964, 34.749436], [-83.4146059, 34.7479285], [-83.414389, 34.747579], [-83.413175, 34.745497], [-83.411616, 34.743304], [-83.410999, 34.742408], [-83.410411, 34.741209], [-83.408962, 34.73766], [-83.4087694, 34.7373007], [-83.4027508, 34.7306163], [-83.401924, 34.729698], [-83.4006262, 34.7264996], [-83.400185, 34.725816], [-83.3986958, 34.7239552], [-83.398297, 34.723457], [-83.398036, 34.723173], [-83.397904, 34.722956], [-83.397016, 34.7205914], [-83.396742, 34.720461], [-83.3961791, 34.7195288], [-83.3938242, 34.716213], [-83.3934325, 34.7157367], [-83.393319, 34.715513], [-83.393043, 34.715131], [-83.3923007, 34.7140832], [-83.3908523, 34.7118563], [-83.3870113, 34.7063925], [-83.3863676, 34.7052988], [-83.3803541, 34.6966435], [-83.376813, 34.691525], [-83.375026, 34.692338], [-83.3710415, 34.6941736], [-83.368308, 34.6950845], [-83.3613034, 34.6988953], [-83.3472746, 34.7042797], [-83.3467623, 34.7044871], [-83.348, 34.706089], [-83.348465, 34.706638], [-83.349722, 34.708335], [-83.350044, 34.708897], [-83.350243, 34.709404], [-83.350487, 34.709694], [-83.350532, 34.710018], [-83.350822, 34.711178], [-83.350876, 34.712074], [-83.350906, 34.712203], [-83.3509946, 34.7126544], [-83.351028, 34.712734], [-83.351068, 34.71283], [-83.351096, 34.712897], [-83.351151, 34.713029], [-83.3524679, 34.7159816], [-83.3527431, 34.716862], [-83.3530065, 34.7182147], [-83.3532455, 34.7233874], [-83.353325, 34.7278324], [-83.353129, 34.7286653], [-83.3528142, 34.7293447], [-83.3523102, 34.7299102], [-83.3531522, 34.7299708], [-83.3562208, 34.7301447], [-83.3624313, 34.7304992], [-83.374443, 34.731264], [-83.374312, 34.73274], [-83.373994, 34.736237], [-83.3737237, 34.7393506], [-83.3736969, 34.7394872], [-83.373319, 34.743933], [-83.3739651, 34.744054], [-83.375081, 34.744048], [-83.3821565, 34.7439129], [-83.3823926, 34.7439041], [-83.3827681, 34.7439218], [-83.3834976, 34.743935], [-83.385623, 34.744004], [-83.38617, 34.744021], [-83.387534, 34.744061], [-83.3882857, 34.7440619], [-83.388402, 34.744062], [-83.38853, 34.744063], [-83.388509, 34.744205], [-83.3885295, 34.7444904], [-83.388531, 34.744633], [-83.388559, 34.745144], [-83.388342, 34.746993], [-83.388335, 34.748136], [-83.388324, 34.7501], [-83.388118, 34.755987], [-83.396425, 34.756383], [-83.397317, 34.756307], [-83.397639, 34.756632], [-83.397733, 34.756727], [-83.397797, 34.756848], [-83.3980781, 34.7573826], [-83.400587, 34.761006], [-83.40214, 34.759898], [-83.415071, 34.755548], [-83.418402, 34.754048]]]}]]","[['34.691525', '34.761006', '-83.418402', '-83.3467623']]"
"ATLANTA YACHT CLUB, INC.",CHEROKEE,NOT REPORTED,30,Ground water,Active,GA0570017,False,False,[],[]
