WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
161 STORE IT,CLINTON,NOT REPORTED,25,Surface water purchased,Active,IL3161588,False,False,[],[]
1ST CHURCH OF THE NAZARENE,COOK,NOT REPORTED,30,Ground water,Active,IL3119859,False,False,[],[]
2022 FOODMART INC,MCHENRY,NOT REPORTED,25,Ground water,Active,IL3130872,False,False,[],[]
24 7 ICE PONTIAC,LIVINGSTON,NOT REPORTED,25,Surface water purchased,Active,IL3158071,False,False,[],[]
31 NORTH,MCHENRY,NOT REPORTED,300,Ground water,Active,IL3062505,False,False,[],[]
4 RIVERS ENVIRONMENTAL CENTER,WILL,NOT REPORTED,105,Ground water,Active,IL3152579,False,False,[],[]
4H CAMP SHAW WAW NAS SEE,KANKAKEE,NOT REPORTED,240,Ground water,Active,IL3033605,False,False,[],[]
5 STAR LEARNING RANCH,KANE,NOT REPORTED,46,Ground water,Active,IL3153213,False,False,[],[]
600 WAUKEGAN ROAD,COOK,NOT REPORTED,100,Ground water,Active,IL3161158,False,False,[],[]
7 DAY MARKET & RESTAURANT,MCHENRY,NOT REPORTED,100,Ground water,Active,IL3063982,False,False,[],[]
7 ELEVEN,MERCER,NOT REPORTED,25,Ground water,Active,IL3131920,False,False,[],[]
7-ELEVEN/CITGO (139121),LAKE,NOT REPORTED,200,Ground water,Active,IL3139121,False,False,[],[]
7TH DAY ADVENTIST CHURCH,WILL,NOT REPORTED,80,Ground water,Active,IL3037663,False,False,[],[]
A & T ASIAN MARKET,KANE,NOT REPORTED,55,Ground water purchased,Active,IL3150938,False,False,[],[]
A B GUSTOS,WILL,NOT REPORTED,25,Ground water,Active,IL3110999,False,False,[],[]
ABC SUPPLY CO,DUPAGE,NOT REPORTED,60,Ground water,Active,IL3038299,False,False,[],[]
ABERDEEN PARK,BOONE,NOT REPORTED,35,Ground water,Active,IL3137885,False,False,[],[]
ACE HARDWARE (138354),LAKE,NOT REPORTED,25,Surface water purchased,Active,IL3138354,False,False,[],[]
ACE HARDWARE 149930,LAKE,NOT REPORTED,25,Surface water purchased,Active,IL3149930,False,False,[],[]
ACE HARDWARE VENDING STORE #33281,LAKE,NOT REPORTED,25,Surface water purchased,Active,IL3150698,False,False,[],[]
ACQUA VIVA WINERY,KANE,NOT REPORTED,25,Ground water,Active,IL3154690,False,False,[],[]
ACRES GROUP,WILL,NOT REPORTED,142,Ground water,Active,IL3124206,False,False,[],[]
AFOLKEY GRACE EC CHURCH,STEPHENSON,NOT REPORTED,30,Ground water,Active,IL3051383,False,False,[],[]
AFTON TOWNSHIP FOREST PRESERVE,DEKALB,NOT REPORTED,25,Ground water,Active,IL3112433,False,False,[],[]
AFTON TOWNSHIP SOUTH ESAT WELL,DEKALB,NOT REPORTED,25,Ground water,Active,IL3160697,False,False,[],[]
ALDEN QUICK MART,MCHENRY,NOT REPORTED,100,Ground water,Active,IL3064295,False,False,[],[]
ALDEN UNITED METHODIST CHURCH,MCHENRY,NOT REPORTED,80,Ground water,Active,IL3064964,False,False,[],[]
ALEXANDER LUMBER,MCHENRY,NOT REPORTED,25,Ground water,Active,IL3153908,False,False,[],[]
ALGONQUIN PHILLIPS 66,KANE,NOT REPORTED,400,Ground water,Active,IL3132787,False,False,[],[]
ALL AMERICAN WASH,LIVINGSTON,NOT REPORTED,25,Ground water purchased,Active,IL3150540,False,False,[],[]
ALL IN PUB AND GRUB,MCHENRY,NOT REPORTED,50,Ground water,Active,IL3138610,False,False,[],[]
ALL SEASON FARM AND MARKET,MCHENRY,NOT REPORTED,35,Ground water,Active,IL3155788,False,False,[],[]
ALL SEASONS APPLE ORCHARD,MCHENRY,NOT REPORTED,200,Ground water,Active,IL3159541,False,False,[],[]
ALL SEASONS ICE RINK,DUPAGE,NOT REPORTED,200,Ground water,Active,IL3041376,False,False,[],[]
ALL SPORTS BAR AND GRILL,MCHENRY,NOT REPORTED,125,Ground water,Active,IL3063305,False,False,[],[]
ALLEGHANY PARK GRAYSLAKE PARK DIST,LAKE,NOT REPORTED,100,Ground water,Active,IL3152231,False,False,[],[]
ALLENDALE CONSERVATION CLUB (86132),STARK,NOT REPORTED,50,Ground water,Active,IL3086132,False,False,[],[]
ALLENS CORNER,KANE,NOT REPORTED,60,Ground water,Active,IL3009415,False,False,[],[]
ALLIN TOWNSHIP PARK,MCLEAN,NOT REPORTED,134,Ground water,Active,IL3113639,False,False,[],[]
ALPINE CHAPEL,LAKE,NOT REPORTED,500,Ground water,Active,IL3130526,False,False,[],[]
ALS TAP #1,LAKE,NOT REPORTED,350,Ground water,Active,IL3027086,False,False,[],[]
ALTO VINEYARD,CHAMPAIGN,NOT REPORTED,25,Ground water,Active,IL3148106,False,False,[],[]
ALTON WOODRIVER SPORTSMANS CLB,CALHOUN,NOT REPORTED,25,Ground water,Active,IL3003319,False,False,[],[]
