WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
BUZZARD ROCK RESORT AND MARINA,LYON,NOT REPORTED,150,Ground water,Active,KY0722918,False,False,[],[]
CAMP MICHAELS DAN BEARD COUNCIL,BOONE,NOT REPORTED,50,Ground water purchased,Active,KY0082411,False,False,[],[]
CAMP NATHANIEL,KNOTT,NOT REPORTED,200,Ground water,Active,KY0602422,False,False,[],[]
CAMP ROBERT C WEBB,CARTER,NOT REPORTED,250,Ground water,Active,KY0222251,False,False,[],[]
CAMP TURNABOUT,BOONE,NOT REPORTED,429,Ground water,Active,KY0082081,False,False,[],[]
CENTER RIDGE WATER DISTRICT #4,CALLOWAY,NOT REPORTED,140,Ground water,Active,KY0183106,False,False,[],[]
CUMBERLAND GAP NHP/HENSLEY,BELL,NOT REPORTED,25,Ground water,Active,KY0072713,False,False,[],[]
CUMBERLAND GAP NHP/PINNACLE,BELL,NOT REPORTED,50,Ground water,Active,KY0072714,False,False,[],[]
CYPRESS COVE RV PARK LLC,CALLOWAY,NOT REPORTED,118,Ground water,Active,KY0183007,False,False,[],[]
CYPRESS SPRINGS RESORT,CALLOWAY,NOT REPORTED,200,Ground water,Active,KY0182841,False,False,[],[]
EDDY CREEK MARINA RESORT LLC,LYON,NOT REPORTED,150,Ground water,Active,KY0722980,False,False,[],[]
GLADIE HISTORIC SITE,MENIFEE,NOT REPORTED,25,Surface water,Active,KY0833498,False,False,[],[]
KENTUCKY BEACH RESORT,CALLOWAY,NOT REPORTED,85,Ground water,Active,KY0182842,False,False,[],[]
KINGDOM COME STATE PARK,HARLAN,NOT REPORTED,250,Surface water,Active,KY0482399,False,False,[],[]
LAKEVIEW COTTAGES & MARINA,CALLOWAY,NOT REPORTED,50,Ground water,Active,KY0183626,False,False,[],[]
LBL CAMP ENERGY,TRIGG,NOT REPORTED,25,Ground water,Active,KY1112365,False,False,[],[]
LBL CRAVENS BAY,TRIGG,NOT REPORTED,25,Ground water,Active,KY1112212,False,False,[],[]
LBL FENTON LAKE ACCESS,TRIGG,NOT REPORTED,25,Ground water,Active,KY1112486,False,False,[],[]
"LBL HILLMAN FERRY A, B & C",TRIGG,NOT REPORTED,42,Ground water,Active,KY1112211,False,False,[],[]
LBL NORTH ENTRANCE STATION,TRIGG,NOT REPORTED,25,Ground water,Active,KY1112210,False,False,[],[]
LBL OFF HWY VEHICLE AREA,TRIGG,NOT REPORTED,25,Ground water,Active,KY1113460,False,False,[],[]
LBL WOODLAND NATURE CENTER,TRIGG,NOT REPORTED,25,Ground water,Active,KY1112213,False,False,[],[]
LBL WRANGLERS CAMP,TRIGG,NOT REPORTED,25,Ground water,Active,KY1112837,False,False,[],[]
MISSING HILL RESORT,CALLOWAY,NOT REPORTED,196,Ground water,Active,KY0183132,False,False,[],[]
MSU HANCOCK BIO STATION,CALLOWAY,NOT REPORTED,30,Ground water,Active,KY0183334,False,False,[],[]
NEW CONCORD DOLLAR GENERAL STORE,CALLOWAY,NOT REPORTED,350,Ground water,Active,KY0183519,False,False,[],[]
PARADISE RESORT,CALLOWAY,NOT REPORTED,40,Ground water,Active,KY0182057,False,False,[],[]
POTTERS RANCH,BOONE,NOT REPORTED,100,Ground water,Active,KY0082894,False,False,[],[]
RED RIVER ROCKHOUSE,WOLFE,NOT REPORTED,100,Ground water,Active,KY1193703,False,False,[],[]
RIVER RIDGE PARK INC,BOONE,NOT REPORTED,223,Ground water,Active,KY0082242,False,False,[],[]
SHAWNEE BAY RESORT,MARSHALL,NOT REPORTED,80,Ground water,Active,KY0792758,False,False,[],[]
SOUTHLAND RANCH,BALLARD,NOT REPORTED,160,Ground water,Active,KY0043507,False,False,[],[]
SUNSET HARBOR HILL CAMPGROUND,CALLOWAY,NOT REPORTED,26,Ground water,Active,KY0182822,False,False,[],[]
TROCADERO PLAZA,HENDERSON,NOT REPORTED,25,Ground water,Active,KY0512440,False,False,[],[]
