WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ABITA PETRO PLUS,ST. TAMMANY PARISH,NOT REPORTED,50,Ground water,Active,LA2103531,False,False,[],[]
ABITA RV PARK,ST. TAMMANY PARISH,NOT REPORTED,279,Ground water,Active,LA2103512,False,False,[],[]
ABITA SPRINGS GOLF CLUB W S,ST. TAMMANY PARISH,NOT REPORTED,50,Ground water,Active,LA2103294,False,False,[],[]
ACADIAN HEALTH SERVICE,LAFAYETTE PARISH,NOT REPORTED,25,Ground water,Active,LA2055094,False,False,[],[]
ACADIANA GYMNASTICS WATER SYSTEM,LAFAYETTE PARISH,NOT REPORTED,25,Ground water,Active,LA2055095,False,False,[],[]
AJAX COUNTRY LIVIN RV PARK WS,NATCHITOCHES PARISH,NOT REPORTED,88,Ground water,Active,LA2069033,False,False,[],[]
ALICE RESTAURANT,ST. TAMMANY PARISH,NOT REPORTED,40,Ground water,Active,LA2103312,False,False,[],[]
ANGELLES WHISKEY RIVER WATER SYSTEM,ST. MARTIN PARISH,NOT REPORTED,250,Ground water,Active,LA2099019,False,False,[],[]
ARBY'S,ST. TAMMANY PARISH,NOT REPORTED,900,Ground water,Active,LA2103296,False,False,[],[]
ASSEMBLY OF GOD CHURCH CAMP,RAPIDES PARISH,NOT REPORTED,486,Ground water,Active,LA2079017,False,False,[],[]
ASSUNTAS RESTAURANT,ST. TAMMANY PARISH,NOT REPORTED,70,Ground water,Active,LA2103317,False,False,[],[]
ATCHAFALAYA BASIN LANDING WATER SYSTEM,ST. MARTIN PARISH,NOT REPORTED,50,Ground water,Active,LA2099008,False,False,[],[]
B & B GROCERY & DELI,ST. TAMMANY PARISH,NOT REPORTED,50,Ground water,Active,LA2103362,False,False,[],[]
BACK TO BACK RV PARK WATER SYSTEM,IBERIA PARISH,NOT REPORTED,48,Ground water,Active,LA2045075,False,False,[],[]
BACKROADS MERCANTILE,ST. TAMMANY PARISH,NOT REPORTED,25,Ground water,Active,LA2103414,False,False,[],[]
BAYOU ADVENTURE,ST. TAMMANY PARISH,NOT REPORTED,50,Ground water,Active,LA2103446,False,False,[],[]
BAYOU BOEUF RV PARK WATER SYSTEM,OUACHITA PARISH,NOT REPORTED,100,Ground water,Active,LA2073056,False,False,[],[]
BAYOU INDUSTRIAL PARK,ST. TAMMANY PARISH,NOT REPORTED,25,Ground water,Active,LA2103310,False,False,[],[]
BEACON LOUNGE,ST. JOHN THE BAPTIST PARISH,NOT REPORTED,25,Ground water,Active,LA2095040,False,False,[],[]
BEBOS CASINO,ST. HELENA PARISH,NOT REPORTED,50,Ground water,Active,LA2091034,False,False,[],[]
BEC'S AT THE LAKE RESTAURANT AND CATERIN,ST. JOHN THE BAPTIST PARISH,NOT REPORTED,150,Ground water,Active,LA2095043,False,False,[],[]
BEST STOP # 5,ASCENSION PARISH,NOT REPORTED,25,Ground water,Active,LA2005123,False,False,[],[]
BEST STOP 15,LIVINGSTON PARISH,NOT REPORTED,60,Ground water,Active,LA2063044,False,False,[],[]
BIG LAKE RV PARK WATER SYSTEM,CALCASIEU PARISH,NOT REPORTED,150,Ground water,Active,LA2019146,False,False,[],[]
BILLYS LOUNGE,ST. TAMMANY PARISH,NOT REPORTED,50,Ground water,Active,LA2103377,False,False,[],[]
BISTINEAU STATE PARK #1,WEBSTER PARISH,NOT REPORTED,500,Ground water,Active,LA2119001,False,False,[],[]
BISTINEAU STATE PARK #2,WEBSTER PARISH,NOT REPORTED,200,Ground water,Active,LA2119002,False,False,[],[]
BO S STEAKHOUSE,WASHINGTON PARISH,NOT REPORTED,300,Ground water,Active,LA2117100,False,False,[],[]
BOGUE CHITTO STATE PARK- BOTTOMLAND,WASHINGTON PARISH,NOT REPORTED,5000,Ground water,Active,LA2117199,False,False,[],[]
BOGUE CHITTO STATE PARK- CABINS,WASHINGTON PARISH,NOT REPORTED,50,Ground water,Active,LA2117200,False,False,[],[]
BOGUE CHITTO STATE PARK- UPLAND CAMPGROU,WASHINGTON PARISH,NOT REPORTED,150,Ground water,Active,LA2117198,False,False,[],[]
BONNIE & CLYDE TRADE DAYS,BIENVILLE PARISH,NOT REPORTED,500,Ground water,Active,LA2013011,False,False,[],[]
BORDER TOWN TRAVEL PLAZA,CALCASIEU PARISH,NOT REPORTED,100,Ground water,Active,LA2019131,False,False,[],[]
BOURNES SEAFOOD,WASHINGTON PARISH,NOT REPORTED,25,Ground water,Active,LA2117030,False,False,[],[]
BREAUX BRIDGE CASINO TRUCK STOP WS,ST. MARTIN PARISH,NOT REPORTED,205,Ground water,Active,LA2099091,False,False,[],[]
BREAUX BRIDGE GAMING WATER SYSTEM,ST. MARTIN PARISH,NOT REPORTED,25,Ground water,Active,LA2099062,False,False,[],[]
BRIGGS OF HWY 190,ST. TAMMANY PARISH,NOT REPORTED,500,Ground water,Active,LA2103231,False,False,[],[]
BUSH SHELL 2,ST. TAMMANY PARISH,NOT REPORTED,200,Ground water,Active,LA2103026,False,False,[],[]
BUTTE LAROSE REST STOP WATER SYSTEM,ST. MARTIN PARISH,NOT REPORTED,1001,Ground water,Active,LA2099036,False,False,[],[]
CAJUN PRIDE WATER SYSTEM,ST. JOHN THE BAPTIST PARISH,NOT REPORTED,25,Ground water,Active,LA2095042,False,False,[],[]
