WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
301 BP,PRINCE GEORGE'S,NOT REPORTED,100,Ground water,Active,MD1161122,False,False,[],[]
4 HOOPPOLE SOUTH,GARRETT,NOT REPORTED,29,Ground water,Active,MD1111079,False,False,[],[]
4-H PARK,QUEEN ANNE'S,NOT REPORTED,100,Ground water,Active,MD1171207,False,False,[],[]
4-H PARK MAIN WELL,CAROLINE,NOT REPORTED,25,Ground water,Active,MD1051030,False,False,[],[]
7 ELEVEN CHESTER-17867,QUEEN ANNE'S,NOT REPORTED,200,Ground water,Active,MD1171001,False,False,[],[]
7- ELEVEN # 34278,QUEEN ANNE'S,NOT REPORTED,100,Ground water,Active,MD1171243,False,False,[],[]
7- ELEVEN - (GASMART OF FREDERICK),FREDERICK,NOT REPORTED,500,Ground water,Active,MD1101236,False,False,[],[]
7-11 SUNDERLAND,CALVERT,NOT REPORTED,805,Ground water,Active,MD1041236,False,False,[],[]
7-ELEVEN #28953 AND DEALE SUBWAY,ANNE ARUNDEL,NOT REPORTED,517,Ground water,Active,MD1021146,False,False,[],[]
7-ELEVEN- THURMONT#28960,FREDERICK,NOT REPORTED,151,Ground water,Active,MD1101090,False,False,[],[]
7TH DAY ADVENTIST CHURCH OF PR. FRED.,CALVERT,NOT REPORTED,31,Ground water,Active,MD1041177,False,False,[],[]
A AND B LOTTERY AND LIQUOR,ST. MARY'S,NOT REPORTED,35,Ground water,Active,MD1181085,False,False,[],[]
A-1 LIQUOR AND DELI,TALBOT,NOT REPORTED,52,Ground water,Active,MD1201038,False,False,[],[]
A.E. PHILLIPS AND SON,DORCHESTER,NOT REPORTED,38,Ground water,Active,MD1091002,False,False,[],[]
ABELLS DINER/ ANDERSONS BAR,ST. MARY'S,NOT REPORTED,108,Ground water,Active,MD1181005,False,False,[],[]
ABELLS TAVERN,ST. MARY'S,NOT REPORTED,63,Ground water,Active,MD1181198,False,False,[],[]
"AC AND T AND CLASSIC FUELS, LLC",WASHINGTON,NOT REPORTED,1015,Groundwater under influence of surface water,Active,MD1211098,False,False,[],[]
AC AND T BIG POOL,WASHINGTON,NOT REPORTED,1018,Ground water,Active,MD1211186,False,False,[],[]
ACAPELLA RESTAUANT,HARFORD,NOT REPORTED,410,Ground water,Active,MD1121002,False,False,[],[]
ADAMS RIBS,CALVERT,NOT REPORTED,60,Ground water,Active,MD1041076,False,False,[],[]
ADAMS RIBS,ANNE ARUNDEL,NOT REPORTED,115,Ground water,Active,MD1021009,False,False,[],[]
ADF CATERING AND CHARITY GAMES NORTH,ST. MARY'S,NOT REPORTED,190,Ground water,Active,MD1181006,False,False,[],[]
ADKINS ARBORETUM,CAROLINE,NOT REPORTED,34,Ground water,Active,MD1051035,False,False,[],[]
AFTER DECK SPORTS BAR AND GRILL,ANNE ARUNDEL,NOT REPORTED,52,Ground water,Active,MD1021277,False,False,[],[]
AG CENTER -CO-OP EXTENSION OFFICE,WASHINGTON,NOT REPORTED,45,Groundwater under influence of surface water,Active,MD1211193,False,False,[],[]
ALAMO COURT MOTEL,WORCESTER,NOT REPORTED,153,Ground water,Active,MD1231193,False,False,[],[]
ALBANSTOWN INN,BALTIMORE,NOT REPORTED,107,Ground water,Active,MD1031001,False,False,[],[]
ALBATROSS TRAILER PARK,WORCESTER,NOT REPORTED,50,Ground water,Active,MD1231172,False,False,[],[]
ALESIA FREE METHODIST CHURCH,CARROLL,NOT REPORTED,30,Ground water,Active,MD1061229,False,False,[],[]
ALICE FERGUSON FOUNDATION,PRINCE GEORGE'S,NOT REPORTED,41,Ground water,Active,MD1161003,False,False,[],[]
ALL FAITH EPISCOPAL CHURCH,ST. MARY'S,NOT REPORTED,46,Ground water,Active,MD1181306,False,False,[],[]
ALL SAINTS EPISCOPAL CHURCH,CALVERT,NOT REPORTED,502,Ground water,Active,MD1041160,False,False,[],[]
ALL SMILES DENTAL CARE,CARROLL,NOT REPORTED,25,Ground water,Active,MD1061320,False,False,[],[]
AMANTE PIZZA AND PASTA,CARROLL,NOT REPORTED,100,Ground water,Active,MD1061165,False,False,[],[]
AMERICAN LEGION # 170,CHARLES,NOT REPORTED,100,Ground water,Active,MD1081171,False,False,[],[]
AMERICAN LEGION # 255,ST. MARY'S,NOT REPORTED,32,Ground water,Active,MD1181239,False,False,[],[]
AMERICAN LEGION #116 REISTERSTOWN,BALTIMORE,NOT REPORTED,70,Ground water,Active,MD1031141,False,False,[],[]
AMERICAN LEGION #221,ST. MARY'S,NOT REPORTED,150,Ground water,Active,MD1181255,False,False,[],[]
AMERICAN LEGION #226,ANNE ARUNDEL,NOT REPORTED,256,Ground water,Active,MD1021013,False,False,[],[]
AMERICAN LEGION #256 PARKTON,BALTIMORE,NOT REPORTED,100,Ground water,Active,MD1031002,False,False,[],[]
AMERICAN LEGION #276,ANNE ARUNDEL,NOT REPORTED,51,Ground water,Active,MD1021014,False,False,[],[]
AMERICAN LEGION #277,ANNE ARUNDEL,NOT REPORTED,25,Ground water,Active,MD1021015,False,False,[],[]
AMERICAN LEGION POST # 274,CALVERT,NOT REPORTED,35,Ground water,Active,MD1041002,False,False,[],[]
AMERICAN LEGION POST #238,CHARLES,NOT REPORTED,40,Ground water,Active,MD1081001,False,False,[],[]
AMERICAN LEGION POST #29,CAROLINE,NOT REPORTED,483,Ground water,Active,MD1051003,False,False,[],[]
AMERICAN LEGION POST #36,KENT,NOT REPORTED,200,Ground water,Active,MD1141058,False,False,[],[]
AMERICAN LEGION POST 296,QUEEN ANNE'S,NOT REPORTED,50,Ground water,Active,MD1171239,False,False,[],[]
AMERICAN LEGION POST 93,WORCESTER,NOT REPORTED,53,Ground water,Active,MD1231003,False,False,[],[]
AMERICAN LEGION POST# 206,CALVERT,NOT REPORTED,101,Ground water,Active,MD1041080,False,False,[],[]
AMERICAN LEGION-HAMPSTEAD,CARROLL,NOT REPORTED,100,Ground water,Active,MD1061003,False,False,[],[]
