WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
"""71"" MART",BELTRAMI,NOT REPORTED,100,Ground water,Active,MN5040340,False,False,[],[]
"""Y"" KNOT QUICK STOP",KOOCHICHING,NOT REPORTED,500,Ground water,Active,MN5360187,False,False,[],[]
"""Y"" MART",CASS,NOT REPORTED,500,Ground water,Active,MN5110536,False,False,[],[]
10-50 CLUB,HENNEPIN,NOT REPORTED,50,Ground water,Active,MN5271081,False,False,[],[]
113 BAIT AND TACKLE,MAHNOMEN,NOT REPORTED,60,Ground water,Active,MN5440005,False,False,[],[]
14 LAKES CRAFT BREWING CO.,CROW WING,NOT REPORTED,25,Ground water,Active,MN5181081,False,False,[],[]
1975 FILLING STATION & RESTAURANT,LINCOLN,NOT REPORTED,25,Ground water,Active,MN5410023,False,False,[],[]
2 TALL TAVERN,MORRISON,NOT REPORTED,100,Ground water,Active,MN5490297,False,False,[],[]
2 WEST EXPRESS,BELTRAMI,NOT REPORTED,90,Ground water,Active,MN5040734,False,False,[],[]
20 RIFLE & PISTOL CLUB,STEELE,NOT REPORTED,50,Ground water,Active,MN5740241,False,False,[],[]
210 BAR AND GRILL,WILKIN,NOT REPORTED,30,Ground water,Active,MN5840016,False,False,[],[]
21ST CENTURY BANK,ANOKA,NOT REPORTED,25,Ground water,Active,MN5020197,False,False,[],[]
29 PINES GOLF COURSE,CARLTON,NOT REPORTED,35,Ground water,Active,MN5090170,False,False,[],[]
2ANNES LAKESIDE RV PARK,POLK,NOT REPORTED,25,Ground water,Active,MN5600217,False,False,[],[]
37 ACRES RV AND CAMPGROUND,MORRISON,NOT REPORTED,25,Ground water,Active,MN5490384,False,False,[],[]
"38 OUTPOST, INC.",ITASCA,NOT REPORTED,25,Ground water,Active,MN5310874,False,False,[],[]
3RD OPINION,KANDIYOHI,NOT REPORTED,45,Ground water,Active,MN5340267,False,False,[],[]
4 T'S RESORT,CASS,NOT REPORTED,25,Ground water,Active,MN5110156,False,False,[],[]
59'ER DINER,BECKER,NOT REPORTED,300,Ground water,Active,MN5030422,False,False,[],[]
61 EXPRESS,GOODHUE,NOT REPORTED,25,Ground water,Active,MN5250261,False,False,[],[]
63 FUEL STOP,ITASCA,NOT REPORTED,25,Ground water,Active,MN5310529,False,False,[],[]
64 STOP,CASS,NOT REPORTED,250,Ground water,Active,MN5111137,False,False,[],[]
8'S PUB & GRILL,TODD,NOT REPORTED,50,Ground water,Active,MN5770125,False,False,[],[]
8TH FAIRWAY TOWNHOMES,CROW WING,NOT REPORTED,40,Ground water,Active,MN5181006,False,False,[],[]
A & W DRIVE IN,HUBBARD,NOT REPORTED,200,Ground water,Active,MN5290256,False,False,[],[]
A MAZE'N FARMYARD,MEEKER,NOT REPORTED,100,Ground water,Active,MN5470137,False,False,[],[]
A PINE EXPRESS/SUPER AMERICA #4884,CROW WING,NOT REPORTED,150,Ground water,Active,MN5180885,False,False,[],[]
A-PINE RESTAURANT,CROW WING,NOT REPORTED,100,Ground water,Active,MN5180706,False,False,[],[]
A-Z RESTAURANT EQUIPMENT,MILLE LACS,NOT REPORTED,25,Ground water,Active,MN5480283,False,False,[],[]
"A.J. ACRES CAMPGROUND, INC.",STEARNS,NOT REPORTED,750,Ground water,Active,MN5730600,False,False,[],[]
AARDAHL LUTHERAN CHURCH,BELTRAMI,NOT REPORTED,60,Ground water,Active,MN5040043,False,False,[],[]
AASA COATES CORNER MART,DAKOTA,NOT REPORTED,25,Ground water,Active,MN5190107,False,False,[],[]
AASTAD LUTHERAN CHURCH,OTTER TAIL,NOT REPORTED,50,Ground water purchased,Active,MN5560971,False,False,[],[]
ABC ARROW BUILDING CENTER,CARVER,NOT REPORTED,25,Ground water,Active,MN5100250,False,False,[],[]
ABIDING SAVIOR EVANGELICAL LUTHERAN,SHERBURNE,NOT REPORTED,185,Ground water,Active,MN5710329,False,False,[],[]
ABRA AUTO BODY AND GLASS,ANOKA,NOT REPORTED,35,Ground water,Active,MN5020538,False,False,[],[]
ABRAHAMSON NURSERIES,WASHINGTON,NOT REPORTED,25,Ground water,Active,MN5820449,False,False,[],[]
ABUNDANT LIFE ALLIANCE CHURCH,ANOKA,NOT REPORTED,90,Ground water,Active,MN5020409,False,False,[],[]
"ACCENT HOMES, INC.",ANOKA,NOT REPORTED,30,Ground water,Active,MN5020564,False,False,[],[]
ACCESS CHURCH,CHISAGO,NOT REPORTED,550,Ground water,Active,MN5130400,False,False,[],[]
ACE HARDWARE,CROW WING,NOT REPORTED,250,Ground water,Active,MN5181021,False,False,[],[]
ACE TRAILER SALES,WASHINGTON,NOT REPORTED,25,Ground water,Active,MN5820576,False,False,[],[]
ACORN ACRES CAMPGROUND,OTTER TAIL,NOT REPORTED,50,Ground water,Active,MN5560975,False,False,[],[]
ACORN HILL RESORT,CASS,NOT REPORTED,100,Ground water,Active,MN5110362,False,False,[],[]
ACORN LAKE MOBILE HOME COURT,BECKER,NOT REPORTED,25,Ground water,Active,MN5030259,False,False,[],[]
ACQUA OF FOREST LAKE,WASHINGTON,NOT REPORTED,150,Ground water,Active,MN5820592,False,False,[],[]
ACTION PACKED PAINTBALL GAMES,SCOTT,NOT REPORTED,25,Ground water,Active,MN5700386,False,False,[],[]
ACTS SEVENTH DAY ADVENTIST CHURCH,SHERBURNE,NOT REPORTED,50,Ground water,Active,MN5710349,False,False,[],[]
ADA PINE BEACH RESORT,CASS,NOT REPORTED,25,Ground water,Active,MN5110094,False,False,[],[]
"ADESA MINNEAPOLIS, LLC - CAR WASH",HENNEPIN,NOT REPORTED,30,Ground water,Active,MN5271143,False,False,[],[]
ADIRONDACK COFFEE,CROW WING,NOT REPORTED,25,Ground water,Active,MN5181069,False,False,[],[]
ADOLPH STORE,ST. LOUIS,NOT REPORTED,25,Ground water,Active,MN5691161,False,False,[],[]
ADRIAN'S RESORT,LAKE OF THE WOODS,NOT REPORTED,40,Ground water,Active,MN5390024,False,False,[],[]
ADULT DAY SERVICES,CASS,NOT REPORTED,25,Ground water,Active,MN5111165,False,False,[],[]
ADVENTURE NORTH,CASS,NOT REPORTED,50,Ground water,Active,MN5110331,False,False,[],[]
ADVENTUROUS CHRISTIANS COVENANT,COOK,NOT REPORTED,25,Ground water,Active,MN5160137,False,False,[],[]
AFFORDABLE RENTAL PROPERTIES,WRIGHT,NOT REPORTED,25,Ground water,Active,MN5860521,False,False,[],[]
AFTON APPLE ORCHARD,WASHINGTON,NOT REPORTED,100,Ground water,Active,MN5820495,False,False,[],[]
AFTON CITY HALL,WASHINGTON,NOT REPORTED,25,Ground water,Active,MN5820406,False,False,[],[]
AFTON CITY PARK,WASHINGTON,NOT REPORTED,25,Ground water,Active,MN5820256,False,False,[],[]
AFTON MARINA AND YACHT CLUB,WASHINGTON,NOT REPORTED,25,Ground water,Active,MN5820408,False,False,[],[]
AFTON STATE PARK,WASHINGTON,NOT REPORTED,25,Ground water,Active,MN5820478,False,False,[],[]
AG PARTNERS,GOODHUE,NOT REPORTED,25,Ground water,Active,MN5250087,False,False,[],[]
AGAPE ACRES MINISTRY,BECKER,NOT REPORTED,30,Ground water,Active,MN5030538,False,False,[],[]
AGASSIZ ENVIRONMENTAL LEARNING CENTER,POLK,NOT REPORTED,40,Ground water,Active,MN5600269,False,False,[],[]
AGASSIZ VALLEY GRAIN LLC,CLAY,NOT REPORTED,25,Ground water,Active,MN5140070,False,False,[],[]
AGATE BAY RESORT,AITKIN,NOT REPORTED,70,Ground water,Active,MN5010303,False,False,[],[]
AGATE LAKE RESORT,CASS,NOT REPORTED,50,Ground water,Active,MN5110367,False,False,[],[]
AGENCY BAY LODGE,CASS,NOT REPORTED,60,Ground water,Active,MN5110450,False,False,[],[]
AHLMANS,RICE,NOT REPORTED,25,Ground water,Active,MN5660731,False,False,[],[]
AIRSTREAM PARK,SHERBURNE,NOT REPORTED,150,Ground water,Active,MN5710059,False,False,[],[]
AITKIN COUNTY PARKS - SNAKE RIVER CAMPGR,AITKIN,NOT REPORTED,25,Ground water,Active,MN5010425,False,False,[],[]
AITKIN COUNTY PARKS-JACOBSON CAMPGROUND,AITKIN,NOT REPORTED,26,Ground water,Active,MN5010305,False,False,[],[]
AITKIN LAKE RESORT,AITKIN,NOT REPORTED,25,Ground water,Active,MN5010304,False,False,[],[]
"AL'S CONCRETE PRODUCTS, INC.",HOUSTON,NOT REPORTED,25,Ground water,Active,MN5280206,False,False,[],[]
ALBERS PARK,RICE,NOT REPORTED,25,Ground water,Active,MN5660700,False,False,[],[]
ALBERT LEA INFORMATION CENTER MNDOT,FREEBORN,NOT REPORTED,1306,Ground water,Active,MN5240044,False,False,[],[]
ALBION EVANGELICAL FREE CHURCH,WRIGHT,NOT REPORTED,25,Ground water,Active,MN5860314,False,False,[],[]
ALBION LUTHERAN CHURCH,BROWN,NOT REPORTED,350,Ground water,Active,MN5080021,False,False,[],[]
ALBION RIDGES GOLF COURSE,WRIGHT,NOT REPORTED,50,Ground water,Active,MN5860326,False,False,[],[]
ALBORN TAVERN,ST. LOUIS,NOT REPORTED,25,Ground water,Active,MN5690912,False,False,[],[]
ALBRIGHT'S MILL COUNTY PARK,WRIGHT,NOT REPORTED,25,Ground water,Active,MN5860310,False,False,[],[]
ALEXANDRIA GOLF CLUB,DOUGLAS,NOT REPORTED,100,Ground water,Active,MN5210483,False,False,[],[]
ALEXANDRIA SHOOTING PARK,DOUGLAS,NOT REPORTED,100,Ground water,Active,MN5210518,False,False,[],[]
ALEXIS BAILLY VINEYARD,DAKOTA,NOT REPORTED,25,Ground water,Active,MN5190271,False,False,[],[]
ALIDA LUTHERAN CHURCH,CLEARWATER,NOT REPORTED,25,Ground water,Active,MN5150024,False,False,[],[]
ALL SAINTS CATHOLIC CHURCH,CROW WING,NOT REPORTED,150,Ground water,Active,MN5181053,False,False,[],[]
ALL SEASON'S RESORT,CASS,NOT REPORTED,25,Ground water,Active,MN5111072,False,False,[],[]
ALL STARS SPORTS BAR & GRILL,STEARNS,NOT REPORTED,200,Ground water,Active,MN5730592,False,False,[],[]
ALLIED WASTE REPUBLIC SERVICES,BENTON,NOT REPORTED,33,Ground water,Active,MN5050099,False,False,[],[]
ALMOST LINDY'S,KOOCHICHING,NOT REPORTED,150,Surface water purchased,Active,MN5360102,False,False,[],[]
ALVWOOD EVANGELICAL FREE CHURCH,ITASCA,NOT REPORTED,25,Ground water,Active,MN5310101,False,False,[],[]
AMAZING GRACE LUTHERAN CHURCH,DAKOTA,NOT REPORTED,350,Ground water,Active,MN5190288,False,False,[],[]
AMBUSH PARK,SWIFT,NOT REPORTED,30,Ground water,Active,MN5760081,False,False,[],[]
AMERICA'S BEST VALUE INN,PINE,NOT REPORTED,25,Ground water,Active,MN5580360,False,False,[],[]
AMERICAN LEGION POST #417,TODD,NOT REPORTED,50,Ground water,Active,MN5770257,False,False,[],[]
AMERICAN LEGION POST 432,ITASCA,NOT REPORTED,50,Ground water,Active,MN5310515,False,False,[],[]
AMERICAN LEGION POST 500,CROW WING,NOT REPORTED,50,Ground water,Active,MN5180707,False,False,[],[]
AMERICAN LEGION POST 627,CROW WING,NOT REPORTED,75,Ground water,Active,MN5180997,False,False,[],[]
AMERICAN SURPLUS AND MANUFACTURING,CHIPPEWA,NOT REPORTED,25,Ground water,Active,MN5120162,False,False,[],[]
AMERICINN LODGE & SUITES,CROW WING,NOT REPORTED,250,Ground water,Active,MN5180873,False,False,[],[]
AMERICINN MOTEL,CARLTON,NOT REPORTED,50,Ground water,Active,MN5090195,False,False,[],[]
AMERICINN MOTEL,ANOKA,NOT REPORTED,25,Ground water,Active,MN5020460,False,False,[],[]
AMERICINN OF MORA,KANABEC,NOT REPORTED,50,Ground water,Active,MN5330133,False,False,[],[]
AMERICINN OF TOFTE,COOK,NOT REPORTED,40,Groundwater under influence of surface water,Active,MN5160417,False,False,[],[]
AMISH MARKET SQUARE,WINONA,NOT REPORTED,600,Ground water,Active,MN5850388,False,False,[],[]
AMO LUTHERAN CHURCH,COTTONWOOD,NOT REPORTED,130,Ground water,Active,MN5170022,False,False,[],[]
AMOR RUMORS,OTTER TAIL,NOT REPORTED,50,Ground water,Active,MN5560642,False,False,[],[]
