WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
A-FRAME BAR & GRILL,BOTTINEAU,NOT REPORTED,150,Ground water,Active,ND0511551,False,False,[],[]
ALEXANDER WATER SPRING,MCKENZIE,['ALEXANDER'],25,Ground water,Active,ND2711221,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-103.653397, 47.848377], [-103.653268, 47.84233], [-103.653075, 47.834472], [-103.653095, 47.834174], [-103.653075, 47.833873], [-103.653045, 47.829515], [-103.647563, 47.829557], [-103.646912, 47.829562], [-103.636868, 47.829489], [-103.629509, 47.82945], [-103.629512, 47.831804], [-103.629513, 47.832347], [-103.629503, 47.832474], [-103.62951, 47.833199], [-103.629513, 47.833886], [-103.629443, 47.841439], [-103.62936, 47.848351], [-103.630166, 47.848352], [-103.631372, 47.848352], [-103.631652, 47.848354], [-103.633201, 47.848356], [-103.637262, 47.848363], [-103.638449, 47.848361], [-103.642225, 47.848353], [-103.642477, 47.848355], [-103.643947, 47.84836], [-103.64793, 47.848374], [-103.648583, 47.848376], [-103.649889, 47.848378], [-103.653397, 47.848377]]]}]]","[['47.82945', '47.848378', '-103.653397', '-103.62936']]"
ALLSTATE PETERBILT,WILLIAMS,NOT REPORTED,70,Ground water,Active,ND5311699,False,False,[],[]
AMBER HILLS LODGE,MCKENZIE,NOT REPORTED,50,Ground water,Active,ND2711711,False,False,[],[]
AMBROSE COMMUNITY WELL,DIVIDE,['AMBROSE'],75,Ground water,Active,ND1211226,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-103.492411, 48.96334], [-103.492375, 48.955973], [-103.492342, 48.952307], [-103.492316, 48.948478], [-103.474629, 48.948524], [-103.469702, 48.948547], [-103.469654, 48.957326], [-103.469624, 48.963546], [-103.469805, 48.963543], [-103.48684, 48.963387], [-103.492411, 48.96334]]]}]]","[['48.948478', '48.963546', '-103.492411', '-103.469624']]"
AR-KOTA RV PARK,WILLIAMS,NOT REPORTED,27,Ground water,Active,ND5311747,False,False,[],[]
ARNEGARD CITY PARK,MCKENZIE,['ARNEGARD'],25,Ground water,Active,ND2710034,True,True,"[[{'type': 'Polygon', 'coordinates': [[[-103.4441012, 47.812074], [-103.444097, 47.810909], [-103.4440956, 47.810536], [-103.4440742, 47.804714], [-103.4333488, 47.8047318], [-103.4333758, 47.8120918], [-103.4441012, 47.812074]]]}]]","[['47.804714', '47.8120918', '-103.4441012', '-103.4333488']]"
BAYSIDE OAHE RESORT,EMMONS,NOT REPORTED,50,Ground water,Active,ND1511578,False,False,[],[]
BEULAH BAY REC AREA,MERCER,NOT REPORTED,25,Ground water,Active,ND2911297,False,False,[],[]
BEULAH BAY REC AREA #2,MERCER,NOT REPORTED,100,Ground water,Active,ND2911495,False,False,[],[]
BIG COUNTRY RV PARK,WILLIAMS,NOT REPORTED,86,Ground water,Active,ND5311718,False,False,[],[]
BIRCHWOOD INC,BOTTINEAU,NOT REPORTED,70,Ground water,Active,ND0510048,False,False,[],[]
BLACKDUCK POWER EQUIPMENT,MCKENZIE,NOT REPORTED,25,Surface water purchased,Active,ND2711726,False,False,[],[]
BLUE SKY LODGING,MCKENZIE,NOT REPORTED,40,Ground water,Active,ND2711702,False,False,[],[]
BOAT RAMP 74,BOTTINEAU,NOT REPORTED,100,Ground water,Active,ND0511340,False,False,[],[]
BORDER LOUNGE,ROLETTE,NOT REPORTED,30,Ground water,Active,ND4011639,False,False,[],[]
BOTTINEAU WINTER PARK SKI AREA,BOTTINEAU,NOT REPORTED,150,Ground water,Active,ND0511294,False,False,[],[]
BURNING HILLS AMPHITHEATER,BILLINGS,NOT REPORTED,900,Ground water,Active,ND0411415,False,False,[],[]
CENTRAL LIVESTOCK,CASS,NOT REPORTED,100,Ground water,Active,ND0910998,False,False,[],[]
COTTONWOOD CAMPGROUND 6,BILLINGS,NOT REPORTED,90,Ground water,Active,ND0410678,False,False,[],[]
CRYSTAL SPRINGS BAPTIST CAMP,STUTSMAN,NOT REPORTED,75,Ground water,Active,ND4711364,False,False,[],[]
DEAD COLT CREEK RECREATION AREA,RANSOM,NOT REPORTED,15,Ground water,Active,ND3711774,False,False,[],[]
DOYLE MEMORIAL STATE PARK,MCINTOSH,NOT REPORTED,50,Ground water,Active,ND2611267,False,False,[],[]
DUNSEITH CENEX C-STORE,ROLETTE,NOT REPORTED,150,Ground water,Active,ND4011778,False,False,[],[]
ELKS CAMP GRASSICK,KIDDER,NOT REPORTED,120,Surface water purchased,Active,ND2210223,False,False,[],[]
FAMILY DOLLAR,ROLETTE,NOT REPORTED,313,Ground water,Active,ND4011780,False,False,[],[]
GLACIER POTABLE WATER,WILLIAMS,NOT REPORTED,120,Surface water purchased,Active,ND5311611,False,False,[],[]
GROUP CAMP COMPLEX 71,BOTTINEAU,NOT REPORTED,100,Ground water,Active,ND0511343,False,False,[],[]
HAHNS BAY RECREATION AREA,BOTTINEAU,NOT REPORTED,80,Ground water,Active,ND0511396,False,False,[],[]
HAPPY VALLEY EMPLOYEE HOUSING,MCKENZIE,NOT REPORTED,32,Ground water,Active,ND2711693,False,False,[],[]
HAZEN BAY RECREATION AREA,MERCER,NOT REPORTED,25,Ground water,Active,ND2911480,False,False,[],[]
HEART BUTTE F U CAMP,GRANT,NOT REPORTED,65,Ground water,Active,ND1911236,False,False,[],[]
HUNTERS LODGE,MCLEAN,NOT REPORTED,30,Ground water,Active,ND2810146,False,False,[],[]
HURLEY ENTERPRISES,MCKENZIE,NOT REPORTED,200,Surface water purchased,Active,ND2711604,False,False,[],[]
INTERNATIONAL PEACE GARDEN,ROLETTE,NOT REPORTED,25,Ground water,Active,ND4001136,False,False,[],[]
JAMESTOWN CAMPGROUND,STUTSMAN,NOT REPORTED,25,Ground water,Active,ND4711217,False,False,[],[]
JUNIPER CAMPGROUND,MCKENZIE,NOT REPORTED,67,Ground water,Active,ND2710909,False,False,[],[]
KELVIN KLINIC BAR,ROLETTE,NOT REPORTED,50,Ground water,Active,ND4010280,False,False,[],[]
KILLDEER LODGE,DUNN,NOT REPORTED,100,Ground water,Active,ND1311732,False,False,[],[]
KNICKERBOCKER LIQUOR LOCKER,CASS,NOT REPORTED,30,Ground water,Active,ND0910480,False,False,[],[]
LAMOURE COUNTY MEMORIAL PARK,LAMOURE,NOT REPORTED,25,Ground water,Active,ND2310414,False,False,[],[]
LARSONS DRIVE INN,GRAND FORKS,NOT REPORTED,30,Ground water,Active,ND1811323,False,False,[],[]
LITTLE BEAVER BAY REC AREA,WILLIAMS,NOT REPORTED,40,Ground water,Active,ND5311497,False,False,[],[]
MAID O MOON SHINE CAMPGROUND,BOTTINEAU,NOT REPORTED,140,Ground water,Active,ND0511341,False,False,[],[]
MCVILLE FARMERS UNION,NELSON,NOT REPORTED,200,Ground water,Active,ND3211493,False,False,[],[]
MEDICINE HOLE GOLF COURSE,DUNN,NOT REPORTED,50,Ground water,Active,ND1311473,False,False,[],[]
METIGOSHE DRIVE INN,BOTTINEAU,NOT REPORTED,30,Ground water,Active,ND0511249,False,False,[],[]
METIGOSHE MINISTRIES-CENTER SITE,BOTTINEAU,NOT REPORTED,25,Ground water,Active,ND0510106,False,False,[],[]
METIGOSHE MINISTRIES-PELICAN LAKE,BOTTINEAU,NOT REPORTED,150,Ground water,Active,ND0511305,False,False,[],[]
MISSOURI-YELLOWSTONE INTERPRETIVE CENTER,WILLIAMS,NOT REPORTED,100,Ground water,Active,ND5311471,False,False,[],[]
MON-DAK WATER & SEPTIC,MOUNTRAIL,NOT REPORTED,175,Surface water purchased,Active,ND3111579,False,False,[],[]
ND INDOOR RV PARK,MCKENZIE,NOT REPORTED,130,Ground water,Active,ND2711664,False,False,[],[]
NOONAN CITY WELL 1 (COFFEE),DIVIDE,NOT REPORTED,100,Ground water,Active,ND1210766,False,False,[],[]
OAKES GOLF CLUB,DICKEY,NOT REPORTED,50,Ground water,Active,ND1110760,False,False,[],[]
PDQ CLUB,MCKENZIE,NOT REPORTED,50,Ground water,Active,ND2710033,False,False,[],[]
PELICAN LAKE CAMPGROUND,BOTTINEAU,NOT REPORTED,40,Ground water,Active,ND0511413,False,False,[],[]
PIONEER PARK,BURLEIGH,NOT REPORTED,30,Ground water,Active,ND0811391,False,False,[],[]
RAKKEN ARROW RV PARK,MCKENZIE,NOT REPORTED,55,Ground water,Active,ND2711676,False,False,[],[]
RED WILLOW LAKE RESORT,GRIGGS,NOT REPORTED,300,Ground water,Active,ND2011162,False,False,[],[]
