WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
4TH STREET BISTRO,WASHOE,NOT REPORTED,30,Ground water,Active,NV0000735,False,False,[],[]
A COWBOYS DREAM,LINCOLN,NOT REPORTED,26,Ground water,Active,NV0002563,False,False,[],[]
A1 FUEL STOP,HUMBOLDT,NOT REPORTED,25,Ground water,Active,NV0000915,False,False,[],[]
AIR BASE INN,WASHOE,NOT REPORTED,25,Ground water,Active,NV0000703,False,False,[],[]
AIR SAILING INC GLIDERPORT,WASHOE,NOT REPORTED,25,Ground water,Active,NV0000866,False,False,[],[]
AMARGOSA PARK,NYE,NOT REPORTED,25,Ground water,Active,NV0000828,False,False,[],[]
AMARGOSA VALLEY RV PARK,NYE,NOT REPORTED,25,Ground water,Active,NV0000155,False,False,[],[]
AMARGOSA VALLEY VFW POST 6826,NYE,NOT REPORTED,25,Ground water,Active,NV0000811,False,False,[],[]
ANGEL CREEK CAMPGROUND USFS,ELKO,NOT REPORTED,75,Ground water,Active,NV0002088,False,False,[],[]
ANGEL LAKE CAMPGROUND USFS,ELKO,NOT REPORTED,100,Ground water,Active,NV0003037,False,False,[],[]
ANIMAL ARK,WASHOE,NOT REPORTED,100,Ground water,Active,NV0004088,False,False,[],[]
ANTELOPE VALLEY MEETINGHOUSE LDS,LANDER,NOT REPORTED,25,Ground water,Active,NV0004105,False,False,[],[]
ASH MEADOWS NATIONAL WILDLIFE REFUGE FWS,NYE,NOT REPORTED,25,Ground water,Active,NV0004027,False,False,[],[]
BAILEYS HOT SPRINGS,NYE,NOT REPORTED,25,Ground water,Active,NV0003010,False,False,[],[]
BAKER CREEK CAMPGROUND NPS,WHITE PINE,NOT REPORTED,45,Ground water,Active,NV0003052,False,False,[],[]
BAR M BAR,WASHOE,NOT REPORTED,25,Ground water,Active,NV0000720,False,False,[],[]
BASE CAMP US AIR FORCE,NYE,NOT REPORTED,25,Ground water,Active,NV0004026,False,False,[],[]
BEATTY RV PARK,NYE,NOT REPORTED,25,Ground water,Active,NV0005038,False,False,[],[]
BEAVER DAM STATE PARK,LINCOLN,NOT REPORTED,48,Ground water,Active,NV0002120,False,False,[],[]
BERLIN ICHTHYOSAUR STATE PARK,NYE,NOT REPORTED,50,Ground water,Active,NV0002151,False,False,[],[]
BEST WESTERN TOPAZ LAKE INN,DOUGLAS,NOT REPORTED,300,Ground water,Active,NV0002041,False,False,[],[]
BIRD CREEK CAMPGROUND USFS,WHITE PINE,NOT REPORTED,30,Ground water,Active,NV0003053,False,False,[],[]
BLACK ROCK STATION,WASHOE,NOT REPORTED,25,Ground water,Active,NV0000381,False,False,[],[]
BLUE DIAMOND SALOON,CLARK,NOT REPORTED,100,Ground water,Active,NV0000323,False,False,[],[]
BLUE DIAMOND TRAVEL CENTER,CLARK,NOT REPORTED,33,Ground water,Active,NV0000955,False,False,[],[]
BOB SCOTT CAMPGROUND USFS,LANDER,NOT REPORTED,25,Ground water,Active,NV0003066,False,False,[],[]
BOONIES,ESMERALDA,NOT REPORTED,50,Ground water,Active,NV0002090,False,False,[],[]
BORDER INN,WHITE PINE,NOT REPORTED,25,Ground water,Active,NV0005059,False,False,[],[]
BOWERS MANSION,WASHOE,NOT REPORTED,100,Ground water,Active,NV0000710,False,False,[],[]
BRANDOS SPORTS BAR,CLARK,NOT REPORTED,105,Ground water,Active,NV0000321,False,False,[],[]
BUCKBOARD GENERAL STORE,LYON,NOT REPORTED,25,Ground water,Active,NV0000389,False,False,[],[]
CALIFORNIA NATIONAL HISTORIC TRAILS CTR,ELKO,NOT REPORTED,178,Ground water,Active,NV0001091,False,False,[],[]
CAMP GALILEE,DOUGLAS,NOT REPORTED,30,Ground water,Active,NV0004033,False,False,[],[]
CAMP LADY OF THE SNOWS,CLARK,NOT REPORTED,60,Ground water,Active,NV0002509,False,False,[],[]
CAMP LAMOILLE LIONS CLUB,ELKO,NOT REPORTED,50,Ground water,Active,NV0004050,False,False,[],[]
CAMP LEE CANYON CCPR,CLARK,NOT REPORTED,30,Ground water,Active,NV0005009,False,False,[],[]
CAMP POTOSI CCPR,CLARK,NOT REPORTED,26,Ground water,Active,NV0002502,False,False,[],[]
CAMP STIMSON LDS,CLARK,NOT REPORTED,100,Ground water purchased,Active,NV0004024,False,False,[],[]
CARBERRY SQUARE,NYE,NOT REPORTED,50,Ground water,Active,NV0000405,False,False,[],[]
CARMENS MEXICAN RESTAURANT,LYON,NOT REPORTED,25,Ground water,Active,NV0000341,False,False,[],[]
CARVERS CAFE,NYE,NOT REPORTED,50,Ground water,Active,NV0002140,False,False,[],[]
CAVE LAKE STATE PARK,WHITE PINE,NOT REPORTED,2000,Ground water,Active,NV0004035,False,False,[],[]
CAVE SPRINGS WATER SYSTEM NPS,WHITE PINE,NOT REPORTED,1000,Ground water,Active,NV0000301,False,False,[],[]
CG BAR,LYON,NOT REPORTED,25,Ground water,Active,NV0002128,False,False,[],[]
CHAMPIONS,NYE,NOT REPORTED,25,Ground water,Active,NV0002555,False,False,[],[]
CHERRY CREEK WATER DISTRICT,WHITE PINE,['CHERRY CREEK'],25,Ground water,Active,NV0002165,True,True,"[[{'type': 'LineString', 'coordinates': [[-117.8154498, 39.5259397], [-117.815292, 39.5258076], [-117.8149386, 39.5256734], [-117.8145175, 39.525336], [-117.8143964, 39.5251389], [-117.8142167, 39.5249859], [-117.8135854, 39.5247184], [-117.8133926, 39.5245585], [-117.8131439, 39.5245421], [-117.8127741, 39.5243254], [-117.8125527, 39.524275], [-117.8124922, 39.5241714], [-117.8122109, 39.5239829], [-117.8120127, 39.5236099], [-117.8115555, 39.523303], [-117.8111357, 39.5226323], [-117.8106926, 39.5222843], [-117.8096258, 39.5217512], [-117.8085271, 39.5210116], [-117.8076875, 39.5207059], [-117.8071154, 39.5206296], [-117.8068544, 39.520548], [-117.8064405, 39.5203169], [-117.8063704, 39.5202613], [-117.8063716, 39.5201858], [-117.8060723, 39.520004], [-117.8060157, 39.5196806], [-117.8059291, 39.5195422], [-117.8055507, 39.5193185], [-117.805474, 39.5191185], [-117.8052189, 39.5189579], [-117.8050453, 39.5187156], [-117.8046246, 39.518354], [-117.8042176, 39.5182399], [-117.8038407, 39.51792], [-117.8036716, 39.517671], [-117.8034399, 39.5174487], [-117.803434, 39.51727], [-117.8031827, 39.5171438], [-117.8030316, 39.5168881], [-117.8028912, 39.5167767], [-117.8023076, 39.5165852], [-117.8016145, 39.5160421], [-117.8006322, 39.5157777], [-117.8000896, 39.5152707], [-117.7994492, 39.5147694], [-117.7991742, 39.5147322], [-117.7987322, 39.5145833], [-117.7979876, 39.5144519], [-117.79753, 39.5141792], [-117.7970685, 39.5141333], [-117.7966916, 39.5141998], [-117.7958407, 39.5141755], [-117.7949008, 39.5140284], [-117.7946549, 39.513854], [-117.7929488, 39.5137951], [-117.7916626, 39.5138882], [-117.7912697, 39.5137295], [-117.7906288, 39.5137709], [-117.7904338, 39.5137345], [-117.790224, 39.5135263], [-117.7900693, 39.5132155], [-117.7896785, 39.5126755], [-117.7894245, 39.5124599], [-117.789212, 39.5124028], [-117.7890175, 39.512253]]}]]","[['39.512253', '39.5259397', '-117.8154498', '-117.7890175']]"
CHERRY PATCH LOVE RANCH,NYE,NOT REPORTED,25,Ground water,Active,NV0003060,False,False,[],[]
CHICKEN RANCH,NYE,NOT REPORTED,25,Ground water,Active,NV0004085,False,False,[],[]
CHUCKS CIRCLE C MARKET,WASHOE,NOT REPORTED,25,Ground water,Active,NV0004079,False,False,[],[]
CHURCHILL BUTTE COMPLEX,LYON,NOT REPORTED,25,Ground water,Active,NV0005020,False,False,[],[]
COLD SPRINGS MEETINGHOUSE LDS,WASHOE,NOT REPORTED,25,Ground water,Active,NV0004103,False,False,[],[]
COLD SPRINGS STATION RESORT,CHURCHILL,NOT REPORTED,25,Ground water,Active,NV0002017,False,False,[],[]
COMMUNITY HALL PARADISE VALLEY,HUMBOLDT,NOT REPORTED,72,Ground water,Active,NV0002113,False,False,[],[]
CORN CREEK FIELD STATION FWS,CLARK,NOT REPORTED,25,Ground water,Active,NV0001024,False,False,[],[]
COYOTE CORNER III,NYE,NOT REPORTED,25,Ground water,Active,NV0000385,False,False,[],[]
COYOTE CORNER MARKET,NYE,NOT REPORTED,25,Ground water,Active,NV0002565,False,False,[],[]
CROSBYS LODGE,WASHOE,NOT REPORTED,25,Ground water,Active,NV0000717,False,False,[],[]
CRYSTAL PEAK PARK,WASHOE,NOT REPORTED,30,Ground water,Active,NV0000718,False,False,[],[]
DAVIS CREEK PARK,WASHOE,NOT REPORTED,100,Ground water,Active,NV0000719,False,False,[],[]
DENIO JUNCTION,HUMBOLDT,['DENIO JUNCTION'],25,Ground water,Active,NV0000001,True,True,"[[{'type': 'Point', 'coordinates': [-118.6248951, 41.9515625]}]]","[['41.9315625', '41.9715625', '-118.6448951', '-118.6048951']]"
DESERT CENTER PLAZA,NYE,NOT REPORTED,25,Ground water,Active,NV0002196,False,False,[],[]
DESERT INVESTMENT GROUP LTD,WASHOE,NOT REPORTED,250,Ground water,Active,NV0000736,False,False,[],[]
DESERT SOUTHWEST CONFERENCE,CLARK,NOT REPORTED,30,Ground water,Active,NV0001008,False,False,[],[]
DIAMOND INN BAR,HUMBOLDT,NOT REPORTED,25,Ground water,Active,NV0002094,False,False,[],[]
DOUBLE D BAR & GRILL,ELKO,NOT REPORTED,25,Ground water,Active,NV0004096,False,False,[],[]
DOUGLAS COUNTY LAMPE PARK,DOUGLAS,NOT REPORTED,200,Ground water,Active,NV0002043,False,False,[],[]
DOUGLAS COUNTY TOPAZ PARK,DOUGLAS,NOT REPORTED,100,Ground water,Active,NV0002044,False,False,[],[]
DOVETAIL RANCH,ELKO,NOT REPORTED,25,Ground water,Active,NV0000949,False,False,[],[]
DRESSLER PARK,LYON,NOT REPORTED,25,Ground water,Active,NV0002593,False,False,[],[]
EAGLE VALLEY RESORT,LINCOLN,NOT REPORTED,25,Ground water,Active,NV0000188,False,False,[],[]
EAST 50 BAR,LYON,NOT REPORTED,25,Ground water,Active,NV0003098,False,False,[],[]
EAST PEAK LODGE,DOUGLAS,NOT REPORTED,2000,Ground water,Active,NV0002218,False,False,[],[]
ECHO CANYON STATE PARK,LINCOLN,NOT REPORTED,196,Ground water,Active,NV0002123,False,False,[],[]
EL DORADO CANYON MINE TOURS,CLARK,NOT REPORTED,25,Ground water,Active,NV0004111,False,False,[],[]
EL VALLE RESTAURANT,NYE,NOT REPORTED,25,Ground water,Active,NV0001105,False,False,[],[]
ELKS LODGE PAHRUMP,NYE,NOT REPORTED,25,Ground water,Active,NV0000923,False,False,[],[]
ESMERALDA MARKET,ESMERALDA,NOT REPORTED,25,Ground water,Active,NV0000890,False,False,[],[]
EUREKA MEETINGHOUSE LDS,EUREKA,NOT REPORTED,25,Ground water,Active,NV0004104,False,False,[],[]
FALLON LIVESTOCK LLC,CHURCHILL,NOT REPORTED,25,Ground water,Active,NV0002594,False,False,[],[]
FALLON RV PARK,CHURCHILL,NOT REPORTED,25,Ground water,Active,NV0002534,False,False,[],[]
FIRESIDE INN,WHITE PINE,NOT REPORTED,50,Ground water,Active,NV0002170,False,False,[],[]
FISH LAKE VALLEY SALOON,ESMERALDA,NOT REPORTED,25,Ground water,Active,NV0000916,False,False,[],[]
FLOYD LAMB PARK,CLARK,NOT REPORTED,100,Ground water,Active,NV0001053,False,False,[],[]
FORT CHURCHILL HISTORIC STATE PARK,LYON,NOT REPORTED,207,Ground water,Active,NV0002132,False,False,[],[]
