WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1ST CHRISTIAN CHURCH OF KENSINGTON,COLUMBIANA,NOT REPORTED,90,Ground water,Active,OH1563012,False,False,[],[]
3 WAY CAFE,TRUMBULL,NOT REPORTED,110,Ground water,Active,OH7855212,False,False,[],[]
36 SKATE CLUB,MIAMI,NOT REPORTED,80,Ground water,Active,OH5536412,False,False,[],[]
39 OUTPOST,TUSCARAWAS,NOT REPORTED,75,Ground water,Active,OH7937812,False,False,[],[]
"4-H CAMP CLIFTON, INC.",GREENE,NOT REPORTED,201,Ground water,Active,OH2939612,False,False,[],[]
4-H CAMP OHIO-CAMP,LICKING,NOT REPORTED,270,Ground water,Active,OH4549612,False,False,[],[]
4-H CAMP OHIO-POOL,LICKING,NOT REPORTED,110,Ground water,Active,OH4549622,False,False,[],[]
4-H CAMP PALMER,FULTON,NOT REPORTED,300,Ground water,Active,OH2632712,False,False,[],[]
4-H CAMP PIEDMONT PWS,BELMONT,NOT REPORTED,25,Ground water,Active,OH0735012,False,False,[],[]
4-H CAMP PIEDMONT WELL 2 PWS,BELMONT,NOT REPORTED,25,Ground water,Active,OH0735022,False,False,[],[]
44 SHARP PWS,PORTAGE,NOT REPORTED,50,Ground water,Active,OH6788912,False,False,[],[]
47 BAR AND GRILL,SHELBY,NOT REPORTED,75,Ground water,Active,OH7534412,False,False,[],[]
5 SPAN VACATION LAND,PAULDING,NOT REPORTED,100,Ground water,Active,OH6333812,False,False,[],[]
57 MARATHON,MEDINA,NOT REPORTED,70,Ground water,Active,OH5243712,False,False,[],[]
7 AND 14 TRUCK STOP,COLUMBIANA,NOT REPORTED,120,Ground water,Active,OH1533912,False,False,[],[]
7-ELEVEN #36218 PWS,GEAUGA,NOT REPORTED,390,Ground water,Active,OH2864212,False,False,[],[]
7-ELEVEN STORE # 36177,RICHLAND,NOT REPORTED,1650,Ground water,Active,OH7041912,False,False,[],[]
765 NORTH MANAGEMENT,TRUMBULL,NOT REPORTED,25,Ground water,Active,OH7835912,False,False,[],[]
A BROWN AND SONS NURSERY OFFICE PWS,MONTGOMERY,NOT REPORTED,75,Ground water,Active,OH5750412,False,False,[],[]
A&E CAMPGROUND LLC,LOGAN,NOT REPORTED,28,Ground water,Active,OH4645512,False,False,[],[]
A.B. GRAHAM MEMORIAL CENTER PWS,MIAMI,NOT REPORTED,35,Ground water,Active,OH5538812,False,False,[],[]
A1 TWINVALLEY CAMPGROUND,CARROLL,NOT REPORTED,75,Ground water,Active,OH1034112,False,False,[],[]
ABC COUNTRY CAMPING AND CABINS,CARROLL,NOT REPORTED,84,Ground water,Active,OH1030912,False,False,[],[]
ABOVE PAR EVENT CENTER,FAIRFIELD,NOT REPORTED,100,Ground water,Active,OH2335512,False,False,[],[]
ABUNDANT LIFE CHURCH OF GOD PWS,GEAUGA,NOT REPORTED,180,Ground water,Active,OH2876931,False,False,[],[]
ACC-WADSWORTH FELLOWSHIP CENTER PWS,MEDINA,NOT REPORTED,200,Ground water,Active,OH5260913,False,False,[],[]
ACE OF DIAMOND PWS,PORTAGE,NOT REPORTED,25,Ground water,Active,OH6789715,False,False,[],[]
ACHESON RESORT,LOGAN,NOT REPORTED,126,Ground water,Active,OH4643212,False,False,[],[]
ADA FULL GOSPEL CHURCH,HARDIN,NOT REPORTED,220,Ground water,Active,OH3335312,False,False,[],[]
ADVENTURE BOUND RESORT-PLEASANT VIEW E,HANCOCK,NOT REPORTED,285,Ground water,Active,OH3238912,False,False,[],[]
AHMADIYYA MOSQUE PWS,FRANKLIN,NOT REPORTED,60,Ground water,Active,OH2566112,False,False,[],[]
AILERON,MIAMI,NOT REPORTED,65,Ground water,Active,OH5553312,False,False,[],[]
AKRON ROTARY CAMP PWS,SUMMIT,NOT REPORTED,70,Ground water,Active,OH7772712,False,False,[],[]
AKRON YACHT CLUB,SUMMIT,NOT REPORTED,35,Ground water,Active,OH7757012,False,False,[],[]
AL COUCH SUPER MARKET PWS,BUTLER,NOT REPORTED,100,Ground water,Active,OH0939312,False,False,[],[]
