WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
4 STOP,GRADY,NOT REPORTED,50,Ground water,Active,OK4002687,False,False,[],[]
"4 T'S OF STILLWATER, LLC",PAYNE,NOT REPORTED,40,Ground water,Active,OK2006075,False,False,[],[]
5- K ENTERPRISES,CLEVELAND,NOT REPORTED,26,Ground water,Active,OK5001404,False,False,[],[]
66 LAKE STOP,OKLAHOMA,NOT REPORTED,26,Ground water,Active,OK6005588,False,False,[],[]
ABUELITA ROSAS,POTTAWATOMIE,NOT REPORTED,25,Ground water,Active,OK4006359,False,False,[],[]
ADVANTAGE BANK,OKLAHOMA,NOT REPORTED,26,Ground water,Active,OK6005537,False,False,[],[]
ALABASTER CAVERNS STATE PARK,WOODWARD,NOT REPORTED,51,Ground water purchased,Active,OK3007706,False,False,[],[]
ALAMEDA MARKET,CLEVELAND,NOT REPORTED,50,Ground water,Active,OK2001442,False,False,[],[]
AMERICA'S KWIK STOP 2,CLEVELAND,NOT REPORTED,26,Ground water,Active,OK4001486,False,False,[],[]
AMERICAS BEST VALUE INN,OKLAHOMA,NOT REPORTED,200,Ground water,Active,OK5005592,False,False,[],[]
ANDERSON FOOD MART,OKLAHOMA,NOT REPORTED,26,Ground water,Active,OK5005570,False,False,[],[]
APEX FITNESS,GRADY,NOT REPORTED,80,Ground water,Active,OK2002674,False,False,[],[]
ARBUCKLE MOUNTAIN FRIED PIES - TONKAWA,KAY,NOT REPORTED,50,Ground water,Active,OK2003626,False,False,[],[]
ARLEDGE VENTURES,LOGAN,NOT REPORTED,40,Ground water,Active,OK2004268,False,False,[],[]
ARROWHEAD CAMP,CHEROKEE,NOT REPORTED,100,Ground water,Active,OK2001169,False,False,[],[]
ARROWHEAD STATE PARK,PITTSBURG,NOT REPORTED,502,Surface water purchased,Active,OK3006116,False,False,[],[]
ASHEVILLE POOL,OKLAHOMA,NOT REPORTED,30,Ground water,Active,OK8005567,False,False,[],[]
