WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
5 ROCK RANCH,YAMHILL,NOT REPORTED,30,Ground water,Active,OR4195372,False,False,[],[]
62 BURGERS AND BREW,JACKSON,NOT REPORTED,30,Ground water,Active,OR4191555,False,False,[],[]
A 1 MARKET #5,JOSEPHINE,NOT REPORTED,50,Ground water,Active,OR4195298,False,False,[],[]
A-FRAME RV PARK,BAKER,NOT REPORTED,25,Ground water,Active,OR4194825,False,False,[],[]
ADDIVIA WATER SYSTEM,POLK,NOT REPORTED,135,Ground water,Active,OR4195295,False,False,[],[]
AGAPE FAMILY FELLOWSHIP,LINN,NOT REPORTED,100,Ground water,Active,OR4190573,False,False,[],[]
AGATE CREEK WATER ASSOCIATION,LANE,NOT REPORTED,45,Ground water,Active,OR4100967,False,False,[],[]
AGENCY LAKE RESORT 2 SOUTH,KLAMATH,NOT REPORTED,45,Ground water,Active,OR4195198,False,False,[],[]
AGNESS RV PARK/COUGAR LANE LODGE,CURRY,NOT REPORTED,223,Ground water,Active,OR4191198,False,False,[],[]
ALBANY MENNONITE CHURCH,LINN,NOT REPORTED,30,Ground water,Active,OR4195286,False,False,[],[]
ALBANY RIFLE & PISTOL CLUB,LINN,NOT REPORTED,50,Ground water,Active,OR4195419,False,False,[],[]
ALBANY SUPERCROSS,LINN,NOT REPORTED,150,Ground water,Active,OR4105100,False,False,[],[]
ALFALFA STORE,DESCHUTES,NOT REPORTED,30,Ground water,Active,OR4195065,False,False,[],[]
ALICES COUNTRY HOUSE,TILLAMOOK,NOT REPORTED,30,Ground water,Active,OR4194572,False,False,[],[]
ALIVE AND WELL,UMATILLA,NOT REPORTED,50,Ground water,Active,OR4195280,False,False,[],[]
ALPINE OUTPOST,UMATILLA,NOT REPORTED,100,Ground water,Active,OR4190245,False,False,[],[]
ALPINE TAVERN,BENTON,NOT REPORTED,30,Ground water,Active,OR4193584,False,False,[],[]
ALSTON CORNERS-ASSEMBLY OF GOD,COLUMBIA,NOT REPORTED,100,Ground water,Active,OR4193694,False,False,[],[]
ALSTON COUNTRY STORE,COLUMBIA,NOT REPORTED,90,Ground water,Active,OR4195361,False,False,[],[]
ALSTON PUB & GRUB,COLUMBIA,NOT REPORTED,25,Ground water,Active,OR4190408,False,False,[],[]
ALVADORE GAS & STORE,LANE,NOT REPORTED,250,Ground water,Active,OR4194837,False,False,[],[]
AMA MINI MART #1,KLAMATH,NOT REPORTED,150,Ground water,Active,OR4194794,False,False,[],[]
AMA MINI MART #2,KLAMATH,NOT REPORTED,40,Ground water,Active,OR4194390,False,False,[],[]
ANGLERS TRAILER VILLAGE,CURRY,NOT REPORTED,34,Ground water,Active,OR4101365,False,False,[],[]
ANTHONY LAKES MOUNTAIN RESORT,UNION,NOT REPORTED,150,Ground water,Active,OR4192832,False,False,[],[]
ANTIQUE POWERLAND - NORTH,MARION,NOT REPORTED,140,Ground water,Active,OR4195424,False,False,[],[]
ANTIQUE POWERLAND - SOUTH,MARION,NOT REPORTED,280,Ground water,Active,OR4195425,False,False,[],[]
APPLEGATE CHRISTIAN FELLOWSHIP,JACKSON,NOT REPORTED,600,Ground water,Active,OR4194626,False,False,[],[]
APPLEGATE COUNTRY CLUB,JACKSON,NOT REPORTED,30,Ground water,Active,OR4106099,False,False,[],[]
APPLEGATE GOLF,JOSEPHINE,NOT REPORTED,100,Ground water,Active,OR4194944,False,False,[],[]
APPLEGATE RIVER LODGE & RESTAURANT,JACKSON,NOT REPORTED,35,Ground water,Active,OR4191557,False,False,[],[]
APPLEGATE STORE & CAFE,JACKSON,NOT REPORTED,75,Ground water,Active,OR4191546,False,False,[],[]
APPLEGATE VALLEY FAM MED PRAC,JOSEPHINE,NOT REPORTED,25,Ground water,Active,OR4195272,False,False,[],[]
ARAGO COMMUNITY CHURCH,COOS,NOT REPORTED,100,Ground water,Active,OR4195325,False,False,[],[]
ARCO AM/PM #82610,LINN,NOT REPORTED,400,Ground water,Active,OR4195223,False,False,[],[]
ARIZONA BEACH LODGE & RV PARK,CURRY,NOT REPORTED,26,Ground water,Active,OR4195191,False,False,[],[]
ARK RV PARK,CLACKAMAS,NOT REPORTED,30,Ground water,Active,OR4101183,False,False,[],[]
ARRAH WANNA ESTATES WS,CLACKAMAS,NOT REPORTED,25,Ground water,Active,OR4105429,False,False,[],[]
ARRAH WANNA WATER COMPANY,CLACKAMAS,NOT REPORTED,40,Surface water,Active,OR4101265,False,False,[],[]
ARROWHEAD GOLF CLUB,CLACKAMAS,NOT REPORTED,200,Ground water,Active,OR4190030,False,False,[],[]
ASHLAND BURGER KING,JACKSON,NOT REPORTED,500,Ground water,Active,OR4194951,False,False,[],[]
ASHLAND LDS CHURCH,JACKSON,NOT REPORTED,44,Ground water,Active,OR4194413,False,False,[],[]
ASPEN INN MOTEL,KLAMATH,NOT REPORTED,27,Ground water,Active,OR4194209,False,False,[],[]
ASPINWALLS NURSERY AND PRODUCE,POLK,NOT REPORTED,100,Ground water,Active,OR4195235,False,False,[],[]
AT RIVERS EDGE RV RESORT,CURRY,NOT REPORTED,220,Ground water purchased,Active,OR4101408,False,False,[],[]
ATHEY CREEK CHR FELLOWSHIP,CLACKAMAS,NOT REPORTED,850,Ground water,Active,OR4195532,False,False,[],[]
AUBREY-WATZEK CASCADE PACIFIC BSA,HOOD RIVER,NOT REPORTED,225,Ground water,Active,OR4191168,False,False,[],[]
