WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1483 NORTH CHARLOTTE STREET,MONTGOMERY,NOT REPORTED,50,Ground water,Active,PA1461180,False,False,[],[]
1740 HOUSE,BUCKS,NOT REPORTED,50,Ground water,Active,PA1090982,False,False,[],[]
1760 PUB N GRILLE,LEHIGH,NOT REPORTED,200,Ground water,Active,PA3390410,False,False,[],[]
183 PLAZA,SCHUYLKILL,NOT REPORTED,50,Ground water,Active,PA3540926,False,False,[],[]
1836 SALOON INC,MONROE,NOT REPORTED,50,Ground water,Active,PA2450899,False,False,[],[]
2 TS MINI GOLF DRIVING RANGE,NORTHAMPTON,NOT REPORTED,30,Ground water,Active,PA3480965,False,False,[],[]
2047 BUILDING,LEHIGH,NOT REPORTED,25,Ground water,Active,PA3390309,False,False,[],[]
23 MEADOWBROOK CENTER,SCHUYLKILL,NOT REPORTED,35,Ground water,Active,PA3540897,False,False,[],[]
2848 SOUTH MAIN ST RENTALS,TIOGA,NOT REPORTED,40,Ground water,Active,PA2590816,False,False,[],[]
3 B ICE CREAM,DAUPHIN,NOT REPORTED,60,Ground water,Active,PA7220846,False,False,[],[]
309 FAMILY RESTAURANT,BUCKS,NOT REPORTED,100,Ground water,Active,PA1091384,False,False,[],[]
4101 SKIPPACK PIKE,MONTGOMERY,NOT REPORTED,25,Ground water,Active,PA1460426,False,False,[],[]
422 STORE,BUTLER,NOT REPORTED,150,Ground water,Active,PA5101013,False,False,[],[]
501 GRILL & TAVERN,BERKS,NOT REPORTED,50,Ground water,Active,PA3060525,False,False,[],[]
501 MARKET,BERKS,NOT REPORTED,25,Ground water,Active,PA3060972,False,False,[],[]
6 WEST,PIKE,NOT REPORTED,60,Ground water,Active,PA2520386,False,False,[],[]
68S FEED MILL,BEAVER,NOT REPORTED,100,Surface water purchased,Active,PA5040301,False,False,[],[]
698 ROADHOUSE BAR AND GRILLE,ERIE,NOT REPORTED,80,Ground water,Active,PA6250860,False,False,[],[]
7 11 2405 17660,BUCKS,NOT REPORTED,150,Ground water,Active,PA1091063,False,False,[],[]
7 11 STORE NEW BRITAIN,BUCKS,NOT REPORTED,100,Ground water,Active,PA1090805,False,False,[],[]
7ELEVEN #40093 CHESTER SPRINGS,CHESTER,NOT REPORTED,50,Ground water,Active,PA1150443,False,False,[],[]
84 AUTO TRUCK GAS STATION,WAYNE,NOT REPORTED,25,Ground water,Active,PA2640558,False,False,[],[]
903 SCOOPS,CARBON,NOT REPORTED,100,Ground water,Active,PA3130981,False,False,[],[]
940 PIZZERIA,CARBON,NOT REPORTED,200,Ground water,Active,PA3130304,False,False,[],[]
A JS SPORTS BAR,PIKE,NOT REPORTED,25,Ground water,Active,PA2521088,False,False,[],[]
A OK MARKET,MONROE,NOT REPORTED,100,Ground water,Active,PA2451327,False,False,[],[]
A PLUS 2345,SNYDER,NOT REPORTED,50,Ground water,Active,PA4550812,False,False,[],[]
A TASTE FOR SOMETHING MOORE,BEAVER,NOT REPORTED,25,Ground water,Active,PA5040323,False,False,[],[]
A TO Z LANDOWNERS,CRAWFORD,NOT REPORTED,100,Ground water,Active,PA6200007,False,False,[],[]
A&W WEST END GRILL,POTTER,NOT REPORTED,30,Ground water,Active,PA6530302,False,False,[],[]
