WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ABRAMS CREEK CAMPGROUND,BLOUNT,NOT REPORTED,68,Ground water,Active,TN0001261,False,False,[],[]
ADVENTURE BOUND CAMPING RESORT-GATLINBUR,SEVIER,NOT REPORTED,300,Ground water,Active,TN0004447,False,False,[],[]
AEDC GOLF COURSE WATER SYSTEM,COFFEE,NOT REPORTED,75,Groundwater under influence of surface water,Active,TN0004409,False,False,[],[]
ALAMO BAPTIST CHURCH,OBION,NOT REPORTED,30,Ground water,Active,TN0001623,False,False,[],[]
ALDER SPRINGS VILLAGE,CAMPBELL,NOT REPORTED,100,Ground water,Active,TN0005097,False,False,[],[]
ANTIOCH BAPTIST CH - HUMBOLDT,MADISON,NOT REPORTED,300,Ground water,Active,TN0004326,False,False,[],[]
APPLE ANNIE'S CAFE,BENTON,NOT REPORTED,25,Ground water,Active,TN0004964,False,False,[],[]
ARARAT BAPTIST CHURCH,MADISON,NOT REPORTED,200,Ground water,Active,TN0001500,False,False,[],[]
ARMSTRONG FERRY CAMPGROUND,MEIGS,NOT REPORTED,50,Ground water,Active,TN0004171,False,False,[],[]
BANDY CREEK CAMPGROUND,SCOTT,NOT REPORTED,1003,Ground water,Active,TN0004508,False,False,[],[]
BATTLE CREEK MARKET,MARION,NOT REPORTED,25,Groundwater under influence of surface water,Active,TN0002697,False,False,[],[]
BAYS MTN PARK WATER SYSTEM,SULLIVAN,NOT REPORTED,400,Ground water,Active,TN0002618,False,False,[],[]
BEACH ISLAND MARINA,UNION,NOT REPORTED,500,Ground water,Active,TN0005103,False,False,[],[]
BEECH SPRINGS BAPTIST CHURCH,CHESTER,NOT REPORTED,100,Ground water,Active,TN0001237,False,False,[],[]
BERRY'S ONE STOP,WAYNE,NOT REPORTED,50,Ground water,Active,TN0005175,False,False,[],[]
BETHLEHEM BAPTIST CHURCH,MADISON,NOT REPORTED,300,Ground water,Active,TN0004053,False,False,[],[]
BIRDSONG RESORT & MARINA,BENTON,NOT REPORTED,35,Ground water,Active,TN0004360,False,False,[],[]
BLACK BEAR RESORT,CARTER,NOT REPORTED,40,Ground water,Active,TN0004989,False,False,[],[]
BLACK OAK MARINA,JEFFERSON,NOT REPORTED,75,Ground water,Active,TN0004794,False,False,[],[]
BLUE SPRINGS DOCK,UNION,NOT REPORTED,50,Ground water,Active,TN0004837,False,False,[],[]
BOGGS SUBDIVISION,GRAINGER,NOT REPORTED,36,Ground water,Active,TN0004429,False,False,[],[]
BOTTOMS UP BAR & GRILL,HUMPHREYS,NOT REPORTED,50,Ground water,Active,TN0004940,False,False,[],[]
BRANDON SPRINGS-LBL,STEWART,NOT REPORTED,75,Ground water,Active,TN0004186,False,False,[],[]
"BRIDGEMONT MINISTRIES, INC.",SEVIER,NOT REPORTED,65,Ground water,Active,TN0001471,False,False,[],[]
BRITTON FORD CAMPGROUND,HENRY,NOT REPORTED,180,Ground water,Active,TN0004775,False,False,[],[]
BROKEN ARROW TRAVEL CAMP,MONROE,NOT REPORTED,45,Ground water,Active,TN0004532,False,False,[],[]
BROOKSIDE RESORT CABINS,SEVIER,NOT REPORTED,25,Ground water,Active,TN0004838,False,False,[],[]
BROTHER'S COVE HOA,SEVIER,NOT REPORTED,250,Ground water,Active,TN0005053,False,False,[],[]
BUCHANAN RESORT #1,HENRY,NOT REPORTED,200,Ground water,Active,TN0009668,False,False,[],[]
BUCHANAN RESORT #2,HENRY,NOT REPORTED,200,Ground water,Active,TN0004967,False,False,[],[]
BUCKHORN INN,SEVIER,NOT REPORTED,50,Ground water,Active,TN0004641,False,False,[],[]
BUMPUS MILLS-LAKE BARKLEY CMPG,STEWART,NOT REPORTED,160,Ground water,Active,TN0004158,False,False,[],[]
BUNCH HOLLOW CAMPGROUND & RESORT,CLAIBORNE,NOT REPORTED,180,Ground water,Active,TN0005183,False,False,[],[]
CABLE MILL COMFORT STATION,BLOUNT,NOT REPORTED,2000,Ground water,Active,TN0001262,False,False,[],[]
CAMP AHISTADI,JOHNSON,NOT REPORTED,50,Ground water,Active,TN0003899,False,False,[],[]
CAMP BA-YO-CA,SEVIER,NOT REPORTED,200,Ground water,Active,TN0004413,False,False,[],[]
CAMP CHEROKEE-MCMINN CO,MCMINN,NOT REPORTED,110,Groundwater under influence of surface water,Active,TN0001194,False,False,[],[]
CAMP CHEROKEE-POLK CO,POLK,NOT REPORTED,75,Ground water,Active,TN0004321,False,False,[],[]
CAMP CLARK WILLIAMSON,MADISON,NOT REPORTED,100,Ground water,Active,TN0004102,False,False,[],[]
CAMP CLARK WILLIAMSON LODGE,MADISON,NOT REPORTED,100,Ground water,Active,TN0005033,False,False,[],[]
CAMP DAVY CROCKETT,HAWKINS,NOT REPORTED,300,Ground water,Active,TN0002020,False,False,[],[]
CAMP LIVING STONES,MCMINN,NOT REPORTED,75,Ground water,Active,TN0005041,False,False,[],[]
CAMP MACK MORRIS,BENTON,NOT REPORTED,190,Ground water,Active,TN0001854,False,False,[],[]
CAMP MARYMOUNT,WILLIAMSON,NOT REPORTED,250,Groundwater under influence of surface water,Active,TN0003701,False,False,[],[]
CANE CREEK BAPTIST CHURCH,MADISON,NOT REPORTED,125,Ground water,Active,TN0005025,False,False,[],[]
CARMACK'S FISH BARN,HENRY,NOT REPORTED,100,Ground water,Active,TN0004565,False,False,[],[]
CEDAR GROVE BAPTIST CHURCH,HUMPHREYS,NOT REPORTED,75,Ground water,Active,TN0003524,False,False,[],[]
CEDAR POINT CAMPGROUND,COFFEE,NOT REPORTED,250,Ground water,Active,TN0004198,False,False,[],[]
CERRO GORDO BAPTIST CHURCH,MADISON,NOT REPORTED,100,Ground water,Active,TN0005096,False,False,[],[]
CHALET VILLAGE HOA,BLOUNT,NOT REPORTED,64,Ground water,Active,TN0005067,False,False,[],[]
CHARIT CREEK LODGE,SCOTT,NOT REPORTED,48,Ground water,Active,TN0004556,False,False,[],[]
CHEROKEE LANDING RESORT,HARDEMAN,NOT REPORTED,50,Ground water,Active,TN0004885,False,False,[],[]
CHICKASAW ST PARK LAKE LAJOIE GROUP CAMP,HARDEMAN,NOT REPORTED,120,Ground water,Active,TN0004024,False,False,[],[]
CHILHOWEE - USFS,POLK,NOT REPORTED,568,Ground water,Active,TN0004260,False,False,[],[]
CHIMNEYS PICNIC AREA,SEVIER,NOT REPORTED,400,Ground water,Active,TN0001264,False,False,[],[]
"CLIMB WORKS, LLC",SEVIER,['GATLIINBURG'],140,Groundwater under influence of surface water,Active,TN0005194,True,False,[],[]
CLINCH MOUNTAIN LOOKOUT REST.,GRAINGER,NOT REPORTED,110,Ground water,Active,TN0004030,False,False,[],[]
CLYDETON BOAT DOCK,HUMPHREYS,NOT REPORTED,47,Ground water,Active,TN0002093,False,False,[],[]
COCHRAN'S LAKEVIEW CAMPGROUND,SULLIVAN,NOT REPORTED,130,Ground water,Active,TN0004841,False,False,[],[]
COFFEE RIDGE MISS BAPTIST CHUR,UNICOI,NOT REPORTED,50,Ground water,Active,TN0001714,False,False,[],[]
COKER CREEK VILLAGE,MONROE,NOT REPORTED,325,Ground water,Active,TN0002990,False,False,[],[]
COMPASSION CHURCH,HUMPHREYS,NOT REPORTED,200,Ground water,Active,TN0002304,False,False,[],[]
COOKIE JAR CAFE,SEQUATCHIE,NOT REPORTED,150,Ground water,Active,TN0005091,False,False,[],[]
COSBY CAMPGROUND,COCKE,NOT REPORTED,925,Ground water,Active,TN0001265,False,False,[],[]
COUNTRY JUNCTION RESORT,HENRY,['SPRINGVILLE'],130,Ground water,Active,TN0000933,True,True,"[[{'type': 'Point', 'coordinates': [-88.1530946, 36.2492237]}]]","[['36.2292237', '36.2692237', '-88.1730946', '-88.1330946']]"
COUNTY LINE TAVERN AND T.P.,MONROE,NOT REPORTED,50,Ground water,Active,TN0004978,False,False,[],[]
COVE CREEK CAMPGROUND #1,CARTER,NOT REPORTED,26,Ground water,Active,TN0005051,False,False,[],[]
COVE CREEK CAMPGROUND #2,CARTER,NOT REPORTED,40,Ground water,Active,TN0005188,False,False,[],[]
COVINGTON MUNICIPAL AIRPORT,TIPTON,NOT REPORTED,200,Ground water,Active,TN0003407,False,False,[],[]
CRAZY HORSE CANOE RENTAL,WAYNE,NOT REPORTED,100,Groundwater under influence of surface water,Active,TN0004548,False,False,[],[]
CROSS EYED CRICKET CAMPGROUND,ROANE,NOT REPORTED,68,Ground water,Active,TN0001100,False,False,[],[]
CUBA LANDING MARINA,HUMPHREYS,NOT REPORTED,25,Ground water,Active,TN0004946,False,False,[],[]
CUMBERLAND MTN RETREAT CMPGD,CUMBERLAND,NOT REPORTED,250,Ground water,Active,TN0004788,False,False,[],[]
CYPRESS BAY RESORT,HENRY,NOT REPORTED,239,Ground water,Active,TN0001889,False,False,[],[]
DEER RUN RV RESORT,CUMBERLAND,NOT REPORTED,36,Surface water purchased,Active,TN0005152,False,False,[],[]
DENNIS COVE CAMPGROUND - USFS,CARTER,NOT REPORTED,33,Ground water,Active,TN0004277,False,False,[],[]
DIXIE CASTLE II,MADISON,NOT REPORTED,100,Ground water,Active,TN0005090,False,False,[],[]
DOCKS MOTEL,BLOUNT,NOT REPORTED,75,Ground water,Active,TN0004694,False,False,[],[]
DOUGLAS LAKE CAMPGROUND,JEFFERSON,NOT REPORTED,298,Ground water,Active,TN0004007,False,False,[],[]
DOUGLAS LK RESORT OWNERS ASSOC. INC.,SEVIER,NOT REPORTED,150,Ground water,Active,TN0005073,False,False,[],[]
DRY BRANCH WATER SYSTEM #1,BENTON,['HOLLADAY'],25,Ground water,Active,TN0000950,True,True,"[[{'type': 'Point', 'coordinates': [-85.5433103, 36.1428392]}]]","[['36.1228392', '36.1628392', '-85.5633103', '-85.5233103']]"
DRY BRANCH WATER SYSTEM #2,BENTON,NOT REPORTED,26,Ground water,Active,TN0004337,False,False,[],[]
DYSON GROVE BAPTIST CHURCH,JOHNSON,NOT REPORTED,100,Ground water,Active,TN0005190,False,False,[],[]
EAGLE BAY MARINA,HUMPHREYS,NOT REPORTED,40,Ground water,Active,TN0004936,False,False,[],[]
EAGLE CREST OWNER'S ASSOCIATION WATER SY,SEVIER,NOT REPORTED,175,Ground water,Active,TN0005089,False,False,[],[]
"EAGLE RANCH ADVENTURE COMPANY, INC.",POLK,NOT REPORTED,100,Ground water,Active,TN0005128,False,False,[],[]
EBENEZER BAPTIST CHURCH #2,BLEDSOE,NOT REPORTED,90,Groundwater under influence of surface water,Active,TN0005146,False,False,[],[]
ELKMONT CAMPGROUND,SEVIER,NOT REPORTED,750,Ground water,Active,TN0001266,False,False,[],[]
ELLIS GROVE PRESBYTERIAN CHURCH,HUMPHREYS,NOT REPORTED,50,Ground water,Active,TN0003718,False,False,[],[]
ELVIRA'S CAFE,SEVIER,NOT REPORTED,50,Ground water,Active,TN0008284,False,False,[],[]
ENON MISSIONARY BAPTIST CHURCH,CARROLL,NOT REPORTED,68,Ground water,Active,TN0003110,False,False,[],[]
EUGENE HUSKEY ENVIROMENTAL CENTER,SEVIER,NOT REPORTED,25,Ground water,Active,TN0005045,False,False,[],[]
EXIT 68 MARKET,MADISON,NOT REPORTED,200,Ground water,Active,TN0005117,False,False,[],[]
FAIRVIEW BAPTIST CHURCH-RELIANCE,POLK,NOT REPORTED,50,Ground water,Active,TN0004333,False,False,[],[]
FANCHER'S WILLOW BRANCH CAMP,JEFFERSON,NOT REPORTED,650,Ground water,Active,TN0004008,False,False,[],[]
"FAT DADDY'S, INC.",STEWART,NOT REPORTED,67,Groundwater under influence of surface water,Active,TN0004773,False,False,[],[]
"FATE SANDERS MARINA, LLC",RUTHERFORD,NOT REPORTED,150,Groundwater under influence of surface water,Active,TN0004390,False,False,[],[]
FIRST BAPTIST CHURCH OF MEDINA,GIBSON,NOT REPORTED,250,Ground water,Active,TN0005020,False,False,[],[]
FISH SPRINGS MARINA,CARTER,NOT REPORTED,382,Ground water,Active,TN0002433,False,False,[],[]
FLATWOODS METHODIST CHURCH,BENTON,NOT REPORTED,65,Ground water,Active,TN0003018,False,False,[],[]
FORT LOUDOUN YACHT CLUB,KNOX,NOT REPORTED,135,Ground water,Active,TN0004370,False,False,[],[]
FRENCH BROAD BAPTIST CHURCH,JEFFERSON,NOT REPORTED,80,Ground water,Active,TN0004009,False,False,[],[]
FRIENDSHIP BAPTIST ST CHURCH,MADISON,NOT REPORTED,245,Ground water,Active,TN0002464,False,False,[],[]
FRIENDSHIP FAMILY RESORTS,SULLIVAN,NOT REPORTED,47,Ground water,Active,TN0004368,False,False,[],[]
FRIENDSHIP MARINA,SULLIVAN,NOT REPORTED,98,Ground water,Active,TN0009774,False,False,[],[]
FUN ZONE AMUSEMENTS,MADISON,NOT REPORTED,60,Ground water,Active,TN0005139,False,False,[],[]
GATOR POINT ENTERPRISES LLC,JEFFERSON,NOT REPORTED,60,Ground water,Active,TN0005110,False,False,[],[]
GILES FLEA MARKET,CLAIBORNE,NOT REPORTED,200,Ground water,Active,TN0005012,False,False,[],[]
GILMORE DOCK,GRAINGER,NOT REPORTED,50,Ground water,Active,TN0002524,False,False,[],[]
GLENROCK WATER SYSTEM,WAYNE,NOT REPORTED,50,Ground water,Active,TN0001329,False,False,[],[]
