WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
1017 CAFE,STARR,NOT REPORTED,25,Ground water,Active,TX2140030,False,False,[],[]
1300 ALDINE MAIL ROUTE OFFICE PARK,HARRIS,NOT REPORTED,100,Ground water,Active,TX1011354,False,False,[],[]
2 K RESERVE,WALLER,NOT REPORTED,25,Ground water,Active,TX2370116,False,False,[],[]
242 EXPRESS MART,MONTGOMERY,NOT REPORTED,250,Ground water,Active,TX1700814,False,False,[],[]
2920 FOOD MART,HARRIS,NOT REPORTED,150,Ground water,Active,TX1013469,False,False,[],[]
2978 EXPRESS,MONTGOMERY,NOT REPORTED,25,Ground water,Active,TX1700863,False,False,[],[]
3180 CONVENIENCE STORE & GAS,CHAMBERS,NOT REPORTED,200,Ground water,Active,TX0360131,False,False,[],[]
3S SERVICES,DIMMIT,NOT REPORTED,56,Ground water,Active,TX0640055,False,False,[],[]
4 CORNERS BAR B Q,HARRIS,NOT REPORTED,50,Ground water,Active,TX1012822,False,False,[],[]
4 J RIVER WAY,UVALDE,NOT REPORTED,54,Ground water,Active,TX2320053,False,False,[],[]
4 WAY BAR & GRILL,BANDERA,NOT REPORTED,85,Ground water,Active,TX0100107,False,False,[],[]
4.0 CELLARS,GILLESPIE,NOT REPORTED,415,Ground water,Active,TX0860120,False,False,[],[]
46 CROSSING,KENDALL,NOT REPORTED,200,Ground water,Active,TX1300056,False,False,[],[]
7-ELEVEN 36259,COMAL,NOT REPORTED,300,Ground water,Active,TX0460207,False,False,[],[]
7-ELEVEN 36283,COMAL,NOT REPORTED,100,Ground water,Active,TX0460198,False,False,[],[]
7-ELEVEN STORE 36525,VICTORIA,NOT REPORTED,893,Ground water,Active,TX2350044,False,False,[],[]
7-ELEVEN STORE 36551H,VICTORIA,NOT REPORTED,1008,Ground water,Active,TX2350068,False,False,[],[]
786 TRUCK STOP 2,WHARTON,NOT REPORTED,100,Ground water,Active,TX2410077,False,False,[],[]
7E PROPERTY HOLDINGS,MONTGOMERY,NOT REPORTED,75,Ground water,Active,TX1700876,False,False,[],[]
A & A STOP & SHOP,BRAZORIA,NOT REPORTED,280,Ground water,Active,TX0200547,False,False,[],[]
A & V WATER HAULING,WISE,NOT REPORTED,25,Ground water,Active,TX2490081,False,False,[],[]
A PLUS SUPER STORAGE,LUBBOCK,NOT REPORTED,90,Ground water,Active,TX1520302,False,False,[],[]
ACME PLUS 2 RV PARK,MIDLAND,NOT REPORTED,30,Ground water,Active,TX1650152,False,False,[],[]
ACUFF STEAK HOUSE,LUBBOCK,NOT REPORTED,253,Ground water,Active,TX1520120,False,False,[],[]
ADAMS PLAZA,HARRIS,NOT REPORTED,25,Ground water,Active,TX1012155,False,False,[],[]
ADOBE HACIENDA DANCE HALL,EL PASO,NOT REPORTED,200,Ground water,Active,TX0710097,False,False,[],[]
ADOLPHS STORE,BANDERA,NOT REPORTED,50,Ground water,Active,TX0100038,False,False,[],[]
ADVANCED RV PARK,HARRIS,NOT REPORTED,250,Ground water,Active,TX1013374,False,False,[],[]
ADVENTURE TEXAS RESORTS,SAN PATRICIO,NOT REPORTED,83,Ground water,Active,TX2050076,False,False,[],[]
ADVENTURES USA,LUBBOCK,NOT REPORTED,40,Ground water,Active,TX1520163,False,False,[],[]
AGAVE REAL,FORT BEND,NOT REPORTED,150,Ground water,Active,TX0790514,False,False,[],[]
AGUA DULCE WATER DELIVERY,HAYS,NOT REPORTED,25,Surface water purchased,Active,TX1050119,False,False,[],[]
AHMADIA MUSLIM COMMUNITY,HARRIS,NOT REPORTED,100,Ground water,Active,TX1013314,False,False,[],[]
AIRGAS USA,BRAZORIA,NOT REPORTED,25,Ground water,Active,TX0200697,False,False,[],[]
ALAMO FIESTA R V RESORT,KENDALL,NOT REPORTED,442,Ground water,Active,TX1300024,False,False,[],[]
ALAMO LUMBER HWY 277 STORE,DIMMIT,NOT REPORTED,260,Ground water,Active,TX0640031,False,False,[],[]
ALAMO SPRINGS CAFE,KENDALL,NOT REPORTED,250,Ground water,Active,TX1300070,False,False,[],[]
ALANREED TRAVEL CENTER,GRAY,NOT REPORTED,100,Ground water,Active,TX0900030,False,False,[],[]
ALBERT ICE HOUSE & DANCE HALL,GILLESPIE,NOT REPORTED,30,Ground water,Active,TX0860142,False,False,[],[]
ALL PURPOSE FUNERAL HOME,FORT BEND,NOT REPORTED,25,Ground water,Active,TX0790434,False,False,[],[]
ALL SEASONS FOOD STORE,HARRIS,NOT REPORTED,150,Ground water,Active,TX1013095,False,False,[],[]
ALL SEASONS FOOD STORE 2,HARRIS,NOT REPORTED,150,Ground water,Active,TX1013082,False,False,[],[]
ALLENDALE BAPTIST CHURCH,MONTGOMERY,NOT REPORTED,80,Ground water,Active,TX1700711,False,False,[],[]
ALLSUPS 256,LAMB,NOT REPORTED,150,Ground water,Active,TX1400026,False,False,[],[]
ALMEDA WATER WELL SERVICE,BRAZORIA,NOT REPORTED,25,Ground water,Active,TX0200539,False,False,[],[]
ALTO FRIO BAPTIST ENCAMPMENT,REAL,NOT REPORTED,1170,Groundwater under influence of surface water,Active,TX1930006,False,False,[],[]
ALVIN FOOD MART 2,BRAZORIA,NOT REPORTED,100,Ground water,Active,TX0200381,False,False,[],[]
ALVIN MARKET,BRAZORIA,NOT REPORTED,200,Ground water,Active,TX0200423,False,False,[],[]
ALVIN PANTRY 261 CITGO,BRAZORIA,NOT REPORTED,200,Ground water,Active,TX0200302,False,False,[],[]
AMARILLO JOURNEY CHURCH,RANDALL,NOT REPORTED,85,Ground water,Active,TX1910051,False,False,[],[]
AMBER SPRINGS EVENT CENTER,MONTGOMERY,NOT REPORTED,300,Ground water,Active,TX1700802,False,False,[],[]
AMEGY BANK,HARRIS,NOT REPORTED,25,Ground water,Active,TX1013106,False,False,[],[]
AMERICAN LEGION POST 226,WHARTON,NOT REPORTED,100,Ground water,Active,TX2410051,False,False,[],[]
AMIGO FOOD MART,HARRIS,NOT REPORTED,200,Ground water,Active,TX1012421,False,False,[],[]
AMISTAD NATIONAL RECREATION AREA-GOVERNO,VAL VERDE,NOT REPORTED,25,Ground water,Active,TX2330043,False,False,[],[]
AN BINH PLAZA,HARRIS,NOT REPORTED,100,Ground water,Active,TX1013536,False,False,[],[]
ANGEL TEXACO,MONTGOMERY,NOT REPORTED,250,Ground water,Active,TX1700634,False,False,[],[]
ANGLETON CHEVRON,BRAZORIA,NOT REPORTED,150,Ground water,Active,TX0200389,False,False,[],[]
ANGLETON MARKET,GALVESTON,NOT REPORTED,25,Ground water,Active,TX0840172,False,False,[],[]
ANGLETON RV PARK,BRAZORIA,NOT REPORTED,129,Ground water,Active,TX0200691,False,False,[],[]
AOK CAMPER PARK,POTTER,NOT REPORTED,30,Ground water,Active,TX1880033,False,False,[],[]
APRIL PLAZA MARINA,MONTGOMERY,NOT REPORTED,50,Ground water,Active,TX1700350,False,False,[],[]
AQUA ON WHEELS,BLANCO,NOT REPORTED,300,Surface water purchased,Active,TX0160034,False,False,[],[]
AQUA TEXAS HAULER FORT WORTH,TARRANT,NOT REPORTED,25,Surface water purchased,Active,TX2200374,False,False,[],[]
AQUA TEXAS HAULER GRANBURY,HOOD,NOT REPORTED,25,Ground water purchased,Active,TX1110135,False,False,[],[]
