WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
ADELAIDE CAMPGROUND,MILLARD,NOT REPORTED,150,Ground water,Active,UTAH14007,False,False,[],[]
ALFS INN,SALT LAKE,NOT REPORTED,340,Ground water,Active,UTAH18052,False,False,[],[]
AMERICAN FORK RECREATION SITE,UTAH,NOT REPORTED,960,Ground water,Active,UTAH25040,False,False,[],[]
ANDERSON COVE CAMPGROUND,WEBER,NOT REPORTED,320,Purchased ground water under influence of surface water source,Active,UTAH29033,False,False,[],[]
ANDERSON MEADOW CAMPGROUND,BEAVER,NOT REPORTED,30,Ground water,Active,UTAH01009,False,False,[],[]
ANTELOPE FLAT CAMPGROUND,DAGGETT,NOT REPORTED,139,Ground water,Active,UTAH05007,False,False,[],[]
ANTELOPE ISLAND - NORTH,DAVIS,NOT REPORTED,400,Ground water,Active,UTAH06023,False,False,[],[]
ANTELOPE ISLAND RANCH,DAVIS,NOT REPORTED,50,Ground water,Active,UTAH06044,False,False,[],[]
ARCHES NATIONAL PARK HQ,GRAND,NOT REPORTED,25,Ground water,Active,UTAH10021,False,False,[],[]
ARCHES NP-DEVILS GARDEN,GRAND,NOT REPORTED,100,Ground water,Active,UTAH10022,False,False,[],[]
ARCHVIEW RESORT CAMPGROUND,GRAND,NOT REPORTED,506,Ground water,Active,UTAH10034,False,False,[],[]
ARROWHEAD INVESTMENT INC,BEAVER,NOT REPORTED,80,Ground water,Active,UTAH01012,False,False,[],[]
ASPEN ACRES ASSOCIATION,SUMMIT,NOT REPORTED,192,Ground water,Active,UTAH22061,False,False,[],[]
ASPEN COVE ASSOCIATION,CARBON,NOT REPORTED,170,Ground water,Active,UTAH04051,False,False,[],[]
ASPEN CREST GIRLS CAMP,WASATCH,NOT REPORTED,600,Ground water,Active,UTAH26012,False,False,[],[]
ASPEN GROVE CAMPGROUND,WASATCH,NOT REPORTED,747,Ground water,Active,UTAH26065,False,False,[],[]
ASPEN HEART HOA,SEVIER,NOT REPORTED,90,Ground water,Active,UTAH21052,False,False,[],[]
ASPEN HIGHLANDS SUBDIVISION,GARFIELD,NOT REPORTED,100,Ground water,Active,UTAH09023,False,False,[],[]
ASPEN MEADOWS,SUMMIT,NOT REPORTED,300,Ground water,Active,UTAH22138,False,False,[],[]
ASPEN MOUNTAIN WATER CO,SUMMIT,NOT REPORTED,160,Ground water,Active,UTAH22062,False,False,[],[]
ASPEN VIEW-SCOFIELD MOUNTAIN HOMES,CARBON,NOT REPORTED,200,Groundwater under influence of surface water,Active,UTAH04001,False,False,[],[]
BACK FORTY RANCH HOUSE GRILL,WASATCH,NOT REPORTED,70,Ground water,Active,UTAH26050,False,False,[],[]
BALSAM CAMPGROUND,UTAH,NOT REPORTED,25,Ground water,Active,UTAH25041,False,False,[],[]
BARKER RECREATION SITE,GARFIELD,NOT REPORTED,30,Ground water,Active,UTAH09078,False,False,[],[]
BEAR LAKE OVERLOOK HIGHWAY REST STOP,RICH,NOT REPORTED,107,Ground water purchased,Active,UTAH17013,False,False,[],[]
BEAR LAKE REST STOP,RICH,NOT REPORTED,25,Ground water,Active,UTAH17011,False,False,[],[]
BEAR LAKE WATER COMPANY,RICH,NOT REPORTED,1200,Ground water,Active,UTAH17010,False,False,[],[]
BEAR PAW LAKEVIEW RESORT,GARFIELD,NOT REPORTED,80,Ground water,Active,UTAH09034,False,False,[],[]
BEAR RIVER CAMPGROUND,SUMMIT,NOT REPORTED,100,Ground water,Active,UTAH22033,False,False,[],[]
BEAR RIVER LODGE,SUMMIT,NOT REPORTED,126,Ground water,Active,UTAH22063,False,False,[],[]
BEAR VALLEY RV AND CAMPGROUND,GARFIELD,NOT REPORTED,130,Ground water,Active,UTAH09099,False,False,[],[]
BEAVER CREEK LODGE,CACHE,NOT REPORTED,45,Ground water,Active,UTAH03112,False,False,[],[]
BEAVER DAM VILLAGE SSD,GARFIELD,NOT REPORTED,407,Ground water,Active,UTAH09093,False,False,[],[]
BEAVER MOUNTAIN WINTER SPORTS,CACHE,NOT REPORTED,200,Ground water,Active,UTAH03027,False,False,[],[]
BEAVER RIDGE LDS CHURCH CAMP,SUMMIT,NOT REPORTED,400,Ground water,Active,UTAH22145,False,False,[],[]
BEAVER VIEW CAMPGROUND,SUMMIT,NOT REPORTED,51,Ground water,Active,UTAH22035,False,False,[],[]
BENJAMIN PARK,UTAH,NOT REPORTED,35,Ground water,Active,UTAH25150,False,False,[],[]
BENJAMIN WARD,UTAH,NOT REPORTED,750,Ground water,Active,UTAH25057,False,False,[],[]
BENNION CREEK CAMPGROUND,UTAH,NOT REPORTED,250,Ground water,Active,UTAH25122,False,False,[],[]
BIG COTTONWOOD PINE TREE WATER CO INC.,SALT LAKE,NOT REPORTED,74,Ground water,Active,UTAH18139,False,False,[],[]
BIG FLAT GUARD STATION,BEAVER,NOT REPORTED,25,Ground water,Active,UTAH01028,False,False,[],[]
BIRCH SPRING WATER CORP,SALT LAKE,NOT REPORTED,90,Ground water,Active,UTAH18165,False,False,[],[]
BLACKHAWK CAMPGROUND,UTAH,NOT REPORTED,25,Ground water,Active,UTAH25042,False,False,[],[]
BLUE MOUNTAIN RANCH RECREATION,SAN JUAN,NOT REPORTED,200,Ground water,Active,UTAH19079,False,False,[],[]
BLUE SPRUCE CAMPGROUND,GARFIELD,NOT REPORTED,30,Ground water,Active,UTAH09016,False,False,[],[]
BLUFFS CAMPGROUND,WEBER,NOT REPORTED,200,Ground water purchased,Active,UTAH29034,False,False,[],[]
BOULDER MOUNTAIN LODGE,GARFIELD,NOT REPORTED,30,Ground water,Active,UTAH09067,False,False,[],[]
BOWERY HAVEN RESORT,SEVIER,NOT REPORTED,125,Ground water purchased,Active,UTAH21031,False,False,[],[]
BOX ELDER CAMPGROUND,BOX ELDER,NOT REPORTED,70,Ground water purchased,Active,UTAH02023,False,False,[],[]
BRICKERHAVEN SUBDIVISION,UTAH,NOT REPORTED,150,Ground water,Active,UTAH25023,False,False,[],[]
BRIDGE HOLLOW CAMPGROUND,DAGGETT,NOT REPORTED,25,Ground water,Active,UTAH05039,False,False,[],[]
BRIDGER LAKE CAMPGROUNDS,SUMMIT,NOT REPORTED,65,Ground water,Active,UTAH22036,False,False,[],[]
BRIDGER PICNIC AREA,CACHE,NOT REPORTED,60,Ground water purchased,Active,UTAH03029,False,False,[],[]
BRIGHTON LDS SUMMER CAMP,SALT LAKE,NOT REPORTED,201,Surface water,Active,UTAH18033,False,False,[],[]
BRIGHTON MEADOWS LDS GIRLS CAMP,SUMMIT,NOT REPORTED,200,Ground water,Active,UTAH22136,False,False,[],[]
BRISTLECONE,GARFIELD,NOT REPORTED,180,Ground water,Active,UTAH09077,False,False,[],[]
BRYANT S. HINCKLEY SCOUT RANCH,SUMMIT,NOT REPORTED,300,Ground water,Active,UTAH22098,False,False,[],[]
BRYANTS FORK SUMMER HOMES,WASATCH,NOT REPORTED,50,Ground water,Active,UTAH26026,False,False,[],[]
BRYCE CANYON PINES,GARFIELD,NOT REPORTED,152,Ground water,Active,UTAH09027,False,False,[],[]
BRYCE WOODLAND ESTATES UNIT 6F,KANE,NOT REPORTED,35,Ground water,Active,UTAH13024,False,False,[],[]
BRYCE-ZION CAMPGROUND,KANE,NOT REPORTED,170,Ground water,Active,UTAH13032,False,False,[],[]
BUCK HOLLOW BOY SCOUT CAMP,UTAH,NOT REPORTED,150,Ground water,Active,UTAH25155,False,False,[],[]
BUCKBOARD CAMPGROUND,SAN JUAN,NOT REPORTED,45,Ground water,Active,UTAH19016,False,False,[],[]
BUCKS GRILL HOUSE,GRAND,NOT REPORTED,150,Ground water,Active,UTAH10018,False,False,[],[]
BUTTERFLY CAMPGROUND,DUCHESNE,NOT REPORTED,110,Ground water,Active,UTAH07015,False,False,[],[]
CACHE VALLEY HUNTER EDUCATION CENTER,CACHE,NOT REPORTED,51,Ground water,Active,UTAH03096,False,False,[],[]
CAINEVILLE SSD,WAYNE,NOT REPORTED,81,Ground water,Active,UTAH28028,False,False,[],[]
CALF CREEK CAMPGROUND,GARFIELD,NOT REPORTED,300,Ground water,Active,UTAH09028,False,False,[],[]
CALLAO LDS CHURCH,JUAB,NOT REPORTED,40,Ground water,Active,UTAH12023,False,False,[],[]
CAMP AERIE (LDS GIRLS CAMP),SUMMIT,NOT REPORTED,325,Ground water,Active,UTAH22146,False,False,[],[]
CAMP ATOKA,WEBER,NOT REPORTED,300,Ground water,Active,UTAH29041,False,False,[],[]
CAMP CLOUD RIM,WASATCH,NOT REPORTED,126,Surface water,Active,UTAH26022,False,False,[],[]
CAMP EVERGREEN,SUMMIT,NOT REPORTED,250,Ground water,Active,UTAH22020,False,False,[],[]
CAMP KIESEL-BROWNING,WEBER,NOT REPORTED,250,Ground water,Active,UTAH29042,False,False,[],[]
CAMP KOHOLOWO,UTAH,NOT REPORTED,300,Ground water,Active,UTAH25070,False,False,[],[]
CAMP KOLOB - OAK VALLEY GIRL'S CAMP,WASHINGTON,NOT REPORTED,300,Ground water purchased,Active,UTAH27105,False,False,[],[]
CAMP KOLOB - DEER HAVEN RANCH,WASHINGTON,NOT REPORTED,25,Ground water,Active,UTAH27042,False,False,[],[]
CAMP KOLOB - SPRING CREEK,WASHINGTON,NOT REPORTED,300,Ground water,Active,UTAH27041,False,False,[],[]
CAMP REDCLIFF,WEBER,NOT REPORTED,27,Ground water,Active,UTAH29044,False,False,[],[]
CAMP ROGER YMCA,WASATCH,NOT REPORTED,210,Surface water,Active,UTAH26061,False,False,[],[]
CAMP SHINOB,EMERY,NOT REPORTED,300,Ground water,Active,UTAH08044,False,False,[],[]
CAMP STEINER,SUMMIT,NOT REPORTED,300,Surface water,Active,UTAH22025,False,False,[],[]
CAMP TIMBER LANE,DUCHESNE,NOT REPORTED,300,Ground water,Active,UTAH07032,False,False,[],[]
CAMP TRACY,SALT LAKE,NOT REPORTED,431,Groundwater under influence of surface water,Active,UTAH18053,False,False,[],[]
CAMP TUTTLE (EPISCOPAL),SALT LAKE,NOT REPORTED,82,Ground water,Active,UTAH18088,False,False,[],[]
CAMP WOODLAND,MORGAN,NOT REPORTED,250,Ground water,Active,UTAH15022,False,False,[],[]
CAMP ZARAHEMLA,MORGAN,NOT REPORTED,252,Groundwater under influence of surface water,Active,UTAH15023,False,False,[],[]
CAMPERWORLD - KNOTTY PINE,SUMMIT,NOT REPORTED,354,Ground water,Active,UTAH22022,False,False,[],[]
CAMPERWORLD - LAKESIDE PARK,DUCHESNE,NOT REPORTED,28,Ground water,Active,UTAH07039,False,False,[],[]
CAMPS BEN LOMOND-SHAWNEE,WEBER,NOT REPORTED,300,Groundwater under influence of surface water,Active,UTAH29062,False,False,[],[]
CANYON HOUSE,SALT LAKE,NOT REPORTED,86,Ground water,Active,UTAH18080,False,False,[],[]
CANYON RIM RANCH SUBDIVISION,SUMMIT,NOT REPORTED,140,Ground water,Active,UTAH22069,False,False,[],[]
CANYONLANDS FIELD,GRAND,NOT REPORTED,55,Ground water,Active,UTAH10014,False,False,[],[]
CANYONLANDS NP - ISLAND IN THE SKY,SAN JUAN,NOT REPORTED,30,Ground water purchased,Active,UTAH19040,False,False,[],[]
CANYONLANDS NP - NEEDLES DISTRICT HQ,SAN JUAN,NOT REPORTED,406,Ground water,Active,UTAH19042,False,False,[],[]
CAPITOL REEF FIELD STATION,WAYNE,NOT REPORTED,25,Groundwater under influence of surface water,Active,UTAH28042,False,False,[],[]
CARD CAMPGROUND AREA,CACHE,NOT REPORTED,75,Ground water,Active,UTAH03030,False,False,[],[]
CARDIFF A.P.O.,SALT LAKE,NOT REPORTED,83,Ground water,Active,UTAH18140,False,False,[],[]
CARTER CREEK WATER SYSTEM,SUMMIT,NOT REPORTED,40,Ground water,Active,UTAH22120,False,False,[],[]
CASCADE SPRINGS INTERPRETIVE SITE,WASATCH,NOT REPORTED,150,Ground water,Active,UTAH26016,False,False,[],[]
CASTLE VALLEY BRANCH MEETING HOUSE,GRAND,NOT REPORTED,60,Ground water,Active,UTAH10042,False,False,[],[]
CAUSEY ESTATES,WEBER,NOT REPORTED,300,Ground water,Active,UTAH29047,False,False,[],[]
CCH2O INC,WASATCH,NOT REPORTED,100,Ground water,Active,UTAH26070,False,False,[],[]
CEDAR BREAKS NATIONAL MONUMENT,IRON,NOT REPORTED,64,Ground water,Active,UTAH11034,False,False,[],[]
CEDAR CANYON CAMPGROUND,IRON,NOT REPORTED,47,Ground water,Active,UTAH11041,False,False,[],[]
CEDAR MESA-GRAND GULCH,SAN JUAN,NOT REPORTED,25,Ground water,Active,UTAH19072,False,False,[],[]
CHRIS TRADING POST,WEBER,NOT REPORTED,145,Ground water,Active,UTAH29048,False,False,[],[]
