WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
17 SOUTH,ESSEX,NOT REPORTED,50,Ground water,Active,VA4057255,False,False,[],[]
1715 HARPERS ROAD,NOT REPORTED,['VIRGINIA BEACH'],125,Ground water,Active,VA3810297,True,True,"[[{'type': 'Point', 'coordinates': [-75.9774183, 36.8529841]}]]","[['36.6929841', '37.0129841', '-76.1374183', '-75.8174183']]"
208 VARIETY STORE,SPOTSYLVANIA,NOT REPORTED,252,Ground water,Active,VA6177377,False,False,[],[]
"21 GROCERY AND VALLEY DINER, LLC",GRAYSON,NOT REPORTED,75,Ground water,Active,VA1077411,False,False,[],[]
21229 SOUTH BAYSIDE ROAD,NORTHAMPTON,NOT REPORTED,30,Ground water,Active,VA3131590,False,False,[],[]
25345 LANKFORD HIGHWAY (HAPPY BUFFET),ACCOMACK,NOT REPORTED,100,Ground water,Active,VA3001717,False,False,[],[]
30 THOMAS JEFFERSON PARKWAY,FLUVANNA,NOT REPORTED,110,Ground water,Active,VA2065790,False,False,[],[]
460 CAFE AND FARMERS MARKET,SOUTHAMPTON,NOT REPORTED,50,Ground water,Active,VA3175850,False,False,[],[]
5750 CLUB INC,PRINCE WILLIAM,NOT REPORTED,100,Ground water,Active,VA6153170,False,False,[],[]
605 PRINCESS ANNE ROAD,NOT REPORTED,['VIRGINIA BEACH'],45,Ground water,Active,VA3810099,True,True,"[[{'type': 'Point', 'coordinates': [-75.9774183, 36.8529841]}]]","[['36.6929841', '37.0129841', '-76.1374183', '-75.8174183']]"
7K FARMS,CAMPBELL,NOT REPORTED,50,Ground water,Active,VA5031808,False,False,[],[]
A. R. E. CAMP TES,SMYTH,NOT REPORTED,75,Ground water,Active,VA1173011,False,False,[],[]
ABC PRESCHOOL OF ARBOR BAPTIST CHURCH,AMELIA,NOT REPORTED,40,Ground water,Active,VA5007015,False,False,[],[]
ACCOMAC RESIDENCY OFFICE,ACCOMACK,NOT REPORTED,36,Ground water,Active,VA3001030,False,False,[],[]
ACCOVAC ADVENT CHRISTIAN CAMP,BATH,NOT REPORTED,96,Ground water,Active,VA2017020,False,False,[],[]
ADVENTURE LINKS AT HEMLOCK PARK,FAIRFAX,NOT REPORTED,163,Ground water,Active,VA6059543,False,False,[],[]
AGRI-CIVIC CENTER,SOUTHAMPTON,NOT REPORTED,70,Ground water,Active,VA3175010,False,False,[],[]
ALEXANDRIA POLICE YOUTH CAMP,LANCASTER,NOT REPORTED,96,Ground water,Active,VA4103050,False,False,[],[]
ALLEYS MOTEL,GOOCHLAND,NOT REPORTED,124,Ground water,Active,VA4075010,False,False,[],[]
ALMOST THERE,ESSEX,NOT REPORTED,50,Ground water,Active,VA4057050,False,False,[],[]
ALPINE CREST,CARROLL,NOT REPORTED,25,Ground water,Active,VA1035010,False,False,[],[]
ALTA MONS - CAMPGROUND,MONTGOMERY,NOT REPORTED,50,Ground water,Active,VA1121025,False,False,[],[]
