WaterSystemName,County,City,Population,WaterSource,Activity,SystemID,ProvidedCity,GotData,DataGeoJson,DataBoundingBox
109 RV PARK & CAMPGROUND,GRAYS HARBOR,NOT REPORTED,28,Ground water,Active,WA5389032,False,False,[],[]
164TH ST ARTESIAN WELL,SNOHOMISH,NOT REPORTED,35,Ground water,Active,WA5301319,False,False,[],[]
59ER DINER,CHELAN,NOT REPORTED,134,Ground water,Active,WA5365071,False,False,[],[]
79TH AVE COMMUNITY WATER ASSOC,PIERCE,NOT REPORTED,128,Ground water,Active,WA5302728,False,False,[],[]
97 ROCK HOUSE WS,CHELAN,NOT REPORTED,254,Ground water,Active,WA53AD315,False,False,[],[]
ABERNATHY ASSEMBLY OF GOD,COWLITZ,NOT REPORTED,41,Ground water,Active,WA53AB005,False,False,[],[]
ADAMS COUNTY FAIR,ADAMS,NOT REPORTED,503,Ground water,Active,WA5300008,False,False,[],[]
ADAMS FORK #5 HP,SKAMANIA,NOT REPORTED,67,Ground water,Active,WA53FS007,False,False,[],[]
ADAMS FORK 3 HP,SKAMANIA,NOT REPORTED,67,Ground water,Active,WA53FS005,False,False,[],[]
AENEAS GENERAL STORE,OKANOGAN,NOT REPORTED,30,Ground water,Active,WA5327782,False,False,[],[]
AGATE GROCERY,MASON,NOT REPORTED,56,Ground water,Active,WA5300512,False,False,[],[]
AGNEW MOBILE HOME PARK,CLALLAM,NOT REPORTED,40,Ground water,Active,WA5300518,False,False,[],[]
AIRPORT GROCERY,MASON,NOT REPORTED,105,Ground water,Active,WA5300580,False,False,[],[]
ALAMO ORCHARD CO - PATEROS,OKANOGAN,NOT REPORTED,48,Ground water,Active,WA5307278,False,False,[],[]
ALDER LAKE PARK WATER SYSTEM,PIERCE,NOT REPORTED,934,Ground water,Active,WA5333526,False,False,[],[]
ALDER STREET WATER SYSTEM,ISLAND,NOT REPORTED,61,Ground water,Active,WA5300988,False,False,[],[]
ALDERBROOK COUNTRY STORE,MASON,NOT REPORTED,255,Ground water,Active,WA5307746,False,False,[],[]
ALDERBROOK PARK,CLARK,NOT REPORTED,150,Ground water,Active,WA5302798,False,False,[],[]
ALEXANDERS LODGE,PIERCE,NOT REPORTED,105,Ground water,Active,WA5301343,False,False,[],[]
ALGER FOOD MART,SKAGIT,NOT REPORTED,88,Ground water,Active,WA5366025,False,False,[],[]
ALL SAINTS CAMP,PIERCE,NOT REPORTED,275,Ground water,Active,WA5310818,False,False,[],[]
ALLENDALE COMMUNITY WATER,SNOHOMISH,NOT REPORTED,24,Ground water,Active,WA5301650,False,False,[],[]
ALLENS MARKET,YAKIMA,NOT REPORTED,42,Ground water,Active,WA5301615,False,False,[],[]
ALLYN SHOP,MASON,NOT REPORTED,52,Ground water,Active,WA53AA473,False,False,[],[]
ALPENHORN CAFE,CHELAN,NOT REPORTED,301,Ground water,Active,WA5301815,False,False,[],[]
ALPINE RV/MH PARK,SKAGIT,NOT REPORTED,10,Ground water,Active,WA5351537,False,False,[],[]
ALPINE VIEW RV PARK,CHELAN,NOT REPORTED,11,Ground water,Active,WA5312214,False,False,[],[]
ALPINE VILLAGE PROPERTY OWNERS,PIERCE,NOT REPORTED,24,Ground water,Active,WA5301828,False,False,[],[]
ALPOWA SUMMIT REST AREA,GARFIELD,NOT REPORTED,801,Ground water,Active,WA53HD007,False,False,[],[]
ALS BEEF SHOP,THURSTON,NOT REPORTED,29,Ground water,Active,WA5304551,False,False,[],[]
ALS GROCERY,KITSAP,NOT REPORTED,36,Ground water,Active,WA5301848,False,False,[],[]
ALTA CRYSTAL RESORT,PIERCE,NOT REPORTED,72,Ground water,Active,WA5301925,False,False,[],[]
